Superfamily	Family	Subfamily	Species	Source	Assembly accession	Assembly level	C (%)	S (%)	D (%)	F (%)	M (%)
Ephydroidea	Drosophilidae	Drosophilinae	Drosophila melanogaster	NCBI	GCF_000001215.4	Chromosome	99.9	98.9	1.0	0.0	0.1
Chalcidoidea	Encyrtidae	Encyrtinae	Copidosoma floridanum	NCBI	GCF_000648655.2	Scaffold	97.7	94.5	3.1	0.7	1.6
Formicoidea	Formicidae	Dolichoderinae	Linepithema humile	NCBI	GCF_040581485.1	Chromosome	99.5	98.3	1.2	0.1	0.4
Formicoidea	Formicidae	Dorylinae	Ooceraea biroi	NCBI	GCF_003672135.1	Chromosome	99.3	97.0	2.3	0.1	0.6
Formicoidea	Formicidae	Formicinae	Camponotus floridanus	NCBI	GCF_003227725.1	Scaffold	99.3	98.3	1.0	0.2	0.5
Formicoidea	Formicidae	Myrmicinae	Acromyrmex echinatior	NCBI	GCF_000204515.1	Scaffold	99.3	98.5	0.9	0.3	0.4
Formicoidea	Formicidae	Myrmicinae	Atta cephalotes	NCBI	GCF_000143395.1	Scaffold	98.1	97.4	0.7	0.7	1.2
Formicoidea	Formicidae	Myrmicinae	Monomorium pharaonis	NCBI	GCF_013373865.1	Chromosome	99.6	95.6	4.0	0.2	0.2
Formicoidea	Formicidae	Myrmicinae	Solenopsis invicta	NCBI	GCF_016802725.1	Chromosome	99.4	97.8	1.6	0.2	0.4
Formicoidea	Formicidae	Ponerinae	Harpegnathos saltator	NCBI	GCF_003227715.2	Scaffold	99.7	98.2	1.5	0.1	0.1
Evanioidea	Gasteruptiidae	Gasteruptiinae	Gasteruption jaculator	ENSEMBL	GCA_949825005.1	Chromosome	94.0	91.7	2.3	1.8	4.2
Apoidea	Halictidae	Halictinae	Halictus rubicundus	NCBI	GCF_050948215.1	Chromosome	99.6	98.3	1.2	0.1	0.3
Apoidea	Halictidae	Halictinae	Lasioglossum calceatum	ENSEMBL	GCA_963966675.1	Chromosome	97.8	96.0	1.8	0.5	1.7
Apoidea	Halictidae	Halictinae	Lasioglossum lativentre	ENSEMBL	GCA_916610255.1	Chromosome	97.9	96.9	1.0	0.3	1.8
Apoidea	Halictidae	Halictinae	Lasioglossum morio	ENSEMBL	GCA_916610235.2	Chromosome	97.7	95.5	2.1	0.7	1.7
Apoidea	Halictidae	Halictinae	Megalopta genalis	NCBI	GCF_051020955.1	Chromosome	99.9	98.2	1.7	0.0	0.1
Apoidea	Halictidae	Rophitinae	Dufourea novaeangliae	NCBI	GCF_001272555.1	Scaffold	99.3	98.9	0.4	0.1	0.5
Ichneumonoidea	Ichneumonidae	Campopleginae	Venturia canescens	NCBI	GCF_019457755.1	Chromosome	99.5	98.3	1.2	0.2	0.3
Ichneumonoidea	Ichneumonidae	Cryptinae	Buathra laborator	ENSEMBL	GCA_934046635.1	Chromosome	98.3	98.0	0.4	0.2	1.5
Apoidea	Megachilidae	Megachilinae	Megachile rotundata	NCBI	GCF_050947335.1	Chromosome	99.3	98.8	0.5	0.1	0.6
Apoidea	Megachilidae	Megachilinae	Osmia bicornis bicornis	NCBI	GCF_907164935.1	Chromosome	99.2	98.8	0.4	0.3	0.5
Apoidea	Melittidae	Melittinae	Macropis europaea	ENSEMBL	GCA_916610135.2	Chromosome	97.6	96.8	0.8	0.4	2.0
Orussoidea	Orussidae	Orussinae	Orussus abietinus	NCBI	GCF_000612105.2	Scaffold	98.5	97.7	0.7	0.4	1.1
Pompiloidea	Pompilidae	Pompilinae	Anoplius nigerrimus	ENSEMBL	GCA_914767735.1	Chromosome	96.1	95.0	1.2	0.5	3.4
Chalcidoidea	Pteromalidae	Pteromalinae	Nasonia vitripennis	NCBI	GCF_009193385.2	Chromosome	98.0	96.5	1.5	0.3	1.7
	Rhabditidae		Caenorhabditis elegans	NCBI	GCF_000002985.6	Complete	100.0	99.4	0.5	0.0	0.0
Tenebrionidea	Tenebrionidae	Tenebrioninae	Tribolium castaneum	NCBI	GCF_031307605.1	Chromosome	99.2	98.4	0.8	0.1	0.7
Tiphioidea	Tiphiidae	Tiphiinae	Tiphia femorata	ENSEMBL	GCA_944319695.1	Chromosome	91.1	89.0	2.0	1.0	7.9
Vespoidea	Vespidae	Eumeninae	Ancistrocerus nigricornis	ENSEMBL	GCA_916049575.1	Chromosome	93.5	92.1	1.4	0.6	5.9
Vespoidea	Vespidae	Polistinae	Mischocyttarus mexicanus	NCBI	GCA_023678845.1	Scaffold	92.9	85.5	7.4	1.5	5.6
Vespoidea	Vespidae	Polistinae	Polistes canadensis	NCBI	GCF_001313835.1	Scaffold	99.2	98.5	0.7	0.1	0.7
Vespoidea	Vespidae	Polistinae	Polistes dominula	NCBI	GCF_001465965.1	Scaffold	99.6	98.8	0.8	0.1	0.4
Vespoidea	Vespidae	Polistinae	Polistes exclamans	NCBI	GCA_023678865.1	Scaffold	96.9	95.0	2.0	0.7	2.4
Vespoidea	Vespidae	Polistinae	Polistes fuscatus	NCBI	GCF_010416935.1	Scaffold	99.0	97.8	1.2	0.1	0.9
Vespoidea	Vespidae	Vespinae	Dolichovespula media	ENSEMBL	GCA_911387685.1	Chromosome	95.3	94.1	1.2	0.9	3.8
Vespoidea	Vespidae	Vespinae	Dolichovespula saxonica	ENSEMBL	GCA_911387935.1	Chromosome	97.2	95.3	1.9	0.6	2.2
Vespoidea	Vespidae	Vespinae	Dolichovespula sylvestris	ENSEMBL	GCA_918808275.2	Chromosome	96.7	94.8	1.9	0.7	2.6
Vespoidea	Vespidae	Vespinae	Vespa crabro	NCBI	GCF_910589235.1	Chromosome	99.5	98.5	1.0	0.1	0.4
Vespoidea	Vespidae	Vespinae	Vespa mandarinia	NCBI	GCF_014083535.2	Chromosome	99.0	98.1	1.0	0.1	0.9
Vespoidea	Vespidae	Vespinae	Vespa velutina	NCBI	GCF_912470025.1	Chromosome	98.2	97.2	1.0	0.1	1.7
Vespoidea	Vespidae	Vespinae	Vespula germanica	ENSEMBL	GCA_905340365.1	Chromosome	95.5	95.0	0.5	1.3	3.1
Vespoidea	Vespidae	Vespinae	Vespula pensylvanica	NCBI	GCF_014466175.1	Chromosome	99.2	98.6	0.6	0.2	0.6
Vespoidea	Vespidae	Vespinae	Vespula vulgaris	NCBI	GCF_905475345.1	Chromosome	99.1	98.3	0.8	0.0	0.9
