vv_gene,Ensembl_gene
LOC127061841,ENSVVLG00005015796
LOC127061842,ENSVVLG00005015449
LOC127061843,ENSVVLG00005002130
LOC127061844,ENSVVLG00005015980
LOC127061845,ENSVVLG00005000536
LOC127061849,ENSVVLG00005015425
LOC127061850,ENSVVLG00005001302
LOC127061851,ENSVVLG00005000377
LOC127061852,ENSVVLG00005015376
LOC127061853,ENSVVLG00005004008
LOC127061854,ENSVVLG00005016399
LOC127061855,ENSVVLG00005016131
LOC127061856,ENSVVLG00005001055
LOC127061857,ENSVVLG00005003299
LOC127061858,ENSVVLG00005014969
LOC127061860,ENSVVLG00005003825
LOC127061862,ENSVVLG00005004575
LOC127061863,ENSVVLG00005000876
LOC127061864,ENSVVLG00005005329
LOC127061865,ENSVVLG00005002865
LOC127061866,ENSVVLG00005016333
LOC127061867,ENSVVLG00005002970
LOC127061868,ENSVVLG00005000610
LOC127061869,ENSVVLG00005002268
LOC127061870,ENSVVLG00005004839
LOC127061871,ENSVVLG00005006447
LOC127061872,ENSVVLG00005003945
LOC127061873,ENSVVLG00005001267
LOC127061874,ENSVVLG00005006535
LOC127061875,ENSVVLG00005014887
LOC127061876,ENSVVLG00005000592
LOC127061877,ENSVVLG00005015023
LOC127061878,ENSVVLG00005015721
LOC127061881,ENSVVLG00005000896
LOC127061882,ENSVVLG00005002253
LOC127061884,ENSVVLG00005004157
LOC127061886,ENSVVLG00005006620
LOC127061887,ENSVVLG00005003327
LOC127061888,ENSVVLG00005004343
LOC127061889,ENSVVLG00005001330
LOC127061890,ENSVVLG00005002071
LOC127061893,ENSVVLG00005006654
LOC127061894,ENSVVLG00005002903
LOC127061895,ENSVVLG00005004511
LOC127061896,ENSVVLG00005007081
LOC127061897,ENSVVLG00005000590
LOC127061898,ENSVVLG00005003132
LOC127061899,ENSVVLG00005001019
LOC127061900,ENSVVLG00005005007
LOC127061902,ENSVVLG00005004425
LOC127061903,ENSVVLG00005006530
LOC127061904,ENSVVLG00005007241
LOC127061910,ENSVVLG00005001077
LOC127061911,ENSVVLG00005006181
LOC127061913,ENSVVLG00005003967
LOC127061914,ENSVVLG00005004024
LOC127061915,ENSVVLG00005004802
LOC127061916,ENSVVLG00005001949
LOC127061919,ENSVVLG00005015576
LOC127061920,ENSVVLG00005001287
LOC127061921,ENSVVLG00005004125
LOC127061924,ENSVVLG00005000467
LOC127061925,ENSVVLG00005004863
LOC127061926,ENSVVLG00005003219
LOC127061927,ENSVVLG00005003095
LOC127061928,ENSVVLG00005002586
LOC127061930,ENSVVLG00005004634
LOC127061931,ENSVVLG00005003416
LOC127061932,ENSVVLG00005001866
LOC127061933,ENSVVLG00005003789
LOC127061935,ENSVVLG00005000776
LOC127061940,ENSVVLG00005001150
LOC127061942,ENSVVLG00005001022
LOC127061943,ENSVVLG00005001932
LOC127061944,ENSVVLG00005001027
LOC127061945,ENSVVLG00005004710
LOC127061946,ENSVVLG00005004891
LOC127061949,ENSVVLG00005014810
LOC127061951,ENSVVLG00005016337
LOC127061952,ENSVVLG00005015592
LOC127061953,ENSVVLG00005014657
LOC127061954,ENSVVLG00005001450
LOC127061959,ENSVVLG00005002846
LOC127061960,ENSVVLG00005000706
LOC127061961,ENSVVLG00005005139
LOC127061962,ENSVVLG00005006746
LOC127061963,ENSVVLG00005001988
LOC127061964,ENSVVLG00005000807
LOC127061965,ENSVVLG00005001258
LOC127061974,ENSVVLG00005003487
LOC127061976,ENSVVLG00005001255
LOC127061977,ENSVVLG00005005304
LOC127061978,ENSVVLG00005004972
LOC127061981,ENSVVLG00005000499
LOC127061982,ENSVVLG00005014957
LOC127061983,ENSVVLG00005003065
LOC127061988,ENSVVLG00005003004
LOC127061990,ENSVVLG00005001237
LOC127061991,ENSVVLG00005002677
LOC127061994,ENSVVLG00005002434
LOC127061995,ENSVVLG00005000432
LOC127061996,ENSVVLG00005002554
LOC127061999,ENSVVLG00005014918
LOC127062003,ENSVVLG00005000161
LOC127062004,ENSVVLG00005016208
LOC127062005,ENSVVLG00005001251
LOC127062015,ENSVVLG00005000554
LOC127062017,ENSVVLG00005002938
LOC127062018,ENSVVLG00005006413
LOC127062019,ENSVVLG00005006273
LOC127062020,ENSVVLG00005006992
LOC127062021,ENSVVLG00005005743
LOC127062022,ENSVVLG00005004400
LOC127062023,ENSVVLG00005015375
LOC127062025,ENSVVLG00005001141
LOC127062026,ENSVVLG00005005229
LOC127062027,ENSVVLG00005007338
LOC127062029,ENSVVLG00005005976
LOC127062030,ENSVVLG00005005518
LOC127062031,ENSVVLG00005000580
LOC127062032,ENSVVLG00005000338
LOC127062033,ENSVVLG00005015228
LOC127062035,ENSVVLG00005001377
LOC127062037,ENSVVLG00005003923
LOC127062038,ENSVVLG00005007397
LOC127062039,ENSVVLG00005003362
LOC127062040,ENSVVLG00005004245
LOC127062041,ENSVVLG00005003735
LOC127062042,ENSVVLG00005001394
LOC127062043,ENSVVLG00005001057
LOC127062044,ENSVVLG00005001404
LOC127062045,ENSVVLG00005015270
LOC127062046,ENSVVLG00005002803
LOC127062047,ENSVVLG00005005369
LOC127062048,ENSVVLG00005001423
LOC127062049,ENSVVLG00005000983
LOC127062050,ENSVVLG00005002417
LOC127062051,ENSVVLG00005006689
LOC127062061,ENSVVLG00005004016
LOC127062062,ENSVVLG00005000044
LOC127062063,ENSVVLG00005016383
LOC127062066,ENSVVLG00005000646
LOC127062067,ENSVVLG00005016271
LOC127062068,ENSVVLG00005016270
LOC127062069,ENSVVLG00005000643
LOC127062070,ENSVVLG00005000642
LOC127062071,ENSVVLG00005000509
LOC127062072,ENSVVLG00005016285
LOC127062073,ENSVVLG00005016299
LOC127062074,ENSVVLG00005016272
LOC127062075,ENSVVLG00005016282
LOC127062076,ENSVVLG00005016276
LOC127062077,ENSVVLG00005016293
LOC127062078,ENSVVLG00005016297
LOC127062079,ENSVVLG00005000635
LOC127062080,ENSVVLG00005000633
LOC127062081,ENSVVLG00005016277
LOC127062082,ENSVVLG00005016278
LOC127062083,ENSVVLG00005016284
LOC127062084,ENSVVLG00005016287
LOC127062085,ENSVVLG00005016290
LOC127062086,ENSVVLG00005016292
LOC127062087,ENSVVLG00005001295
LOC127062088,ENSVVLG00005016283
LOC127062089,ENSVVLG00005000632
LOC127062090,ENSVVLG00005000629
LOC127062091,ENSVVLG00005016275
LOC127062092,ENSVVLG00005016296
LOC127062093,ENSVVLG00005016295
LOC127062094,ENSVVLG00005015500
LOC127062095,ENSVVLG00005002065
LOC127062096,ENSVVLG00005014579
LOC127062099,ENSVVLG00005003398
LOC127062100,ENSVVLG00005015618
LOC127062101,ENSVVLG00005004033
LOC127062102,ENSVVLG00005001435
LOC127062103,ENSVVLG00005000460
LOC127062104,ENSVVLG00005000081
LOC127062106,ENSVVLG00005015722
LOC127062107,ENSVVLG00005000719
LOC127062109,ENSVVLG00005015535
LOC127062111,ENSVVLG00005002687
LOC127062112,ENSVVLG00005002530
LOC127062113,ENSVVLG00005001929
LOC127062114,ENSVVLG00005000262
LOC127062115,ENSVVLG00005002445
LOC127062116,ENSVVLG00005015488
LOC127062117,ENSVVLG00005014818
LOC127062118,ENSVVLG00005004254
LOC127062121,ENSVVLG00005003632
LOC127062122,ENSVVLG00005003621
LOC127062124,ENSVVLG00005016012
LOC127062125,ENSVVLG00005014706
LOC127062130,ENSVVLG00005016035
LOC127062131,ENSVVLG00005016179
LOC127062132,ENSVVLG00005000825
LOC127062134,ENSVVLG00005004979
LOC127062135,ENSVVLG00005000627
LOC127062136,ENSVVLG00005014775
LOC127062137,ENSVVLG00005000017
LOC127062138,ENSVVLG00005015600
LOC127062139,ENSVVLG00005003500
LOC127062140,ENSVVLG00005014804
LOC127062143,ENSVVLG00005001381
LOC127062144,ENSVVLG00005002879
LOC127062145,ENSVVLG00005000636
LOC127062147,ENSVVLG00005004288
LOC127062149,ENSVVLG00005000310
LOC127062150,ENSVVLG00005003180
LOC127062151,ENSVVLG00005001031
LOC127062153,ENSVVLG00005004455
LOC127062154,ENSVVLG00005005098
LOC127062156,ENSVVLG00005001365
LOC127062158,ENSVVLG00005015140
LOC127062159,ENSVVLG00005003576
LOC127062160,ENSVVLG00005014500
LOC127062165,ENSVVLG00005004785
LOC127062174,ENSVVLG00005014938
LOC127062175,ENSVVLG00005003190
LOC127062177,ENSVVLG00005000091
LOC127062185,ENSVVLG00005000364
LOC127062187,ENSVVLG00005000007
LOC127062189,ENSVVLG00005014569
LOC127062190,ENSVVLG00005000834
LOC127062193,ENSVVLG00005000291
LOC127062194,ENSVVLG00005014562
LOC127062195,ENSVVLG00005014557
LOC127062198,ENSVVLG00005014487
LOC127062200,ENSVVLG00005014475
LOC127062201,ENSVVLG00005014480
LOC127062202,ENSVVLG00005001020
LOC127062204,ENSVVLG00005014559
LOC127062206,ENSVVLG00005014470
LOC127062207,ENSVVLG00005014495
LOC127062208,ENSVVLG00005014573
LOC127062215,ENSVVLG00005014478
LOC127062216,ENSVVLG00005001323
LOC127062220,ENSVVLG00005001870
LOC127062221,ENSVVLG00005014692
LOC127062222,ENSVVLG00005001721
LOC127062223,ENSVVLG00005004242
LOC127062224,ENSVVLG00005015799
LOC127062225,ENSVVLG00005015893
LOC127062226,ENSVVLG00005005127
LOC127062227,ENSVVLG00005000329
LOC127062228,ENSVVLG00005005171
LOC127062229,ENSVVLG00005000578
LOC127062230,ENSVVLG00005014860
LOC127062232,ENSVVLG00005005260
LOC127062233,ENSVVLG00005005277
LOC127062234,ENSVVLG00005016225
LOC127062235,ENSVVLG00005005162
LOC127062236,ENSVVLG00005015260
LOC127062237,ENSVVLG00005005220
LOC127062238,ENSVVLG00005000729
LOC127062239,ENSVVLG00005015202
LOC127062240,ENSVVLG00005002111
LOC127062241,ENSVVLG00005002363
LOC127062242,ENSVVLG00005001962
LOC127062243,ENSVVLG00005002313
LOC127062244,ENSVVLG00005000886
LOC127062245,ENSVVLG00005001225
LOC127062246,ENSVVLG00005005242
LOC127062247,ENSVVLG00005015297
LOC127062248,ENSVVLG00005005151
LOC127062249,ENSVVLG00005003356
LOC127062250,ENSVVLG00005005193
LOC127062251,ENSVVLG00005005293
LOC127062252,ENSVVLG00005001245
LOC127062253,ENSVVLG00005015002
LOC127062256,ENSVVLG00005015561
LOC127062258,ENSVVLG00005004136
LOC127062259,ENSVVLG00005014488
LOC127062260,ENSVVLG00005014468
LOC127062261,ENSVVLG00005014510
LOC127062263,ENSVVLG00005014564
LOC127062264,ENSVVLG00005014544
LOC127062265,ENSVVLG00005014469
LOC127062266,ENSVVLG00005014476
LOC127062269,ENSVVLG00005014481
LOC127062270,ENSVVLG00005014565
LOC127062273,ENSVVLG00005014900
LOC127062274,ENSVVLG00005016307
LOC127062276,ENSVVLG00005015765
LOC127062278,ENSVVLG00005015175
LOC127062279,ENSVVLG00005016023
LOC127062280,ENSVVLG00005016322
LOC127062281,ENSVVLG00005003457
LOC127062282,ENSVVLG00005015099
LOC127062284,ENSVVLG00005014973
LOC127062285,ENSVVLG00005014890
LOC127062286,ENSVVLG00005001215
LOC127062288,ENSVVLG00005000160
LOC127062289,ENSVVLG00005015057
LOC127062290,ENSVVLG00005015244
LOC127062291,ENSVVLG00005002618
LOC127062292,ENSVVLG00005001178
LOC127062293,ENSVVLG00005002922
LOC127062294,ENSVVLG00005015516
LOC127062297,ENSVVLG00005000681
LOC127062298,ENSVVLG00005000969
LOC127062299,ENSVVLG00005000767
LOC127062300,ENSVVLG00005016123
LOC127062302,ENSVVLG00005004768
LOC127062303,ENSVVLG00005004955
LOC127062304,ENSVVLG00005015665
LOC127062305,ENSVVLG00005004909
LOC127062306,ENSVVLG00005015508
LOC127062307,ENSVVLG00005002710
LOC127062308,ENSVVLG00005001164
LOC127062309,ENSVVLG00005000651
LOC127062313,ENSVVLG00005014732
LOC127062314,ENSVVLG00005015681
LOC127062315,ENSVVLG00005001106
LOC127062317,ENSVVLG00005001204
LOC127062320,ENSVVLG00005001422
LOC127062321,ENSVVLG00005002792
LOC127062322,ENSVVLG00005016170
LOC127062323,ENSVVLG00005000559
LOC127062324,ENSVVLG00005000151
LOC127062326,ENSVVLG00005001819
LOC127062327,ENSVVLG00005002381
LOC127062328,ENSVVLG00005003646
LOC127062329,ENSVVLG00005000115
LOC127062330,ENSVVLG00005002881
LOC127062332,ENSVVLG00005000285
LOC127062333,ENSVVLG00005015328
LOC127062334,ENSVVLG00005016056
LOC127062335,ENSVVLG00005004201
LOC127062336,ENSVVLG00005000521
LOC127062337,ENSVVLG00005002701
LOC127062338,ENSVVLG00005001457
LOC127062339,ENSVVLG00005003746
LOC127062342,ENSVVLG00005004165
LOC127062343,ENSVVLG00005015447
LOC127062344,ENSVVLG00005015031
LOC127062345,ENSVVLG00005016328
LOC127062346,ENSVVLG00005003467
LOC127062347,ENSVVLG00005015629
LOC127062348,ENSVVLG00005002328
LOC127062349,ENSVVLG00005015353
LOC127062350,ENSVVLG00005015087
LOC127062351,ENSVVLG00005002428
LOC127062353,ENSVVLG00005000478
LOC127062355,ENSVVLG00005015102
LOC127062358,ENSVVLG00005015595
LOC127062360,ENSVVLG00005001597
LOC127062361,ENSVVLG00005003278
LOC127062363,ENSVVLG00005004225
LOC127062364,ENSVVLG00005000793
LOC127062365,ENSVVLG00005001341
LOC127062366,ENSVVLG00005004126
LOC127062367,ENSVVLG00005003784
LOC127062368,ENSVVLG00005002284
LOC127062369,ENSVVLG00005000519
LOC127062370,ENSVVLG00005001073
LOC127062371,ENSVVLG00005014661
LOC127062372,ENSVVLG00005001140
