gene_vv,symbol_vv,description_vv,genetype_vv,ntranscripts_vv,chromosome_vv,accession_vv,start_vv,stop_vv
LOC127061417,P5cr-2,Pyrroline-5-carboxylate reductase-like 2,PROTEIN_CODING,2,1,NC_066586.1,12066017,12072351
LOC127061419,CaBP1,Protein disulfide-isomerase A6 homolog CaBP1,PROTEIN_CODING,2,2,NC_066587.1,1579451,1582480
LOC127061420,Kaz,Katazuke,PROTEIN_CODING,1,2,NC_066587.1,1597980,1600114
LOC127061423,drpr,draper,PROTEIN_CODING,3,2,NC_066587.1,7033196,7053567
LOC127061428,Fntb,Farnesyl transferase beta subunit,PROTEIN_CODING,1,2,NC_066587.1,7030693,7032988
LOC127061430,Vps26,vacuolar protein sorting 26,PROTEIN_CODING,3,2,NC_066587.1,7022309,7027421
LOC127061435,Tpcn1,two pore segment channel 1,PROTEIN_CODING,2,2,NC_066587.1,9397324,9403816
LOC127061441,gny,garnysstan,PROTEIN_CODING,1,2,NC_066587.1,9404220,9405509
LOC127061442,RpL6,ribosomal protein L6,PROTEIN_CODING,2,2,NC_066587.1,9395401,9397009
LOC127061446,lt,vacuolar protein sorting-associated protein light,PROTEIN_CODING,6,2,NC_066587.1,6490908,6496997
LOC127061448,BicD,protein bicaudal D,PROTEIN_CODING,2,2,NC_066587.1,6502572,6510093
LOC127061449,Atg7,Autophagy-related 7,PROTEIN_CODING,1,2,NC_066587.1,6465700,6469644
LOC127061450,ATPsynbeta,"ATP synthase, beta subunit",PROTEIN_CODING,1,2,NC_066587.1,6485351,6488688
LOC127061452,ArfGAP1,ADP-ribosylation factor GTPase-activating protein 1,PROTEIN_CODING,1,2,NC_066587.1,6481548,6483721
LOC127061459,AdamTS-A,ADAM metallopeptidase with thrombospondin type 1 motif A,PROTEIN_CODING,6,2,NC_066587.1,1743315,1860193
LOC127061461,Ir8a,Ionotropic receptor 8a,PROTEIN_CODING,1,2,NC_066587.1,1869667,1876723
LOC127061469,Grip,Glutamate receptor interacting protein,PROTEIN_CODING,2,2,NC_066587.1,12755194,12758700
LOC127061471,SCOT,Succinyl-CoA:3-ketoacid CoA transferase,PROTEIN_CODING,1,2,NC_066587.1,12726604,12729576
LOC127061472,Mkp3,Mitogen-activated protein kinase phosphatase 3,PROTEIN_CODING,2,2,NC_066587.1,12743247,12747878
LOC127061477,Naa15-16,N-alpha-acetyltransferase 15/16,PROTEIN_CODING,4,2,NC_066587.1,6247399,6286648
LOC127061481,arg,arginase,PROTEIN_CODING,2,2,NC_066587.1,6293804,6295494
LOC127061486,Rbcn-3A,Rabconnectin-3A,PROTEIN_CODING,8,2,NC_066587.1,6144978,6164682
LOC127061495,CalpC,calpain-C,PROTEIN_CODING,4,2,NC_066587.1,4538512,4563888
LOC127061499,Ant,ADP/ATP translocase,PROTEIN_CODING,1,2,NC_066587.1,4533788,4536937
LOC127061505,AGO3,Argonaute 3,PROTEIN_CODING,1,2,NC_066587.1,11980676,11986499
LOC127061506,Inos,Inositol-3-phosphate synthase,PROTEIN_CODING,2,2,NC_066587.1,11951163,11955966
LOC127061507,CysRS-m,"cysteine--tRNA ligase-like protein, mitochondrial",PROTEIN_CODING,8,2,NC_066587.1,11946262,11951100
LOC127061508,BckdhA,Branched chain keto acid dehydrogenase E1 subunit alpha,PROTEIN_CODING,1,2,NC_066587.1,11987041,11989199
LOC127061509,spict,magnesium transporter spict,PROTEIN_CODING,1,2,NC_066587.1,11943220,11945182
LOC127061510,Non3,Ribosome production factor 2-like protein Non3,PROTEIN_CODING,1,2,NC_066587.1,11945211,11946922
LOC127061512,mRpL17,mitochondrial ribosomal protein L17,PROTEIN_CODING,1,2,NC_066587.1,11989338,11990242
LOC127061513,mge,translocase of outer mitochondrial membrane 22 homolog mge,PROTEIN_CODING,1,2,NC_066587.1,11990764,11992254
LOC127061519,sick,sickie,PROTEIN_CODING,10,2,NC_066587.1,19162640,19246167
LOC127061520,Ca-alpha1T,Ca[2+]-channel protein alpha[[1]] subunit T,PROTEIN_CODING,6,2,NC_066587.1,19026900,19082142
LOC127061522,mop,myopic,PROTEIN_CODING,2,2,NC_066587.1,18666620,18674386
LOC127061523,garnet,"adaptor-related protein complex 3, delta 1 subunit-like garnet",PROTEIN_CODING,1,1,NC_066586.1,17804382,17811983
LOC127061524,Rrp5,Ribosomal RNA Processing 5,PROTEIN_CODING,3,2,NC_066587.1,19147984,19154189
LOC127061530,Stt3A,catalytic subunit 3A of the oligosaccharyltransferase complex,PROTEIN_CODING,1,2,NC_066587.1,18673753,18678747
LOC127061533,Npl4,nuclear protein localization 4,PROTEIN_CODING,3,2,NC_066587.1,19110458,19123083
LOC127061536,Nsun5,Nop2/Sun-like domain containing protein 5,PROTEIN_CODING,2,2,NC_066587.1,19154207,19157753
LOC127061540,Pfrx,6-phosphofructo-2-kinase,PROTEIN_CODING,3,2,NC_066587.1,18656710,18663688
LOC127061541,stet,stem cell tumor,PROTEIN_CODING,1,2,NC_066587.1,18783628,19016396
LOC127061571,Tace,ADAM 17-like protease Tace,PROTEIN_CODING,1,1,NC_066586.1,17790817,17794817
LOC127061573,ND-18,NADH:ubiquinone oxidoreductase subunit 18,PROTEIN_CODING,2,2,NC_066587.1,1436998,1438458
LOC127061575,Octalpha2R,alpha2-adrenergic-like octopamine receptor,PROTEIN_CODING,10,2,NC_066587.1,8976513,9080246
LOC127061576,Zw10,Zeste-white 10,PROTEIN_CODING,2,1,NC_066586.1,17231409,17236551
LOC127061579,mamo,maternal gene required for meiosis,PROTEIN_CODING,4,2,NC_066587.1,1132890,1199007
LOC127061584,MED17,mediator complex subunit 17,PROTEIN_CODING,1,1,NC_066586.1,17241871,17245521
LOC127061585,TyrRS,Tyrosyl-tRNA synthetase,PROTEIN_CODING,3,2,NC_066587.1,1079201,1091331
LOC127061586,Rassf,Ras association family member,PROTEIN_CODING,1,2,NC_066587.1,1111196,1116746
LOC127061590,Mpv17,Mitochondrial inner membrane protein MPV17,PROTEIN_CODING,1,2,NC_066587.1,1070394,1071812
LOC127061593,eIF1,eukaryotic translation initiation factor eIF1,PROTEIN_CODING,1,2,NC_066587.1,1072649,1075586
LOC127061595,scrib,scribble,PROTEIN_CODING,11,2,NC_066587.1,11899150,11936545
LOC127061602,Pex11c,Peroxin 11c,PROTEIN_CODING,1,2,NC_066587.1,11897151,11899095
LOC127061605,RyR,Ryanodine receptor,PROTEIN_CODING,14,2,NC_066587.1,13187404,13219005
LOC127061607,PIG-O,phosphatidylinositol glycan anchor biosynthesis class O,PROTEIN_CODING,1,2,NC_066587.1,13226392,13231329
LOC127061611,shep,alan shepard,PROTEIN_CODING,13,2,NC_066587.1,11556967,11579600
LOC127061612,Hel25E,ATP-dependent RNA helicase 25E,PROTEIN_CODING,1,2,NC_066587.1,11545044,11550293
LOC127061619,Lmx1a,LIM homeobox transcription factor 1 alpha,PROTEIN_CODING,1,1,NC_066586.1,17850451,17857310
LOC127061622,Mpi,mannose phosphate isomerase,PROTEIN_CODING,1,2,NC_066587.1,12686794,12688720
LOC127061625,Trs33,trafficking protein particle complex subunit Trs33,PROTEIN_CODING,4,2,NC_066587.1,12688884,12690201
LOC127061627,ATPsynC,"ATP synthase, subunit C",PROTEIN_CODING,1,2,NC_066587.1,12663147,12665744
LOC127061630,frtz,WD repeat-containing and planar cell polarity effector protein fritz,PROTEIN_CODING,6,2,NC_066587.1,970346,975882
LOC127061634,ITP,ion transport peptide,PROTEIN_CODING,4,2,NC_066587.1,992607,1041080
LOC127061639,Hsc70-5,Heat shock protein 70 cognate 5,PROTEIN_CODING,1,2,NC_066587.1,9326498,9332057
LOC127061642,fbp,"fructose-1,6-bisphosphatase",PROTEIN_CODING,1,2,NC_066587.1,9325721,9327772
LOC127061643,Psa,puromycin-sensitive aminopeptidase,PROTEIN_CODING,1,2,NC_066587.1,5289625,5294118
LOC127061646,NELF-B,negative elongation factor B,PROTEIN_CODING,2,2,NC_066587.1,5306675,5309695
LOC127061648,Eip63E,cyclin dependent kinase Eip63E,PROTEIN_CODING,6,2,NC_066587.1,5294922,5301394
LOC127061649,qm,quemao,PROTEIN_CODING,1,2,NC_066587.1,5310390,5313730
LOC127061651,emc,Basic helix-loop-helix domain-containing extra-macrochaetae,PROTEIN_CODING,1,2,NC_066587.1,5286196,5288167
LOC127061653,Pp2C1,protein phosphatase 2C,PROTEIN_CODING,3,2,NC_066587.1,951341,958204
LOC127061659,dsd,attractin-like protein dsd,PROTEIN_CODING,3,2,NC_066587.1,363352,381781
LOC127061663,egg,eggless,PROTEIN_CODING,3,2,NC_066587.1,222897,228412
LOC127061668,Dis3,exosome complex exonuclease RRP44-like protein Dis3,PROTEIN_CODING,1,2,NC_066587.1,51385,55987
LOC127061671,Hr96,Nuclear hormone receptor HR96,PROTEIN_CODING,1,2,NC_066587.1,354821,359755
LOC127061673,dsh,Segment polarity protein dishevelled,PROTEIN_CODING,3,2,NC_066587.1,32157,43020
LOC127061680,Oamb,Octopamine receptor in mushroom bodies,PROTEIN_CODING,10,2,NC_066587.1,382099,434543
LOC127061681,aph-1,gamma-secretase subunit Aph-1,PROTEIN_CODING,1,1,NC_066586.1,17246263,17247610
LOC127061689,Lkb1,Lkb1 kinase,PROTEIN_CODING,1,2,NC_066587.1,230767,236697
LOC127061692,HtrA2,HTRA2-related serine protease,PROTEIN_CODING,1,2,NC_066587.1,449440,451585
LOC127061697,sit,stuck in traffic,PROTEIN_CODING,5,2,NC_066587.1,123474,145459
LOC127061704,EloB,elongin B,PROTEIN_CODING,1,1,NC_066586.1,17786793,17787941
LOC127061705,U2A,small nuclear ribonucleoprotein polypeptide A'-like U2A,PROTEIN_CODING,2,2,NC_066587.1,148974,150509
LOC127061707,AP-1sigma,AP-1 complex subunit sigma-2,PROTEIN_CODING,3,2,NC_066587.1,60100,67982
LOC127061709,Arl8,ADP-ribosylation factor-like protein 8,PROTEIN_CODING,1,2,NC_066587.1,199259,203005
LOC127061710,Dhfr,dihydrofolate reductase,PROTEIN_CODING,1,2,NC_066587.1,321069,322145
LOC127061713,ND-B18,NADH dehydrogenase (ubiquinone) B18 subunit,PROTEIN_CODING,2,2,NC_066587.1,147249,148945
LOC127061721,Pitslre,cyclin dependent kinase 11B pitslre,PROTEIN_CODING,3,2,NC_066587.1,18621515,18626541
LOC127061724,Tsp66E,Tetraspanin 66E,PROTEIN_CODING,7,2,NC_066587.1,18579248,18608415
LOC127061727,Remo,Remoulade,PROTEIN_CODING,3,2,NC_066587.1,8336845,8343351
LOC127061728,RpII140,RNA polymerase II subunit RpII140,PROTEIN_CODING,1,2,NC_066587.1,8345383,8350094
LOC127061729,Ide,Insulin degrading metalloproteinase,PROTEIN_CODING,3,2,NC_066587.1,8319792,8325676
LOC127061730,Smu1,Smu1 spliceosomal factor,PROTEIN_CODING,5,2,NC_066587.1,8311882,8319231
LOC127061731,SerRS-m,"Seryl-tRNA synthetase, mitochondrial",PROTEIN_CODING,2,2,NC_066587.1,8331727,8334396
LOC127061733,kra,basic leucine zipper and W2 domain-containing protein kra,PROTEIN_CODING,3,2,NC_066587.1,8328970,8331672
LOC127061734,Coprox,oxygen-dependent coproporphyrinogen-III oxidase,PROTEIN_CODING,1,2,NC_066587.1,8334542,8336400
LOC127061766,IRSp53,Insulin receptor substrate 53 kDa,PROTEIN_CODING,9,1,NC_066586.1,15481151,15630097
LOC127061767,LysRS,Lysyl-tRNA synthetase,PROTEIN_CODING,3,2,NC_066587.1,9694277,9697288
LOC127061776,RpLP0,ribosomal protein LP0,PROTEIN_CODING,1,2,NC_066587.1,11806794,11808713
LOC127061779,NKCC,sodium potassium chloride cotransporter,PROTEIN_CODING,7,2,NC_066587.1,2177043,2192256
LOC127061780,Spt,Spitting Image,PROTEIN_CODING,1,2,NC_066587.1,2206611,2211989
LOC127061787,fdl,fused lobes,PROTEIN_CODING,9,2,NC_066587.1,4260816,4278541
LOC127061796,Tssk,Testis-specific serine/threonine kinase,PROTEIN_CODING,1,2,NC_066587.1,11735073,11737760
LOC127061802,put,activin A receptor type 2 punt,PROTEIN_CODING,1,2,NC_066587.1,11862139,11870012
LOC127061804,cnn,centrosomin,PROTEIN_CODING,7,2,NC_066587.1,14621397,14640288
LOC127061807,Lim3,Lim3 homeobox protein,PROTEIN_CODING,3,2,NC_066587.1,14643313,14675033
LOC127061811,HLH54F,HLH54F,PROTEIN_CODING,1,2,NC_066587.1,5265332,5267627
LOC127061812,Grip128,gamma-tubulin complex component 5,PROTEIN_CODING,4,2,NC_066587.1,10690117,10698004
LOC127061813,IP3K1,inositol-trisphosphate 3-kinase-like protein,PROTEIN_CODING,2,2,NC_066587.1,10698135,10707855
LOC127061817,Ets97D,DNA-binding protein Ets97D,PROTEIN_CODING,1,2,NC_066587.1,879824,882981
LOC127061823,Isha,Insulator su(Hw) mRNA adaptor,PROTEIN_CODING,1,2,NC_066587.1,1555989,1567225
LOC127061824,Mer,ezrin/radixin/moesin family protein merlin,PROTEIN_CODING,2,2,NC_066587.1,1948286,1953876
LOC127061836,D2hgdh,D-2-hydroxyglutaric acid dehydrogenase,PROTEIN_CODING,2,2,NC_066587.1,16618785,16630964
LOC127061838,Dysb,Dysbindin,PROTEIN_CODING,2,2,NC_066587.1,16602389,16610970
LOC127061842,Ctps,CTP synthase,PROTEIN_CODING,1,2,NC_066587.1,7177276,7181667
LOC127061843,Ppox,protoporphyrinogen oxidase,PROTEIN_CODING,1,2,NC_066587.1,7170440,7172293
LOC127061847,Ipp,inositol polyphosphate 1-phosphatase,PROTEIN_CODING,1,2,NC_066587.1,7168086,7170455
LOC127061849,Rpe,Ribulose-5-phosphate-3-epimerase,PROTEIN_CODING,1,2,NC_066587.1,7175885,7177164
LOC127061850,Taf13,TATA-box binding protein associated factor 13,PROTEIN_CODING,1,2,NC_066587.1,7172449,7175002
LOC127061854,AsnRS,asparagine--tRNA ligase,PROTEIN_CODING,1,2,NC_066587.1,8273258,8276388
LOC127061855,Ccz1,vacuolar fusion protein CCZ1,PROTEIN_CODING,2,2,NC_066587.1,8267949,8273115
LOC127061857,mRpL39,mitochondrial ribosomal protein L39,PROTEIN_CODING,1,2,NC_066587.1,8263570,8265032
LOC127061860,Chsy,Chondroitin sulfate synthase,PROTEIN_CODING,9,2,NC_066587.1,10830758,10839406
LOC127061861,RpS9,ribosomal protein S9,PROTEIN_CODING,22,1,NC_066586.1,15650346,15660634
LOC127061869,IKKepsilon,I-kappaB kinase epsilon,PROTEIN_CODING,1,2,NC_066587.1,15758332,15761375
LOC127061872,AMPKalpha,AMP-activated protein kinase alpha subunit,PROTEIN_CODING,1,2,NC_066587.1,15769947,15773219
LOC127061875,rad50,DNA repair protein rad50,PROTEIN_CODING,1,2,NC_066587.1,4419253,4425683
LOC127061879,HGTX,HGTX homeodomain transcription factor,PROTEIN_CODING,1,2,NC_066587.1,4434584,4456986
LOC127061883,PlexA,plexin A,PROTEIN_CODING,1,2,NC_066587.1,15836046,16113867
LOC127061889,Iyd,Iodotyrosine deiodinase,PROTEIN_CODING,3,2,NC_066587.1,16203282,16205768
LOC127061897,ThrRS,threonine--tRNA ligase,PROTEIN_CODING,3,2,NC_066587.1,16220718,16224166
LOC127061899,CCT4,chaperonin containing TCP1 subunit 4,PROTEIN_CODING,1,2,NC_066587.1,16477092,16480224
LOC127061900,tup,LIM1_Isl and LIM2_Isl domain-containing protein tup,PROTEIN_CODING,6,2,NC_066587.1,16229620,16311127
LOC127061902,Bka,FCF1 rRNA-processing protein Bka,PROTEIN_CODING,1,2,NC_066587.1,16485732,16486965
LOC127061910,MED14,mediator complex subunit 14,PROTEIN_CODING,5,2,NC_066587.1,18548238,18557326
LOC127061911,AGBE,"1,4-alpha-glucan-branching enzyme",PROTEIN_CODING,1,2,NC_066587.1,18544565,18548044
LOC127061913,Trax,Translin associated factor X,PROTEIN_CODING,1,2,NC_066587.1,18539225,18540766
LOC127061914,NC2alpha,negative cofactor 2 alpha,PROTEIN_CODING,2,2,NC_066587.1,18541152,18542660
LOC127061920,cpb,F-actin-capping protein subunit beta,PROTEIN_CODING,2,2,NC_066587.1,4204971,4209724
LOC127061922,eEF5,eukaryotic translation elongation factor 5,PROTEIN_CODING,2,2,NC_066587.1,4212137,4215048
LOC127061925,Sec31,secretory 31,PROTEIN_CODING,1,2,NC_066587.1,10912631,10918507
LOC127061926,IntS10,integrator complex subunit 10,PROTEIN_CODING,3,2,NC_066587.1,10908841,10913275
LOC127061927,Smyd3,"SET and MYND domain containing, class 3",PROTEIN_CODING,2,2,NC_066587.1,10902137,10904801
LOC127061928,Surf4,Surfeit locus protein 4,PROTEIN_CODING,2,2,NC_066587.1,10905435,10907277
LOC127061929,ubl,Ubiquitin-like protein 5,PROTEIN_CODING,4,2,NC_066587.1,10907307,10908699
LOC127061930,Pgm2a,phosphoglucomutase 2,PROTEIN_CODING,3,2,NC_066587.1,17573407,17577734
LOC127061935,eEF1beta,elongation factor 1-beta,PROTEIN_CODING,2,2,NC_066587.1,17571793,17573272
LOC127061946,Rpb7,DNA-directed RNA polymerase II subunit RPB7,PROTEIN_CODING,1,2,NC_066587.1,10891858,10893441
LOC127061962,nero,deoxyhypusine hydroxylase nero,PROTEIN_CODING,1,2,NC_066587.1,12790752,12792348
LOC127061964,mRpS23,mitochondrial ribosomal protein S23,PROTEIN_CODING,1,2,NC_066587.1,12789748,12790674
LOC127061974,Mrm2,Mitochondrial rRNA methyltransferase 2,PROTEIN_CODING,1,1,NC_066586.1,15405730,15408124
LOC127061990,Ipo9,Importin 9,PROTEIN_CODING,3,2,NC_066587.1,12912442,12917627
LOC127061996,Sfxn1-3,Sideroflexin-1-3,PROTEIN_CODING,2,2,NC_066587.1,9310569,9317691
LOC127061997,mRpL2,mitochondrial ribosomal protein L2,PROTEIN_CODING,1,2,NC_066587.1,9312718,9314033
LOC127062003,ZnT63C,solute carrier family 30 member 1,PROTEIN_CODING,4,2,NC_066587.1,9673735,9678464
LOC127062017,Syn2,Syntrophin-like 2,PROTEIN_CODING,3,2,NC_066587.1,14104210,14111541
LOC127062022,superdeath,Suppressor of ER stress-induced death,PROTEIN_CODING,5,2,NC_066587.1,13805876,13826617
LOC127062024,mAChR-B,muscarinic acetylcholine receptor,PROTEIN_CODING,2,2,NC_066587.1,13730571,13763086
LOC127062030,Acadvl,Acyl-CoA dehydrogenase very long chain,PROTEIN_CODING,1,2,NC_066587.1,14097865,14101480
LOC127062034,Atg16,Autophagy-related 16,PROTEIN_CODING,1,2,NC_066587.1,13360048,13693000
LOC127062041,Scamp,secretory carrier membrane protein,PROTEIN_CODING,1,2,NC_066587.1,14065585,14067957
LOC127062061,PIG-G,phosphatidylinositol glycan anchor biosynthesis class G,PROTEIN_CODING,5,2,NC_066587.1,1567878,1571809
LOC127062062,Gmppa,GDP-mannose pyrophosphorylase A,PROTEIN_CODING,1,2,NC_066587.1,1571810,1574098
LOC127062087,AP-1gamma,"adaptor protein complex 1, gamma subunit",PROTEIN_CODING,19,1,NC_066586.1,18053332,18064072
LOC127062099,su(sable),suppressor of sable,PROTEIN_CODING,5,3,NC_066588.1,7650440,7662850
LOC127062104,okr,DNA repair and recombination protein RAD54-like okr,PROTEIN_CODING,1,3,NC_066588.1,7647007,7650310
LOC127062107,Su(var)3-9,suppressor of variegation 3-9,PROTEIN_CODING,3,3,NC_066588.1,7681201,7689056
LOC127062120,Taf8,TBP-associated factor 8,PROTEIN_CODING,3,3,NC_066588.1,7663671,7667039
LOC127062122,mRpS18C,mitochondrial ribosomal protein S18C,PROTEIN_CODING,1,3,NC_066588.1,7679676,7680651
LOC127062130,TM9SF4,transmembrane 9 superfamily protein member 4,PROTEIN_CODING,3,3,NC_066588.1,8371636,8376308
LOC127062131,PGAP5,Per1-like protein PGAP5,PROTEIN_CODING,1,3,NC_066588.1,8375868,8378093
LOC127062132,Ets65A,DNA-binding protein D-ETS-3,PROTEIN_CODING,4,3,NC_066588.1,5135180,5165962
LOC127062133,nvd,neverland,PROTEIN_CODING,3,3,NC_066588.1,2794476,2797989
LOC127062135,RpS13,ribosomal protein S13,PROTEIN_CODING,1,3,NC_066588.1,2783398,2784844
LOC127062136,Hmgs,hydroxymethylglutaryl-CoA synthase,PROTEIN_CODING,1,3,NC_066588.1,3987933,3990602
LOC127062137,Rab19,RAS oncogene family member Rab19,PROTEIN_CODING,1,3,NC_066588.1,3991598,3993932
LOC127062139,pll,serine/threonine-protein kinase pelle,PROTEIN_CODING,1,3,NC_066588.1,3241244,3243404
LOC127062143,Dim1,thioredoxin-like protein Dim1,PROTEIN_CODING,3,3,NC_066588.1,3243510,3244549
LOC127062145,Mtpalpha,monolysocardiolipin acyltransferase Mtpalpha,PROTEIN_CODING,1,3,NC_066588.1,8383566,8388024
LOC127062149,Fbxl4,F box and leucine-rich-repeat gene 4,PROTEIN_CODING,2,1,NC_066586.1,18048356,18051368
LOC127062196,KCNQ,KCNQ potassium channel,PROTEIN_CODING,8,3,NC_066588.1,10672401,10732776
LOC127062198,sip1,septin interacting protein 1,PROTEIN_CODING,1,3,NC_066588.1,10790448,10794936
LOC127062201,svp,COUP transcription factor 2,PROTEIN_CODING,2,3,NC_066588.1,10845895,10965301
LOC127062203,alka,alkaliphile,PROTEIN_CODING,2,3,NC_066588.1,10820394,10825240
LOC127062215,mei-W68,meiotic W68,PROTEIN_CODING,1,3,NC_066588.1,12406219,12407870
LOC127062218,trol,terribly reduced optic lobes,PROTEIN_CODING,44,3,NC_066588.1,89511,177227
LOC127062220,rswl,roswell,PROTEIN_CODING,1,1,NC_066586.1,18046481,18048130
LOC127062221,CSN5,COP9 signalosome subunit 5,PROTEIN_CODING,3,1,NC_066586.1,18064233,18066205
LOC127062223,Grp170,Grp170 co-chaperone,PROTEIN_CODING,2,3,NC_066588.1,298344,303070
LOC127062228,Dus3,Dihydrouridine synthase 3,PROTEIN_CODING,1,3,NC_066588.1,214372,217016
LOC127062232,Pdfr,Pigment-dispersing factor receptor,PROTEIN_CODING,1,3,NC_066588.1,181232,200213
LOC127062233,kdn,knockdown,PROTEIN_CODING,2,3,NC_066588.1,50877,64780
LOC127062235,Pgd,phosphogluconate dehydrogenase,PROTEIN_CODING,1,3,NC_066588.1,70140,72911
LOC127062237,Cth,Cystathionine gamma-lyase,PROTEIN_CODING,4,3,NC_066588.1,79202,82923
LOC127062239,myd,mayday,PROTEIN_CODING,3,3,NC_066588.1,199890,203126
LOC127062240,rho-6,rhomboid-6,PROTEIN_CODING,4,1,NC_066586.1,18131946,18246556
LOC127062243,stck,LIM zinc finger domain containing stck,PROTEIN_CODING,4,3,NC_066588.1,291761,294215
LOC127062249,ste14,isoprenylcysteine carboxylmethyltransferase ste14,PROTEIN_CODING,1,3,NC_066588.1,177196,179552
LOC127062253,Arl5,ADP-ribosylation factor-like 5,PROTEIN_CODING,2,3,NC_066588.1,64387,68731
LOC127062258,Arfrp1,ADP-ribosylation factor related protein 1,PROTEIN_CODING,1,1,NC_066586.1,18051848,18053101
LOC127062260,Pi3K68D,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit Pi3K68D,PROTEIN_CODING,7,3,NC_066588.1,12229985,12242961
LOC127062267,vari,MAGUK p55 subfamily member vari,PROTEIN_CODING,7,3,NC_066588.1,12269192,12288663
LOC127062274,Bap170,Brahma associated protein 170kD,PROTEIN_CODING,4,3,NC_066588.1,9349235,9377675
LOC127062282,BBS8,tetratricopeptide repeat protein 8,PROTEIN_CODING,2,3,NC_066588.1,9317911,9320528
LOC127062283,Slimp,Seryl-tRNA synthetase-like insect mitochondrial protein,PROTEIN_CODING,3,3,NC_066588.1,9381698,9393752
LOC127062285,Pisd,phosphatidylserine decarboxylase,PROTEIN_CODING,1,3,NC_066588.1,9300930,9304352
LOC127062290,Sptr,Sepiapterin reductase,PROTEIN_CODING,3,3,NC_066588.1,9309335,9311706
LOC127062292,mRpL21,mitochondrial ribosomal protein L21,PROTEIN_CODING,1,3,NC_066588.1,9394658,9395841
LOC127062294,fra,frazzled,PROTEIN_CODING,6,1,NC_066586.1,15798014,15828160
LOC127062298,glu,structural maintenance of chromosomes 4-like protein gluon,PROTEIN_CODING,1,3,NC_066588.1,3143933,3149938
LOC127062300,Gart,trifunctional purine biosynthetic protein adenosine-3 Gart,PROTEIN_CODING,3,3,NC_066588.1,3151913,3157320
LOC127062305,Lis-1,LisH and WD40 domain-containing Lis-1,PROTEIN_CODING,2,3,NC_066588.1,3165806,3177898
LOC127062313,Pvr,PDGF- and VEGF-receptor related,PROTEIN_CODING,2,3,NC_066588.1,5595954,5608585
LOC127062317,SPoCk,secretory pathway calcium atpase,PROTEIN_CODING,1,3,NC_066588.1,5551951,5561086
LOC127062323,ZnT77C,Zinc transporter 77C,PROTEIN_CODING,10,3,NC_066588.1,5584486,5595511
LOC127062330,Traf6,TNF-receptor-associated factor 6,PROTEIN_CODING,3,3,NC_066588.1,5581345,5585131
LOC127062331,Fitm,acyl-coenzyme A diphosphatase Fitm,PROTEIN_CODING,1,3,NC_066588.1,5574058,5576421
LOC127062355,stai,stathmin,PROTEIN_CODING,3,3,NC_066588.1,8823270,8835006
LOC127062365,kat80,katanin 80,PROTEIN_CODING,3,3,NC_066588.1,9945369,9952878
LOC127062373,eIF2beta,eukaryotic translation initiation factor 2 subunit beta,PROTEIN_CODING,3,3,NC_066588.1,9866982,9870158
LOC127062383,LSm7,U6 snRNA-associated Sm-like protein LSm7,PROTEIN_CODING,2,3,NC_066588.1,9821726,9822668
LOC127062387,Synd,protein kinase C and casein kinase substrate in neurons protein Synd,PROTEIN_CODING,7,3,NC_066588.1,11222076,11273650
