gene_pd,symbol_pd,description_pd,genetype_pd,ntranscripts_pd
LOC107063907,Sse,separase,PROTEIN_CODING,1
LOC107063908,Gmppb,GDP-mannose pyrophosphorylase B,PROTEIN_CODING,2
LOC107063910,Cul3,cullin 3,PROTEIN_CODING,2
LOC107063911,nAChRalpha6,nicotinic acetylcholine receptor alpha6,PROTEIN_CODING,1
LOC107063923,PCB,Pyruvate carboxylase,PROTEIN_CODING,3
LOC107063927,Prp8,pre-mRNA processing factor 8,PROTEIN_CODING,1
LOC107063929,Xpd,general transcription and DNA repair factor IIH helicase subunit Xpd,PROTEIN_CODING,1
LOC107063931,Fem-1,protein fem-1 homolog B,PROTEIN_CODING,1
LOC107063932,betaCOP,coatomer subunit beta,PROTEIN_CODING,2
LOC107063933,E2f1,E2F transcription factor 1,PROTEIN_CODING,8
LOC107063935,Rheb,Ras homolog enriched in brain,PROTEIN_CODING,2
LOC107063936,Galphai,G protein alpha i subunit,PROTEIN_CODING,1
LOC107063937,Polr3G,RNA polymerase III subunit G,PROTEIN_CODING,1
LOC107063938,Synj,synaptojanin,PROTEIN_CODING,2
LOC107063939,ari-2,E3 ubiquitin-protein ligase ari-2,PROTEIN_CODING,4
LOC107063949,cyst,rho guanine nucleotide exchange factor 18 cysts,PROTEIN_CODING,4
LOC107063967,DppIII,dipeptidyl peptidase 3,PROTEIN_CODING,4
LOC107063972,PIG-C,phosphatidylinositol glycan anchor biosynthesis class C,PROTEIN_CODING,1
LOC107063973,Idh,isocitrate dehydrogenase [NADP] cytoplasmic,PROTEIN_CODING,1
LOC107063974,Cox10,Cytochrome c oxidase assembly factor 10,PROTEIN_CODING,2
LOC107063978,Tis11,Tis11 zinc finger protein,PROTEIN_CODING,1
LOC107063980,pn,exopolyphosphatase prune,PROTEIN_CODING,1
LOC107063984,xmas,RRM_XMAS2 and SAC3_GANP domain-containing protein xmas,PROTEIN_CODING,1
LOC107063986,Cals,calsyntenin-1,PROTEIN_CODING,1
LOC107063987,DNApol-alpha73,DNA polymerase alpha subunit B,PROTEIN_CODING,2
LOC107063990,Hs6st,heparan sulfate 6-O-sulfotransferase,PROTEIN_CODING,3
LOC107063996,Naa35,N-alpha-acetyltransferase 35,PROTEIN_CODING,1
LOC107064000,spn-E,spindle E,PROTEIN_CODING,1
LOC107064002,Ube4A,Ubiquitination factor E4A,PROTEIN_CODING,1
LOC107064007,eIF4EHP,eukaryotic translation initiation factor 4E homologous protein,PROTEIN_CODING,2
LOC107064009,CPSF1,cleavage and polyadenylation specificity factor subunit 1,PROTEIN_CODING,2
LOC107064012,RpL35A,ribosomal protein L35A,PROTEIN_CODING,2
LOC107064015,mRpL19,mitochondrial ribosomal protein L19,PROTEIN_CODING,2
LOC107064016,RpL35,Ribosomal protein L35,PROTEIN_CODING,1
LOC107064018,aay,phosphoserine phosphatase,PROTEIN_CODING,2
LOC107064024,Klp67A,Kinesin-like protein at 67A,PROTEIN_CODING,1
LOC107064036,mRpS31,mitochondrial ribosomal protein S31,PROTEIN_CODING,1
LOC107064039,Cap-D2,CAP-D2 condensin subunit,PROTEIN_CODING,1
LOC107064048,Elp2,elongator complex protein 2,PROTEIN_CODING,1
LOC107064055,Vha100-1,V-type ATPase subunit a family protein Vha100-1,PROTEIN_CODING,6
LOC107064057,ATP6AP2,ATPase H(+)-transporting accessory protein 2,PROTEIN_CODING,4
LOC107064058,Gpdh1,Glycerol-3-phosphate dehydrogenase 1,PROTEIN_CODING,2
LOC107064060,TfIIFbeta,transcription factor TFIIFbeta,PROTEIN_CODING,1
LOC107064064,Snx27,sorting nexin 27,PROTEIN_CODING,1
LOC107064068,fat-spondin,extracellular matrix protein f-spondin,PROTEIN_CODING,1
LOC107064085,Calx,sodium/calcium exchanger 3,PROTEIN_CODING,4
LOC107064086,PNPase,polyribonucleotide nucleotidyltransferase 1,PROTEIN_CODING,1
LOC107064088,CLS,cardiolipin synthase,PROTEIN_CODING,1
LOC107064089,rsh,radish,PROTEIN_CODING,4
LOC107064097,cno,adherens junction formation factor afadin,PROTEIN_CODING,16
LOC107064098,rho-5,rhomboid-5,PROTEIN_CODING,5
LOC107064100,Bruce,BIR repeat containing ubiquitin-conjugating enzyme,PROTEIN_CODING,4
LOC107064113,mRpL41,mitochondrial ribosomal protein L41,PROTEIN_CODING,2
LOC107064114,Mnn1,menin 1,PROTEIN_CODING,2
LOC107064116,EloC,elongin C,PROTEIN_CODING,2
LOC107064128,Grd,GABA-gated ion channel,PROTEIN_CODING,1
LOC107064132,mRpS5,mitochondrial ribosomal protein S5,PROTEIN_CODING,1
LOC107064135,Hpr1,THO complex 1-like protein Hpr1,PROTEIN_CODING,2
LOC107064137,ND-19,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,PROTEIN_CODING,1
LOC107064140,Smg6,Smg6 nonsense mediated mRNA decay factor,PROTEIN_CODING,5
LOC107064144,shg,shotgun,PROTEIN_CODING,3
LOC107064147,Jarid2,"Jumonji, AT rich interactive domain 2",PROTEIN_CODING,1
LOC107064149,Vps28,vacuolar protein sorting 28,PROTEIN_CODING,7
LOC107064151,holn1,CD2 antigen cytoplasmic tail-binding protein 2 homolog holn1,PROTEIN_CODING,1
LOC107064155,Pmvk,Phosphomevalonate kinase,PROTEIN_CODING,3
LOC107064158,Ef-1a-f1,translation elongation factor eEF-1 alpha chain,PROTEIN_CODING,2
LOC107064162,dor,vacuolar protein sorting-associated protein 18 dor,PROTEIN_CODING,5
LOC107064163,Polr3E,RNA polymerase III subunit E,PROTEIN_CODING,3
LOC107064164,mio,GATOR complex protein mio,PROTEIN_CODING,1
LOC107064165,TSG101,tumor susceptibility gene 101,PROTEIN_CODING,1
LOC107064169,cwo,hairy/enhancer-of-split related with YRPW motif protein 2-like,PROTEIN_CODING,11
LOC107064176,muc,dihydrolipoamide S-acetyltransferase muc,PROTEIN_CODING,2
LOC107064177,mRpL13,mitochondrial ribosomal protein L13,PROTEIN_CODING,1
LOC107064178,Ho,heme oxygenase,PROTEIN_CODING,1
LOC107064179,DCP2,decapping protein 2,PROTEIN_CODING,1
LOC107064183,eIF3b,eukaryotic translation initiation factor 3 subunit B,PROTEIN_CODING,1
LOC107064186,CD98hc,CD98 heavy chain,PROTEIN_CODING,3
LOC107064189,Rat1,5'-3' exoribonuclease 2 Rat1,PROTEIN_CODING,1
LOC107064190,RpS7,ribosomal protein S7,PROTEIN_CODING,1
LOC107064192,Rtc1,RNA terminal phosphate cyclase 1,PROTEIN_CODING,1
LOC107064194,DCTN2-p50,dynactin subunit 2,PROTEIN_CODING,1
LOC107064195,RpL27,ribosomal protein L27,PROTEIN_CODING,1
LOC107064203,Spase12,Signal peptidase complex subunit Spase12,PROTEIN_CODING,2
LOC107064208,Dbp21E2,putative ATP-dependent RNA helicase Dbp21E2,PROTEIN_CODING,1
LOC107064213,acj6,abnormal chemosensory protein 6,PROTEIN_CODING,2
LOC107064216,Myc,Myc,PROTEIN_CODING,1
LOC107064235,Arpc2,"Actin-related protein 2/3 complex, subunit 2",PROTEIN_CODING,1
LOC107064249,Asator,tau-tubulin kinase asator,PROTEIN_CODING,8
LOC107064250,hop,tyrosine-protein kinase hopscotch,PROTEIN_CODING,2
LOC107064251,Pgk,phosphoglycerate kinase,PROTEIN_CODING,1
LOC107064252,Pex19,peroxin 19,PROTEIN_CODING,1
LOC107064253,RpL3,ribosomal protein L3,PROTEIN_CODING,1
LOC107064262,Pngl,N-glycanase Pngl,PROTEIN_CODING,1
LOC107064278,Taf9,TBP-associated factor 9,PROTEIN_CODING,1
LOC107064291,Mad,Mothers against dpp,PROTEIN_CODING,1
LOC107064292,IntS8,integrator complex subunit 8,PROTEIN_CODING,3
LOC107064294,cora,coracle,PROTEIN_CODING,1
LOC107064295,enok,enoki mushroom,PROTEIN_CODING,4
LOC107064297,lark,RNA-binding protein lark,PROTEIN_CODING,9
LOC107064298,Adk2,Adenosine kinase 2,PROTEIN_CODING,2
LOC107064304,RpL18,ribosomal protein L18,PROTEIN_CODING,1
LOC107064305,Actbeta,Activin-beta,PROTEIN_CODING,1
LOC107064309,GXIVsPLA2,phospholipase A2 group XII,PROTEIN_CODING,2
LOC107064311,Exo70,exocyst complex component 7,PROTEIN_CODING,2
LOC107064313,Ufd4,ubiquitin fusion-degradation 4-like,PROTEIN_CODING,13
LOC107064317,Mdh1,malate dehydrogenase 1,PROTEIN_CODING,1
LOC107064318,Prp5,pre-mRNA processing factor 5,PROTEIN_CODING,1
LOC107064319,Reck,Reversion-inducing-cysteine-rich protein with kazal motifs,PROTEIN_CODING,2
LOC107064320,Rac1,ras-related protein Rac1,PROTEIN_CODING,1
LOC107064323,Nep3,Neprilysin 3,PROTEIN_CODING,3
LOC107064324,da,daughterless,PROTEIN_CODING,13
LOC107064325,gkt,tyrosyl-DNA phosphodiesterase glaikit,PROTEIN_CODING,3
LOC107064327,Eph,Eph receptor tyrosine kinase,PROTEIN_CODING,18
LOC107064330,Tmtc2,Transmembrane O-mannosyltransferase targeting cadherins 2,PROTEIN_CODING,2
LOC107064335,tkv,thickveins,PROTEIN_CODING,1
LOC107064337,bur,GMP synthase burgundy,PROTEIN_CODING,4
LOC107064338,Rev1,Rev1 DNA directed polymerase,PROTEIN_CODING,1
LOC107064347,snama,something that sticks like glue,PROTEIN_CODING,1
LOC107064353,dpa,disc proliferation abnormal,PROTEIN_CODING,4
LOC107064355,Git,ARF GTPase-activating protein GIT1,PROTEIN_CODING,7
LOC107064357,Elk,Eag-like K[+] channel,PROTEIN_CODING,3
LOC107064361,Drgx,Dorsal root ganglia homeobox,PROTEIN_CODING,1
LOC107064369,muskelin,muskelin 1,PROTEIN_CODING,1
LOC107064372,wech,tripartite motif containing 71 protein wech,PROTEIN_CODING,2
LOC107064375,Gale,UDP-galactose 4'-epimerase,PROTEIN_CODING,1
LOC107064376,Taldo,transaldolase,PROTEIN_CODING,1
LOC107064377,Pli,E3 ubiquitin-protein ligase pellino,PROTEIN_CODING,1
LOC107064381,conv,convoluted,PROTEIN_CODING,1
LOC107064390,Prp4k,Pre-mRNA processing factor 4 kinase,PROTEIN_CODING,11
LOC107064401,Ack-like,uncharacterized LOC107064401,PROTEIN_CODING,5
LOC107064402,Exn,Ephexin,PROTEIN_CODING,1
LOC107064403,Tps1,Trehalose-6-phosphate synthase 1,PROTEIN_CODING,1
LOC107064411,TpnC25D,Troponin C at 25D,PROTEIN_CODING,1
LOC107064415,sm,smooth,PROTEIN_CODING,5
LOC107064421,PlexB,plexin B,PROTEIN_CODING,2
LOC107064429,Tango9,transport and golgi organization 9,PROTEIN_CODING,2
LOC107064435,CIAPIN1,cytokine induced apoptosis inhibitor 1,PROTEIN_CODING,1
LOC107064445,Dpm3,Dolichyl-phosphate mannosyltransferase subunit 3,PROTEIN_CODING,1
LOC107064446,Rad23,UV excision repair protein Rad23,PROTEIN_CODING,1
LOC107064460,sty,sprouty,PROTEIN_CODING,1
LOC107064473,Nup50,nuclear pore complex protein Nup50,PROTEIN_CODING,1
LOC107064474,Pdss2,Decaprenyl diphosphate synthase subunit 2,PROTEIN_CODING,1
LOC107064478,NaPi-III,Na[+]-dependent inorganic phosphate cotransporter type III,PROTEIN_CODING,2
LOC107064484,UQCR-14L,Ubiquinol-cytochrome c reductase 14 kDa subunit-like,PROTEIN_CODING,1
LOC107064485,Dhc98D,Dynein heavy chain at 89D,PROTEIN_CODING,1
LOC107064491,Mondo,MLX interacting protein mondo,PROTEIN_CODING,6
LOC107064498,Hsc20,"iron-sulfur cluster co-chaperone protein HscB-like protein, mitochondrial",PROTEIN_CODING,1
LOC107064502,HisRS,histidine--tRNA ligase,PROTEIN_CODING,5
LOC107064503,Ak6,adenylate kinase isoenzyme 6,PROTEIN_CODING,2
LOC107064504,HemK1,HemK methyltransferase 1,PROTEIN_CODING,1
LOC107064505,Mdh2,malate dehydrogenase 2,PROTEIN_CODING,2
LOC107064508,Ork1,open rectifier K[+] channel 1,PROTEIN_CODING,4
LOC107064514,lig,ubiquitin-associated protein-like lingerer,PROTEIN_CODING,6
LOC107064517,Syx16,syntaxin 16,PROTEIN_CODING,1
LOC107064518,Dpm1,Dolichyl-phosphate mannosyltransferase subunit 1,PROTEIN_CODING,1
LOC107064520,bcn92,LYR motif-containing protein bcn92,PROTEIN_CODING,1
LOC107064528,MrgBP,MRG/MORF4L binding protein,PROTEIN_CODING,2
LOC107064530,MARCH6,membrane-associated ring finger (C3HC4) 6,PROTEIN_CODING,4
LOC107064532,Usp7,Ubiquitin-specific protease 7,PROTEIN_CODING,6
LOC107064534,Atg12,Autophagy-related 12,PROTEIN_CODING,2
LOC107064542,CytC,mitochondrial cytochrome C,PROTEIN_CODING,2
LOC107064549,Dl,dorsal protein,PROTEIN_CODING,8
LOC107064553,RpL36A,ribosomal protein L36A,PROTEIN_CODING,1
LOC107064558,CCDC53,Coiled-coil domain containing 53,PROTEIN_CODING,1
LOC107064560,eIF5B,eukaryotic translation initiation factor 5B,PROTEIN_CODING,1
LOC107064563,Alas,5-aminolevulinate synthase,PROTEIN_CODING,2
LOC107064571,Tg,transglutaminase,PROTEIN_CODING,5
LOC107064588,Vps35,Vacuolar protein sorting 35,PROTEIN_CODING,5
LOC107064589,Nsun2,tRNA (cytosine(34)-C(5))-methyltransferase Nsun2,PROTEIN_CODING,2
LOC107064594,RpS27A,ribosomal protein S27A,PROTEIN_CODING,1
LOC107064604,Tsf2,transferrin 2,PROTEIN_CODING,1
LOC107064605,spin,Protein spinster,PROTEIN_CODING,2
LOC107064606,Tie,Tie-like receptor tyrosine kinase,PROTEIN_CODING,3
LOC107064611,FoxK,forkhead box K,PROTEIN_CODING,3
LOC107064612,gbb,glass bottom boat,PROTEIN_CODING,2
LOC107064613,Dh44-R1,Diuretic hormone 44 receptor 1,PROTEIN_CODING,1
LOC107064615,hoip,NHP2-like protein 1 hoip,PROTEIN_CODING,1
LOC107064621,Cad74A,cadherin-74A,PROTEIN_CODING,7
LOC107064624,GC,gamma-glutamyl carboxylase,PROTEIN_CODING,1
LOC107064627,Erk7,Extracellularly regulated kinase 7,PROTEIN_CODING,3
LOC107064629,lolal,lola like,PROTEIN_CODING,2
LOC107064630,psidin,phagocyte signaling impaired,PROTEIN_CODING,1
LOC107064634,Pmi,Transmembrane protein Pmi,PROTEIN_CODING,1
LOC107064641,Su(var)3-3,lysine-specific histone demethylase Su(var)3-3,PROTEIN_CODING,1
LOC107064648,RyR,Ryanodine receptor,PROTEIN_CODING,31
LOC107064652,Rim,Rab3 interacting molecule,PROTEIN_CODING,2
LOC107064655,nclb,no child left behind,PROTEIN_CODING,1
LOC107064658,inaE,inactivation no afterpotential E,PROTEIN_CODING,10
LOC107064660,Gmer,GDP-L-fucose synthase-like protein,PROTEIN_CODING,1
LOC107064662,CCT6,chaperonin containing TCP1 subunit 6,PROTEIN_CODING,1
LOC107064668,GlyRS,glycine--tRNA ligase,PROTEIN_CODING,1
LOC107064679,botv,exostosin like glycosyltransferase 3,PROTEIN_CODING,2
LOC107064681,eIF3c,eukaryotic translation initiation factor 3 subunit C,PROTEIN_CODING,1
LOC107064687,RpS24,ribosomal protein S24,PROTEIN_CODING,2
LOC107064691,mRpS6,mitochondrial ribosomal protein S6,PROTEIN_CODING,1
LOC107064692,Vps33B,vacuolar protein sorting 33B,PROTEIN_CODING,1
LOC107064693,Apoltp,Apolipoprotein lipid transfer particle,PROTEIN_CODING,1
LOC107064696,stc,"nuclear transcription factor, X-box binding stc",PROTEIN_CODING,1
LOC107064698,PIG-O,phosphatidylinositol glycan anchor biosynthesis class O,PROTEIN_CODING,3
LOC107064702,Vha14-1,V-type proton ATPase subunit Vha14-1,PROTEIN_CODING,1
LOC107064705,Plc21C,Phospholipase C at 21C,PROTEIN_CODING,2
LOC107064707,Ipo9,Importin 9,PROTEIN_CODING,1
LOC107064710,Toll-6,Toll-like receptor 6,PROTEIN_CODING,1
LOC107064711,Bx42,Puff-specific protein Bx42,PROTEIN_CODING,1
LOC107064714,cN-IIIB,cytosolic 5'-nucleotidase IIIB,PROTEIN_CODING,1
LOC107064720,su(f),cleavage stimulation factor subunit su(f),PROTEIN_CODING,4
LOC107064723,Pex12,peroxin 12,PROTEIN_CODING,1
LOC107064745,Trhn,tryptophan hydroxylase,PROTEIN_CODING,1
LOC107064746,mRpL39,mitochondrial ribosomal protein L39,PROTEIN_CODING,2
LOC107064747,mRpL2,mitochondrial ribosomal protein L2,PROTEIN_CODING,1
LOC107064748,Dpck,Dephospho-CoA kinase,PROTEIN_CODING,1
LOC107064752,Gycalpha99B,guanylate cyclase 1 soluble subunit alpha 2,PROTEIN_CODING,1
LOC107064753,Gycbeta100B,guanylate cyclase soluble subunit beta-1-like,PROTEIN_CODING,2
LOC107064754,Invadolysin,"leishmanolysin-like peptidase, invadolysin",PROTEIN_CODING,1
LOC107064764,Octalpha2R,alpha2-adrenergic-like octopamine receptor,PROTEIN_CODING,3
LOC107064767,Dip-B,Dipeptidase B,PROTEIN_CODING,1
LOC107064778,mam,mastermind,PROTEIN_CODING,7
LOC107064780,Elp4,Elongator complex protein 4,PROTEIN_CODING,2
LOC107064788,AsnRS,asparagine--tRNA ligase,PROTEIN_CODING,2
LOC107064791,Ccz1,vacuolar fusion protein CCZ1,PROTEIN_CODING,1
LOC107064802,Pfdn6,prefoldin 6,PROTEIN_CODING,4
LOC107064810,Trap1,TNF receptor associated protein 1,PROTEIN_CODING,1
LOC107064812,Pop2,CCR4-NOT transcription complex subunit Pop2,PROTEIN_CODING,3
LOC107064818,Sfxn1-3,Sideroflexin-1-3,PROTEIN_CODING,4
LOC107064819,gammaTub37C,gamma-Tubulin at 37C,PROTEIN_CODING,1
LOC107064822,mesh,sushi domain containing 2 mesh,PROTEIN_CODING,2
LOC107064834,mRpS34,mitochondrial ribosomal protein S34,PROTEIN_CODING,1
LOC107064850,Amph,amphiphysin,PROTEIN_CODING,4
LOC107064851,Galphaq,G protein alpha q subunit,PROTEIN_CODING,11
LOC107064869,Nmdar1,NMDA receptor 1,PROTEIN_CODING,5
LOC107064876,LTV1,LTV1 ribosome biogenesis factor,PROTEIN_CODING,1
LOC107064877,dnr1,defense repressor 1,PROTEIN_CODING,1
LOC107064878,Vha13,V-type proton ATPase subunit Vha13,PROTEIN_CODING,1
LOC107064881,Zip48C,Zinc/iron regulated transporter-related protein 48C,PROTEIN_CODING,2
LOC107064889,barc,RRM1_TatSF1_like and RRM2_TatSF1_like domain-containing protein barc,PROTEIN_CODING,1
LOC107064894,meng,meng-po,PROTEIN_CODING,1
LOC107064899,iPLA2-VIA,calcium-independent phospholipase A2 VIA,PROTEIN_CODING,1
LOC107064902,Pus7,pseudouridine synthase 7,PROTEIN_CODING,1
LOC107064903,Hrd3,HMG-coA reductase degradation 3,PROTEIN_CODING,1
LOC107064904,Sln,Silnoon,PROTEIN_CODING,2
LOC107064905,Baldspot,elongation of very long chain fatty acids protein baldspot,PROTEIN_CODING,3
LOC107064906,NUCB1,Nucleobindin 1,PROTEIN_CODING,4
LOC107064908,pix,ATP-binding cassette sub-family E member 1 pix,PROTEIN_CODING,1
LOC107064909,betaTub56D,beta-Tubulin at 56D,PROTEIN_CODING,1
LOC107064912,Arl6,ADP ribosylation factor-like 6,PROTEIN_CODING,2
LOC107064914,Cnep1r2,CTD nuclear envelope phosphatase 1 regulatory subunit 2,PROTEIN_CODING,2
LOC107064917,Phm,Peptidylglycine-alpha-hydroxylating monooxygenase,PROTEIN_CODING,1
LOC107064919,GABA-B-R2,gamma-aminobutyric acid type B receptor subunit 2,PROTEIN_CODING,4
LOC107064923,vg,vestigial,PROTEIN_CODING,1
LOC107064941,UQCR-Q,Ubiquinol-cytochrome c reductase ubiquinone-binding protein,PROTEIN_CODING,2
LOC107064946,Pef,Peflin,PROTEIN_CODING,2
LOC107064953,Kank,kank,PROTEIN_CODING,3
LOC107064955,PMCA,plasma membrane calcium-transporting ATPase 3,PROTEIN_CODING,13
LOC107064956,KdelR,ER lumen protein-retaining receptor,PROTEIN_CODING,1
LOC107064958,Ric,Ras-related protein interacting with calmodulin,PROTEIN_CODING,2
LOC107064961,GatC,"glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",PROTEIN_CODING,1
LOC107064962,Hcf,Host cell factor,PROTEIN_CODING,2
LOC107064976,Spf30,Splicing factor 30,PROTEIN_CODING,1
LOC107064980,mbf1,multiprotein bridging factor 1,PROTEIN_CODING,1
LOC107064982,gek,serine/threonine-protein kinase gek,PROTEIN_CODING,6
LOC107064985,CRMP,Collapsin Response Mediator Protein,PROTEIN_CODING,5
LOC107064988,prom,prominin,PROTEIN_CODING,2
LOC107064989,alphaCOP,coatomer subunit alpha,PROTEIN_CODING,2
LOC107064992,MED6,mediator complex subunit 6,PROTEIN_CODING,2
LOC107064994,FBXO11,F-box protein 11,PROTEIN_CODING,2
LOC107064996,Sras,Ras converting CAAX endopeptidase Sras,PROTEIN_CODING,1
LOC107064997,smo,smoothened,PROTEIN_CODING,3
LOC107065001,mRpS16,mitochondrial ribosomal protein S16,PROTEIN_CODING,1
LOC107065012,scaf6,SR-related CTD associated factor 6,PROTEIN_CODING,1
LOC107065013,Nep2,Neprilysin 2,PROTEIN_CODING,3
LOC107065015,Ada2a,Transcriptional adapter 2A,PROTEIN_CODING,2
LOC107065021,HP1c,Heterochromatin Protein 1c,PROTEIN_CODING,1
LOC107065023,GluRS-m,"putative glutamate--tRNA ligase, mitochondrial",PROTEIN_CODING,1
LOC107065034,Fim,plastin-2 Fim,PROTEIN_CODING,1
LOC107065043,Dop2R,dopamine D2-like receptor,PROTEIN_CODING,3
LOC107065046,Kdm5,Lysine demethylase 5,PROTEIN_CODING,3
LOC107065047,Best2,bestrophin 2,PROTEIN_CODING,2
LOC107065050,Trpgamma,Transient receptor potential cation channel gamma,PROTEIN_CODING,9
LOC107065061,Top3beta,topoisomerase 3-beta,PROTEIN_CODING,1
LOC107065072,Ts,Thymidylate synthase,PROTEIN_CODING,2
LOC107065082,TM9SF4,transmembrane 9 superfamily protein member 4,PROTEIN_CODING,1
LOC107065095,Aplip1,JNK-interacting protein Aplip1,PROTEIN_CODING,5
LOC107065098,IP3K2,"Inositol 1,4,5-triphosphate kinase 2",PROTEIN_CODING,3
LOC107065102,Ate1,arginyltransferase 1,PROTEIN_CODING,2
LOC107065103,SERCA,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting SERCA,PROTEIN_CODING,4
LOC107065105,Rnmt,RNA guanine-7 methyltransferase,PROTEIN_CODING,2
LOC107065106,Top1,topoisomerase 1,PROTEIN_CODING,2
LOC107065107,mxt,Eukaryotic translation initiation factor mextil,PROTEIN_CODING,6
LOC107065108,PGAP5,Per1-like protein PGAP5,PROTEIN_CODING,1
LOC107065110,Mtpalpha,monolysocardiolipin acyltransferase Mtpalpha,PROTEIN_CODING,1
LOC107065114,Cdep,Chondrocyte-derived ezrin-like domain containing protein,PROTEIN_CODING,5
