HOG	OG	gene_tree_parent_clade	change_node_130	branch_p_node_130	category_node_130	expanded_node_130	significantly_expanded_node_130	contracted_node_130	significantly_contracted_node_130	change_node_131	branch_p_node_131	category_node_131	expanded_node_131	significantly_expanded_node_131	contracted_node_131	significantly_contracted_node_131	change_node_135	branch_p_node_135	category_node_135	expanded_node_135	significantly_expanded_node_135	contracted_node_135	significantly_contracted_node_135	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	n_max	n_min	n_mean	differential	discarded_nonconverged	tested_in_final_cafe_model	large_family_model_attempted	exclusion_detail	chemosensory_family_flag
N0.HOG0000046	OG0000023	n0																						Ribonuclease H protein	weighted recurring annotation	Ribonuclease H protein	0					0	1	LOC107073647	LOC107073647	Ribonuclease H protein	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	2	ENSANRG00005008192; ENSANRG00005007824				0	63	1	11.2115384615385	62	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000047	OG0000024	n1																						transposable-element/reverse-transcriptase family	conservative keyword family rule	Reverse transcriptase (RNA-dependent DNA polymerase); RNA-directed DNA polymerase from mobile element jockey-like	0					0	4	LOC107073218; LOC107073300; LOC107073635; LOC107068640	LOC107073218; LOC107073300; LOC107073635; LOC107068640	Reverse transcriptase (RNA-dependent DNA polymerase); RNA-directed DNA polymerase from mobile element jockey-like	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: pd_genetable.csv	4	0					0	59	1	8.38636363636364	58	TRUE	FALSE	TRUE	Retained after root-copy filtering, but the separate large-family CAFE model failed to initialize/converge	FALSE
N0.HOG0000051	OG0000027	n0																						CG7492	symbol fallback	CG7492	0					0	0					0	4	ENSANRG00005003491; ENSANRG00005010120; ENSANRG00005009313; ENSANRG00005010783	CG7492		OrthoFinder orthology transfer from: Drosophila_melanogaster	4	78	1	13.6666666666667	77	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000056	OG0000032	n0																						cytochrome P450 family	conservative keyword family rule	cytochrome P450 4C1-like; Cytochrome P450 312a1; cytochrome P450 4c3-like; cytochrome P450 4C1-like; cytochrome P450 4c3-like; Cytochrome P450 312a1	10	LOC127066073; LOC127066360; LOC127066193; LOC127066359; LOC127066194; LOC127066358; LOC127065922; LOC127067612; LOC127067611; LOC127069788	LOC127066073; LOC127066360; LOC127066193; LOC127066359; LOC127066194; LOC127066358; LOC127065922; LOC127067612; LOC127067611; LOC127069788	cytochrome P450 4C1-like	NCBI: vv_genetable.csv	10	24	LOC107066953; LOC107072897; LOC107067949; LOC107067943; LOC107066951; LOC107066950; LOC107073553; LOC107073638; LOC107072896; LOC107067899; LOC107073699; LOC107067946; LOC107067897; LOC107067928; LOC107068301; LOC107067936; LOC107067900; LOC107072127; LOC107072153; LOC107067935; LOC107067926; LOC107072112; LOC107072637; LOC107072779	LOC107066953; LOC107072897; LOC107067949; LOC107067943; LOC107066951; LOC107066950; LOC107073553; LOC107073638; Cyp312a1; LOC107067899; LOC107073699; LOC107067946; LOC107067897; LOC107067928; LOC107068301; LOC107067936; LOC107067900; LOC107072127; LOC107072153; LOC107067935; LOC107067926; LOC107072112; LOC107072637; LOC107072779	cytochrome P450 4C1-like; Cytochrome P450 312a1; cytochrome P450 4c3-like	NCBI: pd_genetable.csv	24	4	ENSANRG00005005293; ENSANRG00005008598; ENSANRG00005003521; ENSANRG00005005047	LOC107066950; LOC107066951; LOC107066953; LOC107067897; LOC107067899; LOC107067900; LOC107067926; LOC107067928; LOC107067935; LOC107067936; LOC107067943; LOC107067946; LOC107067949; LOC107068301; LOC107072112; LOC107072127; LOC107072153; LOC107072637; LOC107072779; Cyp312a1; LOC107072897; LOC107073553; LOC107073638; LOC107073699; LOC127065922; LOC127066073; LOC127066193; LOC127066194; LOC127066358; LOC127066359; LOC127066360; LOC127067611; LOC127067612; LOC127069788	cytochrome P450 4C1-like; cytochrome P450 4c3-like; Cytochrome P450 312a1	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	3	52	1	7.43939393939394	51	TRUE	FALSE	TRUE	Retained after root-copy filtering, but the separate large-family CAFE model failed to initialize/converge	FALSE
N0.HOG0000089	OG0000044	n0																						Radial spoke head protein 9 / Domain of unknown function (DUF4817)	weighted recurring annotation	Radial spoke head protein 9; Domain of unknown function (DUF4817)	1	LOC127067590	Rsph9	Radial spoke head protein 9	NCBI: vv_genetable.csv	1	2	LOC107066213; LOC107072561	LOC107066213; LOC107072561	Domain of unknown function (DUF4817)	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	2	ENSANRG00005009055; ENSANRG00005007821				0	63	1	8	62	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000096	OG0000048	n0																						Domain in the RNA-binding Lupus La protein; unknown function / nucleic acid binding	weighted recurring annotation	Domain in the RNA-binding Lupus La protein; unknown function; nucleic acid binding	0					0	4	LOC107070139; LOC107073616; LOC107067896; LOC107071485	LOC107070139; LOC107073616; LOC107067896; LOC107071485	Domain in the RNA-binding Lupus La protein; unknown function; nucleic acid binding	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	4	1	ENSANRG00005008968	CG13151		OrthoFinder orthology transfer from: Drosophila_melanogaster	1	55	1	7	54	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000098	OG0000050	n0																						zinc-finger protein family	conservative keyword family rule	zinc finger	0					0	11	LOC107073530; LOC107072503; LOC107072154; LOC107069635; LOC107066621; LOC107063850; LOC107072161; LOC107067854; LOC107067024; LOC107071468; LOC107067025	LOC107073530; LOC107072503; LOC107072154; LOC107069635; LOC107066621; LOC107063850; LOC107072161; LOC107067854; LOC107067024; LOC107071468; LOC107067025	zinc finger	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	11	1	ENSANRG00005010844				0	60	1	9.92105263157895	59	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000101	OG0000053	n0																						cytochrome P450 family	conservative keyword family rule	probable cytochrome P450 4p2; cytochrome P450 4C1-like; cytochrome P450 4g15-like; cytochrome P450 4p1-like; probable cytochrome P450 4ac1; cytochrome P450 4c3-like; cytochrome P450 3A13-like; Cytochrome P-450	6	LOC127071132; LOC127071130; LOC127071131; LOC127072492; LOC127071129; LOC127071128	LOC127071132; LOC127071130; LOC127071131; LOC127072492; LOC127071129; LOC127071128	probable cytochrome P450 4p2; cytochrome P450 4C1-like	NCBI: vv_genetable.csv	6	27	LOC107064932; LOC107073689; LOC107073593; LOC107065070; LOC107073672; LOC107069800; LOC107065361; LOC107073749; LOC107073595; LOC107065768; LOC107073471; LOC107073594; LOC107064933; LOC107065602; LOC107071388; LOC107065068; LOC107073688; LOC107073729; LOC107073472; LOC107065071; LOC107073620; LOC107069071; LOC107065359; LOC107073748; LOC107073787; LOC107071176; LOC107073473	LOC107064932; LOC107073689; LOC107073593; LOC107065070; LOC107073672; LOC107069800; LOC107065361; LOC107073749; LOC107073595; LOC107065768; LOC107073471; LOC107073594; LOC107064933; LOC107065602; LOC107071388; LOC107065068; LOC107073688; LOC107073729; LOC107073472; LOC107065071; LOC107073620; LOC107069071; LOC107065359; LOC107073748; LOC107073787; LOC107071176; LOC107073473	cytochrome P450 4C1-like; cytochrome P450 4g15-like; cytochrome P450 4p1-like; probable cytochrome P450 4ac1; cytochrome P450 4c3-like; cytochrome P450 3A13-like; Cytochrome P-450; cytochrome P450 4V2-like	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	27	0					0	87	1	12	86	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000111	OG0000063	n0																						unannotated HOG	no usable local annotation		0					0	0					0	0					0	61	1	16.55	60	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000122	OG0000073	n0																						nucleic acid binding / Putative peptidase (DUF1758)	weighted recurring annotation	nucleic acid binding; Putative peptidase (DUF1758)	0					0	16	LOC107072770; LOC107074303; LOC107073778; LOC107072761; LOC107073224; LOC107073653; LOC107073389; LOC107073646; LOC107073583; LOC107073535; LOC107073526; LOC107073524; LOC107073542; LOC107073448; LOC107073773; LOC107073566	LOC107072770; LOC107074303; LOC107073778; LOC107072761; LOC107073224; LOC107073653; LOC107073389; LOC107073646; LOC107073583; LOC107073535; LOC107073526; LOC107073524; LOC107073542; LOC107073448; LOC107073773; LOC107073566	nucleic acid binding; Putative peptidase (DUF1758)	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	16	0					0	96	1	12.8260869565217	95	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000123	OG0000074	n0																						CG32187	symbol fallback	CG32187	0					0	0					0	1	ENSANRG00005010182				0	58	1	11.4230769230769	57	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000149	OG0000088	n0																						DDE superfamily endonuclease	weighted recurring annotation	DDE superfamily endonuclease	0					0	3	LOC107070850; LOC107069070; LOC107073175	LOC107070850; LOC107069070; LOC107073175	DDE superfamily endonuclease	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	3	0					0	65	1	8.42424242424242	64	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
