run_name	species	source	busco_version	lineage	mode	input_file	busco_C_pct	busco_S_pct	busco_D_pct	busco_F_pct	busco_M_pct	busco_n	n_complete	n_single	n_duplicated	n_fragmented	n_missing	short_summary	full_table
Belonocnema_kinseyi_NCBI_prot_long	Belonocnema_kinseyi	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Belonocnema_kinseyi_NCBI_proteins_longest.fa	97.0	95.9	1.1	1.5	1.5	1367	1326	1311	15	21	20	busco_annotation_all/Belonocnema_kinseyi_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Belonocnema_kinseyi_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Bombus_campestris_ENSEMBL_prot_long	Bombus_campestris	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Bombus_campestris_ENSEMBL_proteins_longest.fa	96.3	95.2	1.1	1.0	2.7	1367	1317	1302	15	13	37	busco_annotation_all/Bombus_campestris_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_campestris_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Bombus_hortorum_ENSEMBL_prot_long	Bombus_hortorum	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Bombus_hortorum_ENSEMBL_proteins_longest.fa	97.2	96.8	0.4	0.8	2.0	1367	1329	1323	6	11	27	busco_annotation_all/Bombus_hortorum_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_hortorum_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Bombus_hypnorum_ENSEMBL_prot_long	Bombus_hypnorum	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Bombus_hypnorum_ENSEMBL_proteins_longest.fa	96.8	96.1	0.7	0.7	2.5	1367	1323	1314	9	10	34	busco_annotation_all/Bombus_hypnorum_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_hypnorum_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Bombus_impatiens_NCBI_prot_long	Bombus_impatiens	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Bombus_impatiens_NCBI_proteins_longest.fa	99.5	99.0	0.5	0.0	0.5	1367	1360	1353	7	0	7	busco_annotation_all/Bombus_impatiens_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_impatiens_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Bombus_lapidarius_ENSEMBL_prot_long	Bombus_lapidarius	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Bombus_lapidarius_ENSEMBL_proteins_longest.fa	95.5	95.1	0.4	1.0	3.4	1367	1306	1300	6	14	47	busco_annotation_all/Bombus_lapidarius_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_lapidarius_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Bombus_monticola_ENSEMBL_prot_long	Bombus_monticola	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Bombus_monticola_ENSEMBL_proteins_longest.fa	96.9	96.2	0.7	0.9	2.3	1367	1324	1315	9	12	31	busco_annotation_all/Bombus_monticola_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_monticola_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Bombus_muscorum_ENSEMBL_prot_long	Bombus_muscorum	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Bombus_muscorum_ENSEMBL_proteins_longest.fa	96.3	95.7	0.6	1.2	2.6	1367	1316	1308	8	16	35	busco_annotation_all/Bombus_muscorum_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_muscorum_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Bombus_pascuorum_NCBI_prot_long	Bombus_pascuorum	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/both/00_proteins_out/Bombus_pascuorum_NCBI_proteins_longest.fa	99.7	99.0	0.7	0.1	0.2	1367	1363	1353	10	1	3	busco_annotation_all/Bombus_pascuorum_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_pascuorum_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Bombus_pratorum_ENSEMBL_prot_long	Bombus_pratorum	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Bombus_pratorum_ENSEMBL_proteins_longest.fa	97.0	96.4	0.6	0.5	2.5	1367	1326	1318	8	7	34	busco_annotation_all/Bombus_pratorum_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_pratorum_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Bombus_sylvestris_ENSEMBL_prot_long	Bombus_sylvestris	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Bombus_sylvestris_ENSEMBL_proteins_longest.fa	96.2	95.5	0.7	1.0	2.9	1367	1315	1306	9	13	39	busco_annotation_all/Bombus_sylvestris_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_sylvestris_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Bombus_terrestris_NCBI_prot_long	Bombus_terrestris	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/both/00_proteins_out/Bombus_terrestris_NCBI_proteins_longest.fa	99.4	98.7	0.7	0.1	0.5	1367	1359	1349	10	1	7	busco_annotation_all/Bombus_terrestris_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_terrestris_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Bombus_vestalis_ENSEMBL_prot_long	Bombus_vestalis	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Bombus_vestalis_ENSEMBL_proteins_longest.fa	96.6	96.1	0.5	1.0	2.3	1367	1321	1314	7	14	32	busco_annotation_all/Bombus_vestalis_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Bombus_vestalis_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Buathra_laborator_ENSEMBL_prot_long	Buathra_laborator	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Buathra_laborator_ENSEMBL_proteins_longest.fa	98.3	98.0	0.4	0.2	1.5	1367	1344	1339	5	3	20	busco_annotation_all/Buathra_laborator_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Buathra_laborator_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Caenorhabditis_elegans_NCBI_prot_long	Caenorhabditis_elegans	NCBI	6.0.0	nematoda_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Caenorhabditis_elegans_NCBI_proteins_longest.fa	100.0	99.4	0.5	0.0	0.0	3131	3130	3113	17	0	1	busco_annotation_all/Caenorhabditis_elegans_NCBI_prot_long/run_nematoda_odb10/short_summary.txt	busco_annotation_all/Caenorhabditis_elegans_NCBI_prot_long/run_nematoda_odb10/full_table.tsv
Camponotus_floridanus_NCBI_prot_long	Camponotus_floridanus	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Camponotus_floridanus_NCBI_proteins_longest.fa	99.3	98.3	1.0	0.2	0.5	1367	1357	1344	13	3	7	busco_annotation_all/Camponotus_floridanus_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Camponotus_floridanus_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Ceratina_calcarata_NCBI_prot_long	Ceratina_calcarata	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Ceratina_calcarata_NCBI_proteins_longest.fa	98.0	95.5	2.5	1.0	1.1	1367	1339	1305	34	13	15	busco_annotation_all/Ceratina_calcarata_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Ceratina_calcarata_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Colletes_latitarsis_NCBI_prot_long	Colletes_latitarsis	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Colletes_latitarsis_NCBI_proteins_longest.fa	99.3	98.5	0.7	0.3	0.4	1367	1357	1347	10	4	6	busco_annotation_all/Colletes_latitarsis_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Colletes_latitarsis_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Copidosoma_floridanum_NCBI_prot_long	Copidosoma_floridanum	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Copidosoma_floridanum_NCBI_proteins_longest.fa	97.7	94.5	3.1	0.7	1.6	1367	1335	1292	43	10	22	busco_annotation_all/Copidosoma_floridanum_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Copidosoma_floridanum_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Dolichovespula_media_ENSEMBL_prot_long	Dolichovespula_media	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Dolichovespula_media_ENSEMBL_proteins_longest.fa	95.3	94.1	1.2	0.9	3.8	1367	1303	1286	17	12	52	busco_annotation_all/Dolichovespula_media_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Dolichovespula_media_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Dolichovespula_saxonica_ENSEMBL_prot_long	Dolichovespula_saxonica	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Dolichovespula_saxonica_ENSEMBL_proteins_longest.fa	97.2	95.3	1.9	0.6	2.2	1367	1329	1303	26	8	30	busco_annotation_all/Dolichovespula_saxonica_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Dolichovespula_saxonica_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Dolichovespula_sylvestris_ENSEMBL_prot_long	Dolichovespula_sylvestris	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Dolichovespula_sylvestris_ENSEMBL_proteins_longest.fa	96.7	94.8	1.9	0.7	2.6	1367	1322	1296	26	9	36	busco_annotation_all/Dolichovespula_sylvestris_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Dolichovespula_sylvestris_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Drosophila_melanogaster_NCBI_prot_long	Drosophila_melanogaster	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Drosophila_melanogaster_NCBI_proteins_longest.fa	99.9	98.9	1.0	0.0	0.1	1367	1366	1352	14	0	1	busco_annotation_all/Drosophila_melanogaster_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Drosophila_melanogaster_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Dufourea_novaeangliae_NCBI_prot_long	Dufourea_novaeangliae	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Dufourea_novaeangliae_NCBI_proteins_longest.fa	99.3	98.9	0.4	0.1	0.5	1367	1358	1352	6	2	7	busco_annotation_all/Dufourea_novaeangliae_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Dufourea_novaeangliae_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Eufriesea_mexicana_NCBI_prot_long	Eufriesea_mexicana	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Eufriesea_mexicana_NCBI_proteins_longest.fa	98.8	96.8	2.0	0.2	1.0	1367	1351	1323	28	3	13	busco_annotation_all/Eufriesea_mexicana_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Eufriesea_mexicana_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Gasteruption_jaculator_ENSEMBL_prot_long	Gasteruption_jaculator	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Gasteruption_jaculator_ENSEMBL_proteins_longest.fa	94.0	91.7	2.3	1.8	4.2	1367	1285	1253	32	24	58	busco_annotation_all/Gasteruption_jaculator_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Gasteruption_jaculator_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Habropoda_laboriosa_NCBI_prot_long	Habropoda_laboriosa	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Habropoda_laboriosa_NCBI_proteins_longest.fa	99.4	98.9	0.5	0.2	0.4	1367	1359	1352	7	3	5	busco_annotation_all/Habropoda_laboriosa_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Habropoda_laboriosa_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Halictus_rubicundus_NCBI_prot_long	Halictus_rubicundus	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Halictus_rubicundus_NCBI_proteins_longest.fa	99.6	98.3	1.2	0.1	0.3	1367	1361	1344	17	2	4	busco_annotation_all/Halictus_rubicundus_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Halictus_rubicundus_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Harpegnathos_saltator_NCBI_prot_long	Harpegnathos_saltator	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Harpegnathos_saltator_NCBI_proteins_longest.fa	99.7	98.2	1.5	0.1	0.1	1367	1363	1343	20	2	2	busco_annotation_all/Harpegnathos_saltator_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Harpegnathos_saltator_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Lasioglossum_calceatum_ENSEMBL_prot_long	Lasioglossum_calceatum	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Lasioglossum_calceatum_ENSEMBL_proteins_longest.fa	97.8	96.0	1.8	0.5	1.7	1367	1337	1312	25	7	23	busco_annotation_all/Lasioglossum_calceatum_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Lasioglossum_calceatum_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Lasioglossum_lativentre_ENSEMBL_prot_long	Lasioglossum_lativentre	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Lasioglossum_lativentre_ENSEMBL_proteins_longest.fa	97.9	96.9	1.0	0.3	1.8	1367	1338	1325	13	4	25	busco_annotation_all/Lasioglossum_lativentre_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Lasioglossum_lativentre_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Lasioglossum_morio_ENSEMBL_prot_long	Lasioglossum_morio	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Lasioglossum_morio_ENSEMBL_proteins_longest.fa	97.7	95.5	2.1	0.7	1.7	1367	1335	1306	29	9	23	busco_annotation_all/Lasioglossum_morio_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Lasioglossum_morio_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Linepithema_humile_NCBI_prot_long	Linepithema_humile	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Linepithema_humile_NCBI_proteins_longest.fa	99.5	98.3	1.2	0.1	0.4	1367	1360	1344	16	2	5	busco_annotation_all/Linepithema_humile_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Linepithema_humile_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Macropis_europaea_ENSEMBL_prot_long	Macropis_europaea	ENSEMBL	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ensembl/00_proteins_out/Macropis_europaea_ENSEMBL_proteins_longest.fa	97.6	96.8	0.8	0.4	2.0	1367	1334	1323	11	6	27	busco_annotation_all/Macropis_europaea_ENSEMBL_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Macropis_europaea_ENSEMBL_prot_long/run_insecta_odb10/full_table.tsv
Megachile_rotundata_NCBI_prot_long	Megachile_rotundata	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Megachile_rotundata_NCBI_proteins_longest.fa	99.3	98.8	0.5	0.1	0.6	1367	1358	1351	7	1	8	busco_annotation_all/Megachile_rotundata_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Megachile_rotundata_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Megalopta_genalis_NCBI_prot_long	Megalopta_genalis	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Megalopta_genalis_NCBI_proteins_longest.fa	99.9	98.2	1.7	0.0	0.1	1367	1365	1342	23	0	2	busco_annotation_all/Megalopta_genalis_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Megalopta_genalis_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Melipona_bicolor_NCBI_prot_long	Melipona_bicolor	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Melipona_bicolor_NCBI_proteins_longest.fa	96.6	95.9	0.7	1.4	2.0	1367	1321	1311	10	19	27	busco_annotation_all/Melipona_bicolor_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Melipona_bicolor_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Melipona_quadrifasciata_NCBI_prot_long	Melipona_quadrifasciata	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Melipona_quadrifasciata_NCBI_proteins_longest.fa	91.1	90.3	0.7	1.7	7.2	1367	1245	1235	10	23	99	busco_annotation_all/Melipona_quadrifasciata_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Melipona_quadrifasciata_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Mischocyttarus_mexicanus_NCBI_prot_long	Mischocyttarus_mexicanus	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Mischocyttarus_mexicanus_NCBI_proteins_longest.fa	92.9	85.5	7.4	1.5	5.6	1367	1270	1169	101	20	77	busco_annotation_all/Mischocyttarus_mexicanus_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Mischocyttarus_mexicanus_NCBI_prot_long/run_insecta_odb10/full_table.tsv
Monomorium_pharaonis_NCBI_prot_long	Monomorium_pharaonis	NCBI	6.0.0	insecta_odb10	proteins	/mnt/DATA/Genome_data_wasps/4.Excon_analysis/Download_genomes/genomes_out/ncbi/00_proteins_out/Monomorium_pharaonis_NCBI_proteins_longest.fa	99.6	95.6	4.0	0.2	0.2	1367	1361	1307	54	3	3	busco_annotation_all/Monomorium_pharaonis_NCBI_prot_long/run_insecta_odb10/short_summary.txt	busco_annotation_all/Monomorium_pharaonis_NCBI_prot_long/run_insecta_odb10/full_table.tsv
