Orthogroup	Acromyrmex_echinatior.clean	Ancistrocerus_nigricornis.clean	Andrena_flavipes.clean	Anoplius_nigerrimus.clean	Apis_cerana.clean	Apis_dorsata.clean	Apis_florea.clean	Apis_laboriosa.clean	Apis_mellifera.clean	Atta_cephalotes.clean	Belonocnema_kinseyi.clean	Bombus_campestris.clean	Bombus_hortorum.clean	Bombus_hypnorum.clean	Bombus_impatiens.clean	Bombus_lapidarius.clean	Bombus_monticola.clean	Bombus_muscorum.clean	Bombus_pascuorum.clean	Bombus_pratorum.clean	Bombus_sylvestris.clean	Bombus_terrestris.clean	Bombus_vestalis.clean	Buathra_laborator.clean	Caenorhabditis_elegans.clean	Camponotus_floridanus.clean	Ceratina_calcarata.clean	Colletes_latitarsis.clean	Copidosoma_floridanum.clean	Dolichovespula_media.clean	Dolichovespula_saxonica.clean	Dolichovespula_sylvestris.clean	Drosophila_melanogaster.clean	Dufourea_novaeangliae.clean	Eufriesea_mexicana.clean	Gasteruption_jaculator.clean	Habropoda_laboriosa.clean	Halictus_rubicundus.clean	Harpegnathos_saltator.clean	Lasioglossum_calceatum.clean	Lasioglossum_lativentre.clean	Lasioglossum_morio.clean	Linepithema_humile.clean	Macropis_europaea.clean	Megachile_rotundata.clean	Megalopta_genalis.clean	Melipona_bicolor.clean	Melipona_quadrifasciata.clean	Mischocyttarus_mexicanus.clean	Monomorium_pharaonis.clean	Nasonia_vitripennis.clean	Nysson_spinosus.clean	Ooceraea_biroi.clean	Orussus_abietinus.clean	Osmia_bicornis_bicornis.clean	Pemphredon_lugubris.clean	Polistes_canadensis.clean	Polistes_dominula.clean	Polistes_exclamans.clean	Polistes_fuscatus.clean	Solenopsis_invicta.clean	Tetragonisca_angustula.clean	Tiphia_femorata.clean	Tribolium_castaneum.clean	Venturia_canescens.clean	Vespa_crabro.clean	Vespa_mandarinia.clean	Vespa_velutina.clean	Vespula_germanica.clean	Vespula_pensylvanica.clean	Vespula_vulgaris.clean	Xylocopa_sonorina.clean
OG0020345																																				BRAKERXMBG00000011173																																				
OG0020346																									CELE_F10E9.10																																															
OG0020347																																																	M0802_000404																							
OG0020348																																																WN51_11007																								
OG0020349																																															K0M31_004410																									
OG0020350																																	Dmel_CG44956																																							
OG0020351																																																																					ENSVGEG00000012967			
OG0020352																																				BRAKERXMBG00000018451																																				
OG0020353																																																														QLX08_009754										
OG0020354																									CELE_K08C7.6																																															
OG0020355																	ENSZWKG00000010475																																																							
OG0020356																																	Dmel_CG43050																																							
OG0020357																									CELE_C01G10.16																																															
OG0020358																																																	M0802_003599																							
OG0020359																																																														QLX08_004169										
OG0020360																									CELE_C05E11.3																																															
OG0020361																																				BRAKERXMBG00000015394																																				
OG0020362											LOC117178330																																																													
OG0020363																																																	M0802_003931																							
OG0020364																																															K0M31_002234																									
OG0020365																																																																					ENSVGEG00000004546			
OG0020366																																							LOC105180864																																	
OG0020367																																																																					ENSVGEG00000005254			
OG0020368																																															K0M31_010995																									
OG0020369			ENSUQBG00000010306																																																																					
OG0020370			ENSUQBG00000005946																																																																					
OG0020371																																									ENSLLVG00000005300																															
OG0020372																																																											M0804_006689													
OG0020373																																																													LOC105200593											
OG0020374																																																			LOC103316653																					
OG0020375																																															K0M31_012640																									
OG0020376																																				BRAKERXMBG00000001854																																				
OG0020377																																																WN51_08648																								
OG0020378												ENSBCMG00005039344																																																												
OG0020379			ENSUQBG00000003213																																																																					
OG0020380												ENSBCMG00005019037																																																												
OG0020381																																								ENSBXKG00010000004																																
OG0020382																									CELE_C17C3.18																																															
OG0020383			ENSUQBG00000015372																																																																					
OG0020384																																																WN51_06072																								
OG0020385																																															K0M31_006716																									
OG0020386																				ENSBPTG00005007360																																																				
OG0020387																																				BRAKERXMBG00000003108																																				
OG0020388																																															K0M31_012941																									
OG0020389																																																	M0802_010482																							
OG0020390																																								ENSBXKG00010011661																																
OG0020391																																	Dmel_CG11145																																							
OG0020392																																																											M0804_007599													
OG0020393		ENSANRG00005006033																																																																						
OG0020394													ENSBHTG00000011946																																																											
OG0020395																																																													LOC120359988											
OG0020396																																															K0M31_013663																									
OG0020397			ENSUQBG00000001377																																																																					
OG0020398																									CELE_F26F12.5																																															
OG0020399																																								ENSBXKG00010007830																																
OG0020400												ENSBCMG00005032273																																																												
OG0020401																																																																					ENSVGEG00000014975			
OG0020402														ENSBHYG00000024428																																																										
OG0020403																																				BRAKERXMBG00000016465																																				
OG0020404			ENSUQBG00000005313																																																																					
OG0020405																																																WN51_12550																								
OG0020406																																										ENSLMRG00010004220																														
OG0020407																									CELE_T22E5.6																																															
OG0020408																																																																	LOC122406524							
OG0020409																																				BRAKERXMBG00000006268																																				
OG0020410																																															K0M31_012971																									
OG0020411																									CELE_T05A7.4																																															
OG0020412			ENSUQBG00000002178																																																																					
OG0020413																																ENSDSYG00005012298																																								
OG0020414													ENSBHTG00000003056																																																											
OG0020415																																				BRAKERXMBG00000006592																																				
OG0020416			ENSUQBG00000002108																																																																					
OG0020417																																															K0M31_014053																									
OG0020418																																				BRAKERXMBG00000006837																																				
OG0020419																								ENSBLBG00005008472																																																
OG0020420																																															K0M31_009432																									
OG0020421																																																WN51_11028																								
OG0020422												ENSBCMG00005029294																																																												
OG0020423			ENSUQBG00000001924																																																																					
OG0020424																															ENSDSXG00000009794																																									
OG0020425																																	Dmel_CG34430																																							
OG0020426																																				BRAKERXMBG00000018819																																				
OG0020427			ENSUQBG00000009936																																																																					
OG0020428																																				BRAKERXMBG00000005020																																				
OG0020429																																															K0M31_018532																									
OG0020430			ENSUQBG00000000743																																																																					
OG0020431																																	Dmel_CG17154																																							
OG0020432			ENSUQBG00000001833																																																																					
OG0020433																																				BRAKERXMBG00000004648																																				
OG0020434																				ENSBPTG00005016593																																																				
OG0020435													ENSBHTG00000012479																																																											
OG0020436																																															K0M31_018839																									
OG0020437																																								ENSBXKG00010002329																																
OG0020438																																																																		LOC124421965						
OG0020439																									CELE_Y116F11A.3																																															
OG0020440																																																	M0802_009009																							
OG0020441																																					LOC108577466																																			
OG0020442																																																				ENSNSPG00005008639																				
OG0020443																							ENSQDAG00000004645																																																	
OG0020444																																								ENSBXKG00010010835																																
OG0020445																																																																								LOC143430317
OG0020446																																									ENSLLVG00000001800																															
OG0020447																																																	M0802_007336																							
OG0020448																																															K0M31_001033																									
OG0020449																																								ENSBXKG00010000197																																
OG0020450																																																	M0802_014572																							
OG0020451																																															K0M31_018496																									
OG0020452																																															K0M31_012174																									
OG0020453			ENSUQBG00000006168																																																																					
OG0020454																																																	M0802_009352																							
OG0020455																																																	M0802_003843																							
OG0020456			ENSUQBG00000006194																																																																					
OG0020457																																																	M0802_012172																							
OG0020458											LOC117174878																																																													
OG0020459																																																											M0804_003497													
OG0020460																																																	M0802_003323																							
OG0020461																																				BRAKERXMBG00000019251																																				
OG0020462																																																WN51_09531																								
OG0020463																																																															ENSTFMG00005008342									
OG0020464																																															K0M31_012558																									
OG0020465																																												ENSMEOG00010007240																												
OG0020466																																																			LOC116416439																					
OG0020467																																													LOC105663233																											
OG0020468																																															K0M31_010701																									
OG0020469																																				BRAKERXMBG00000018978																																				
OG0020470																																								ENSBXKG00010005278																																
OG0020471																																															K0M31_015243																									
OG0020472																																																	M0802_012130																							
OG0020473																																																											M0804_005659													
OG0020474																																				BRAKERXMBG00000012015																																				
OG0020475				ENSANGG00005001244																																																																				
OG0020476																																												ENSMEOG00010004114																												
OG0020477																																																															ENSTFMG00005001241									
OG0020478																																									ENSLLVG00000001369																															
OG0020479																																																	M0802_000499																							
OG0020480																		ENSAMQG00000007769																																																						
OG0020481																																															K0M31_015089																									
OG0020482																																																														QLX08_011163										
OG0020483																																				BRAKERXMBG00000005117																																				
OG0020484																																	Dmel_CG43051																																							
OG0020485																																															K0M31_018974																									
OG0020486																																																																LOC100142035								
OG0020487																											LOC108625110																																													
OG0020488																									CELE_H17B01.5																																															
OG0020489																					ENSBSYG00000019010																																																			
OG0020490																																																											M0804_009327													
OG0020491													ENSBHTG00000011276																																																											
OG0020492																																				BRAKERXMBG00000011374																																				
OG0020493			ENSUQBG00000009970																																																																					
OG0020494																																																	M0802_015305																							
OG0020495																					ENSBSYG00000019848																																																			
OG0020496																									CELE_K02H11.8																																															
OG0020497																																																											M0804_007509													
OG0020498																																																																LOC103314191								
OG0020499																																																															ENSTFMG00005002580									
OG0020500														ENSBHYG00000006451																																																										
OG0020501																																																				ENSNSPG00005008509																				
OG0020502																																				BRAKERXMBG00000015828																																				
OG0020503																																				BRAKERXMBG00000016307																																				
OG0020504																																																						LOC105698517																		
OG0020505																																															K0M31_009513																									
OG0020506																																	Dmel_CG12920																																							
OG0020507																																								ENSBXKG00010011925																																
OG0020508																																				BRAKERXMBG00000015177																																				
OG0020509																		ENSAMQG00000015515																																																						
OG0020510																									CELE_Y62E10A.23																																															
OG0020511																																							LOC105186656																																	
OG0020512																													LOC111642787																																											
OG0020513														ENSBHYG00000022292																																																										
OG0020514																																				BRAKERXMBG00000005237																																				
OG0020515																									CELE_F58D5.2																																															
OG0020516																																						LOC143358828																																		
OG0020517																																								ENSBXKG00010008431																																
OG0020518													ENSBHTG00000013577																																																											
OG0020519			ENSUQBG00000014761																																																																					
OG0020520																					ENSBSYG00000010680																																																			
OG0020521																																								ENSBXKG00010008968																																
OG0020522																																																WN51_07535																								
OG0020523																																															K0M31_012395																									
OG0020524																																								ENSBXKG00010005741																																
OG0020525																																																																					ENSVGEG00000014795			
OG0020526																																															K0M31_000245																									
OG0020527																																ENSDSYG00005010171																																								
OG0020528																																															K0M31_019300																									
OG0020529																																	Dmel_CG43191																																							
OG0020530																																																	M0802_000097																							
OG0020531																																				BRAKERXMBG00000009001																																				
OG0020532																																	Dmel_CG11458																																							
OG0020533																																																	M0802_004177																							
OG0020534																																																WN51_11177																								
OG0020535														ENSBHYG00000025140																																																										
OG0020536			ENSUQBG00000016171																																																																					
OG0020537													ENSBHTG00000013581																																																											
OG0020538												ENSBCMG00005037768																																																												
OG0020539																																								ENSBXKG00010010682																																
OG0020540																									CELE_ZK470.2																																															
OG0020541											LOC117170909																																																													
OG0020542																																															K0M31_016915																									
OG0020543																																																																					ENSVGEG00000012123			
OG0020544																																				BRAKERXMBG00000007995																																				
OG0020545																	ENSZWKG00000014890																																																							
OG0020546																																				BRAKERXMBG00000017993																																				
OG0020547																																																																					ENSVGEG00000013372			
OG0020548																																				BRAKERXMBG00000004389																																				
OG0020549																																																	M0802_007543																							
OG0020550																																																																					ENSVGEG00000016939			
OG0020551																																																WN51_00574																								
OG0020552											LOC117183009																																																													
OG0020553																																																WN51_05880																								
OG0020554														ENSBHYG00000025577																																																										
OG0020555																				ENSBPTG00005012211																																																				
OG0020556																					ENSBSYG00000019759																																																			
OG0020557			ENSUQBG00000003352																																																																					
OG0020558																									CELE_ZK849.1																																															
OG0020559			ENSUQBG00000007550																																																																					
OG0020560													ENSBHTG00000014086																																																											
OG0020561																																																								ENSPLGG00000003442																
OG0020562																																															K0M31_017506																									
OG0020563																																																																LOC100141870								
OG0020564																																																																					ENSVGEG00000011065			
OG0020565																																															K0M31_008418																									
OG0020566																																																WN51_08655																								
OG0020567																																																														QLX08_001196										
OG0020568																																																														QLX08_003856										
OG0020569											LOC117175346																																																													
OG0020570																																																																					ENSVGEG00000012001			
OG0020571																																																				ENSNSPG00005001038																				
OG0020572																					ENSBSYG00000021657																																																			
OG0020573																																				BRAKERXMBG00000017602																																				
OG0020574																																																WN51_03940																								
OG0020575																																															K0M31_010113																									
OG0020576																									CELE_F55C7.2																																															
OG0020577																																																	M0802_005269																							
OG0020578													ENSBHTG00000003236																																																											
OG0020579		ENSANRG00005008567																																																																						
OG0020580																		ENSAMQG00000011229																																																						
OG0020581																									CELE_C29G2.6																																															
OG0020582											LOC117174967																																																													
OG0020583																				ENSBPTG00005018145																																																				
OG0020584																																																											M0804_002676													
OG0020585																							ENSQDAG00000004859																																																	
OG0020586																													LOC106637713																																											
OG0020587																																	Dmel_CG42591																																							
OG0020588																																																														QLX08_006799										
OG0020589																																															K0M31_004403																									
OG0020590																									CELE_C06G1.2																																															
OG0020591			ENSUQBG00000009840																																																																					
OG0020592																																																	M0802_001258																							
OG0020593																																															K0M31_006957																									
OG0020594											LOC117177035																																																													
OG0020595																																															K0M31_014951																									
OG0020596																																																																	LOC122417130							
OG0020597																									CELE_F33H1.4																																															
OG0020598																																	Dmel_CG2209																																							
OG0020599																																				BRAKERXMBG00000017053																																				
OG0020600																																								ENSBXKG00010010514																																
OG0020601																																						LOC143357260																																		
OG0020602																								ENSBLBG00005004834																																																
OG0020603																																																																					ENSVGEG00000010332			
OG0020604																					ENSBSYG00000007216																																																			
OG0020605			ENSUQBG00000006032																																																																					
OG0020606																																								ENSBXKG00010009556																																
OG0020607																																																											M0804_012180													
OG0020608																																															K0M31_019481																									
OG0020609																									CELE_R53.8																																															
OG0020610												ENSBCMG00005039640																																																												
OG0020611																																		LOC107195122																																						
OG0020612																									CELE_K02C4.5																																															
OG0020613																																																		LOC118646948																						
OG0020614																																																																					ENSVGEG00000008027			
OG0020615																																								ENSBXKG00010001555																																
OG0020616												ENSBCMG00005037479																																																												
OG0020617																																															K0M31_009796																									
OG0020618																									CELE_Y57A10B.7																																															
OG0020619												ENSBCMG00005021809																																																												
OG0020620			ENSUQBG00000006883																																																																					
OG0020621																																																WN51_00309																								
OG0020622																																	Dmel_CG34248																																							
OG0020623																																																														QLX08_002953										
OG0020624														ENSBHYG00000022325																																																										
OG0020625																																															K0M31_019098																									
OG0020626																																																																					ENSVGEG00000006745			
OG0020627											LOC117178588																																																													
OG0020628																																				BRAKERXMBG00000009728																																				
OG0020629														ENSBHYG00000022600																																																										
OG0020630												ENSBCMG00005027506																																																												
OG0020631																																																	M0802_001579																							
OG0020632													ENSBHTG00000010300																																																											
OG0020633																																																	M0802_007183																							
OG0020634	LOC105148655																																																																							
OG0020635																																																																					ENSVGEG00000000656			
OG0020636																																																									LOC106791976															
OG0020637			ENSUQBG00000006488																																																																					
OG0020638													ENSBHTG00000015546																																																											
OG0020639																																																											M0804_005326													
OG0020640											LOC117175709																																																													
OG0020641																																												ENSMEOG00010009055																												
OG0020642																																				BRAKERXMBG00000018012																																				
OG0020643																																																	M0802_005760																							
OG0020644																																								ENSBXKG00010005967																																
OG0020645			ENSUQBG00000011683																																																																					
OG0020646																																	Dmel_CG6164																																							
OG0020647																									CELE_K12D12.5																																															
OG0020648																									CELE_Y71G12B.17																																															
OG0020649																																																	M0802_003443																							
OG0020650			ENSUQBG00000011594																																																																					
OG0020651											LOC117182279																																																													
OG0020652											LOC117170261																																																													
OG0020653																									CELE_Y81B9A.2																																															
OG0020654																																															K0M31_005288																									
OG0020655																																																		LOC118645893																						
OG0020656													ENSBHTG00000015635																																																											
OG0020657																																				BRAKERXMBG00000003056																																				
OG0020658			ENSUQBG00000014615																																																																					
OG0020659																								ENSBLBG00005009267																																																
OG0020660																																																	M0802_016002																							
OG0020661																																																											M0804_013831													
OG0020662																									CELE_Y54F10AM.15																																															
OG0020663																																																																					ENSVGEG00000001276			
OG0020664																																				BRAKERXMBG00000006179																																				
OG0020665																																															K0M31_006500																									
OG0020666																																																WN51_05456																								
OG0020667																																																											M0804_000259													
OG0020668			ENSUQBG00000007602																																																																					
OG0020669																																	Dmel_CG32433																																							
OG0020670													ENSBHTG00000014531																																																											
OG0020671																																																	M0802_009421																							
OG0020672																																																											M0804_005049													
OG0020673																									CELE_Y26D4A.3																																															
OG0020674																																	Dmel_CG14879																																							
OG0020675				ENSANGG00005020345																																																																				
OG0020676																									CELE_C06E2.2																																															
OG0020677																																						LOC143365602																																		
OG0020678																																				BRAKERXMBG00000019796																																				
OG0020679																																															K0M31_012747																									
OG0020680																																															K0M31_004895																									
OG0020681																																									ENSLLVG00000011895																															
OG0020682											LOC117181093																																																													
OG0020683																																																	M0802_011489																							
OG0020684																																				BRAKERXMBG00000000169																																				
OG0020685														ENSBHYG00000023424																																																										
OG0020686																																															K0M31_010722																									
OG0020687																				ENSBPTG00005016926																																																				
OG0020688																																																				ENSNSPG00005002966																				
OG0020689																																																											M0804_004691													
OG0020690																										LOC112637316																																														
OG0020691																				ENSBPTG00005018474																																																				
OG0020692																																															K0M31_000368																									
OG0020693																																	Dmel_CG17764																																							
OG0020694																									CELE_Y64G10A.10																																															
OG0020695																																				BRAKERXMBG00000008816																																				
OG0020696											LOC117180340																																																													
OG0020697																									CELE_C29E4.15																																															
OG0020698																																																			LOC103316594																					
