#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
XP_015177823.1|gene=LOC107067118|XP_015177823.1	7460.GB44608-PA	8.14e-28	104.0	KOG4631@1|root,KOG4631@2759|Eukaryota,3A6C5@33154|Opisthokonta,3BT69@33208|Metazoa,3DAZ3@33213|Bilateria,421DM@6656|Arthropoda,3SPKS@50557|Insecta,46MTG@7399|Hymenoptera	33208|Metazoa	C	NADH-ubiquinone oxidoreductase B12 subunit family	NDUFB3	GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0006091,GO:0006119,GO:0006120,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007005,GO:0008137,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0010257,GO:0015980,GO:0016020,GO:0016021,GO:0016043,GO:0016310,GO:0016491,GO:0016651,GO:0016655,GO:0017144,GO:0019637,GO:0019693,GO:0019866,GO:0022607,GO:0022900,GO:0022904,GO:0030964,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032981,GO:0032991,GO:0033108,GO:0034622,GO:0034641,GO:0042773,GO:0042775,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045271,GO:0045333,GO:0046034,GO:0046483,GO:0050136,GO:0055086,GO:0055114,GO:0065003,GO:0070469,GO:0071704,GO:0071840,GO:0072521,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901360,GO:1901564,GO:1902494,GO:1990204	-	ko:K03959	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016	M00147	-	-	ko00000,ko00001,ko00002	3.D.1.6	-	-	NDUF_B12
XP_015177825.1|gene=LOC107067119|XP_015177825.1	12957.ACEP28040-PA	7.58e-40	149.0	KOG4611@1|root,KOG4611@2759|Eukaryota,39RE6@33154|Opisthokonta,3BDVB@33208|Metazoa,3CTSQ@33213|Bilateria,41W9K@6656|Arthropoda,3SFZ6@50557|Insecta,46HXK@7399|Hymenoptera	33208|Metazoa	S	Meckelin (Transmembrane protein 67)	TMEM67	GO:0001763,GO:0002009,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005813,GO:0005815,GO:0005856,GO:0005886,GO:0005929,GO:0006508,GO:0006511,GO:0006807,GO:0006950,GO:0006996,GO:0007275,GO:0007368,GO:0007389,GO:0007399,GO:0007507,GO:0008092,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009653,GO:0009799,GO:0009855,GO:0009888,GO:0009893,GO:0009894,GO:0009896,GO:0009987,GO:0010033,GO:0010243,GO:0010498,GO:0010564,GO:0010604,GO:0010638,GO:0010639,GO:0010824,GO:0010826,GO:0010948,GO:0012505,GO:0012506,GO:0015630,GO:0016020,GO:0016021,GO:0016043,GO:0019222,GO:0019538,GO:0019941,GO:0022008,GO:0022406,GO:0022607,GO:0030030,GO:0030031,GO:0030154,GO:0030162,GO:0030163,GO:0030182,GO:0030433,GO:0030659,GO:0031005,GO:0031090,GO:0031224,GO:0031253,GO:0031323,GO:0031325,GO:0031329,GO:0031331,GO:0031344,GO:0031346,GO:0031410,GO:0031982,GO:0031984,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032886,GO:0032991,GO:0033043,GO:0033554,GO:0034976,GO:0035239,GO:0035295,GO:0035845,GO:0035869,GO:0036038,GO:0036503,GO:0042175,GO:0042176,GO:0042221,GO:0042461,GO:0042995,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043632,GO:0044085,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044430,GO:0044432,GO:0044433,GO:0044441,GO:0044444,GO:0044446,GO:0044459,GO:0044463,GO:0044464,GO:0044782,GO:0045724,GO:0045732,GO:0045786,GO:0045862,GO:0046530,GO:0046605,GO:0046606,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048666,GO:0048699,GO:0048729,GO:0048731,GO:0048754,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051173,GO:0051179,GO:0051246,GO:0051247,GO:0051493,GO:0051494,GO:0051603,GO:0051640,GO:0051641,GO:0051716,GO:0051726,GO:0051787,GO:0060170,GO:0060255,GO:0060271,GO:0060429,GO:0060491,GO:0060562,GO:0061136,GO:0061138,GO:0065007,GO:0070507,GO:0070925,GO:0071704,GO:0071840,GO:0071944,GO:0072359,GO:0080090,GO:0080134,GO:0080135,GO:0097708,GO:0097711,GO:0098588,GO:0098590,GO:0098827,GO:0120025,GO:0120031,GO:0120032,GO:0120034,GO:0120035,GO:0120036,GO:0120038,GO:0140056,GO:1901564,GO:1901565,GO:1901575,GO:1901698,GO:1901800,GO:1902017,GO:1902115,GO:1902117,GO:1902855,GO:1902857,GO:1903050,GO:1903052,GO:1903362,GO:1903364,GO:1904292,GO:1904294,GO:1905515,GO:1905897,GO:1905898	-	ko:K19348	-	-	-	-	ko00000,ko03036	-	-	-	Meckelin
XP_015177827.1|gene=LOC107067120|XP_015177827.1	132113.XP_003491527.1	7.43e-72	219.0	2E2QD@1|root,2S9XB@2759|Eukaryota,3A8NE@33154|Opisthokonta,3BUQD@33208|Metazoa,3DANE@33213|Bilateria,4216V@6656|Arthropoda,3SPCU@50557|Insecta,46MBV@7399|Hymenoptera	33208|Metazoa	-	-	fln	GO:0003008,GO:0003009,GO:0003010,GO:0003012,GO:0003674,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005859,GO:0005863,GO:0006936,GO:0006941,GO:0006996,GO:0007010,GO:0007525,GO:0007527,GO:0008150,GO:0008307,GO:0009653,GO:0009987,GO:0010927,GO:0014703,GO:0014866,GO:0015629,GO:0016043,GO:0016459,GO:0016460,GO:0022607,GO:0030016,GO:0030017,GO:0030029,GO:0030036,GO:0030154,GO:0030239,GO:0030241,GO:0031032,GO:0031033,GO:0031034,GO:0031672,GO:0032501,GO:0032502,GO:0032982,GO:0032989,GO:0032991,GO:0034622,GO:0036379,GO:0042692,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044464,GO:0045214,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0050879,GO:0050881,GO:0051146,GO:0055001,GO:0055002,GO:0061061,GO:0065003,GO:0070925,GO:0071688,GO:0071840,GO:0097435,GO:0097493,GO:0099080,GO:0099081,GO:0099512	-	-	-	-	-	-	-	-	-	-	-
XP_015177828.1|gene=LOC107067121|XP_015177828.1	132113.XP_003491526.1	1.48e-100	303.0	2D834@1|root,2S5AE@2759|Eukaryota,3A7YH@33154|Opisthokonta,3BT7K@33208|Metazoa,3DAFS@33213|Bilateria,420PF@6656|Arthropoda,3SP2U@50557|Insecta,46M4A@7399|Hymenoptera	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
XP_015177830.1|gene=LOC107067122|XP_015177830.1	12957.ACEP28022-PA	7.39e-35	132.0	2D834@1|root,2S5AE@2759|Eukaryota,3A7YH@33154|Opisthokonta,3BT7K@33208|Metazoa,3DAFS@33213|Bilateria,420PF@6656|Arthropoda,3SP2U@50557|Insecta,46M6U@7399|Hymenoptera	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
XP_015177831.1|gene=LOC107067123|XP_015177831.1	103372.F4X2K0	2.36e-161	468.0	COG0331@1|root,KOG2926@2759|Eukaryota,38EIQ@33154|Opisthokonta,3BCU7@33208|Metazoa,3CVSC@33213|Bilateria,41VTD@6656|Arthropoda,3SGIJ@50557|Insecta,46K62@7399|Hymenoptera	33208|Metazoa	I	Acyl transferase domain	MCAT	GO:0003674,GO:0003824,GO:0004312,GO:0004314,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0006635,GO:0008150,GO:0008152,GO:0008610,GO:0009056,GO:0009058,GO:0009062,GO:0009987,GO:0016042,GO:0016053,GO:0016054,GO:0016417,GO:0016419,GO:0016420,GO:0016740,GO:0016746,GO:0016747,GO:0019395,GO:0019752,GO:0030258,GO:0031974,GO:0032787,GO:0034440,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044281,GO:0044282,GO:0044283,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0046395,GO:0055114,GO:0070013,GO:0071704,GO:0072329,GO:0072330,GO:1901575,GO:1901576	2.3.1.39	ko:K00645	ko00061,ko00333,ko01100,ko01130,ko01212,map00061,map00333,map01100,map01130,map01212	M00082	R01626,R11671	RC00004,RC00039,RC02727	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Acyl_transf_1
XP_015177832.1|gene=LOC107067124|XP_015177832.1	12957.ACEP26043-PA	1.66e-139	429.0	COG5273@1|root,KOG1311@2759|Eukaryota,392YR@33154|Opisthokonta,3BIH1@33208|Metazoa,3CUVU@33213|Bilateria,41YCT@6656|Arthropoda,3SK07@50557|Insecta,46E5X@7399|Hymenoptera	33208|Metazoa	S	DHHC palmitoyltransferase	ZDHHC1	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006464,GO:0006497,GO:0006807,GO:0006810,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0012505,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016409,GO:0016417,GO:0016462,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018345,GO:0019538,GO:0019706,GO:0019707,GO:0022804,GO:0022857,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0034645,GO:0035639,GO:0036094,GO:0036211,GO:0042157,GO:0042158,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043492,GO:0043543,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071704,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576	2.3.1.225	ko:K20027	-	-	-	-	ko00000,ko01000,ko04131	-	-	-	DHHC
XP_015177833.1|gene=LOC107067125|XP_015177833.1	7460.GB45878-PA	4.32e-241	684.0	COG0042@1|root,COG5273@1|root,KOG1311@2759|Eukaryota,KOG2335@2759|Eukaryota,38C8P@33154|Opisthokonta,3BCFG@33208|Metazoa,3CV4A@33213|Bilateria,41WRA@6656|Arthropoda,3SIXW@50557|Insecta,46KHQ@7399|Hymenoptera	33208|Metazoa	J	Dihydrouridine synthase (Dus)	DUS1L	GO:0000166,GO:0002943,GO:0003674,GO:0003824,GO:0005488,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016491,GO:0016627,GO:0017150,GO:0034470,GO:0034641,GO:0034660,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0048037,GO:0050660,GO:0050662,GO:0055114,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363	1.3.1.88	ko:K05542	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	DUF702,Dus
XP_015177836.1|gene=LOC107067126|XP_015177836.1	7460.GB44773-PA	1.76e-201	578.0	KOG3671@1|root,KOG3671@2759|Eukaryota,38DM5@33154|Opisthokonta,3BDJ1@33208|Metazoa,3CV6Q@33213|Bilateria,41XYZ@6656|Arthropoda,3SGKQ@50557|Insecta,46HK8@7399|Hymenoptera	33208|Metazoa	TZ	P21-Rho-binding domain	WASL	GO:0000003,GO:0000139,GO:0000226,GO:0000768,GO:0000902,GO:0000904,GO:0001578,GO:0001667,GO:0001775,GO:0002009,GO:0002064,GO:0002252,GO:0002253,GO:0002376,GO:0002429,GO:0002431,GO:0002433,GO:0002577,GO:0002625,GO:0002682,GO:0002683,GO:0002684,GO:0002685,GO:0002686,GO:0002697,GO:0002703,GO:0002706,GO:0002709,GO:0002757,GO:0002764,GO:0002768,GO:0002819,GO:0002822,GO:0003002,GO:0003006,GO:0003382,GO:0003383,GO:0003674,GO:0003779,GO:0005198,GO:0005488,GO:0005515,GO:0005519,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005794,GO:0005829,GO:0005856,GO:0005884,GO:0005886,GO:0005902,GO:0005911,GO:0005938,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006897,GO:0006898,GO:0006900,GO:0006909,GO:0006928,GO:0006949,GO:0006950,GO:0006952,GO:0006955,GO:0006996,GO:0007009,GO:0007010,GO:0007015,GO:0007017,GO:0007049,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007264,GO:0007265,GO:0007266,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007389,GO:0007399,GO:0007409,GO:0007413,GO:0007423,GO:0007439,GO:0007517,GO:0007520,GO:0007596,GO:0007599,GO:0008037,GO:0008038,GO:0008064,GO:0008092,GO:0008104,GO:0008150,GO:0008152,GO:0008154,GO:0008356,GO:0008360,GO:0008407,GO:0008544,GO:0008582,GO:0009058,GO:0009059,GO:0009605,GO:0009607,GO:0009611,GO:0009617,GO:0009653,GO:0009790,GO:0009887,GO:0009888,GO:0009889,GO:0009913,GO:0009987,GO:0010033,GO:0010256,GO:0010324,GO:0010467,GO:0010468,GO:0010556,GO:0010591,GO:0010631,GO:0010638,GO:0010639,GO:0012505,GO:0012506,GO:0014902,GO:0015031,GO:0015629,GO:0015833,GO:0016020,GO:0016028,GO:0016043,GO:0016050,GO:0016070,GO:0016192,GO:0016197,GO:0016203,GO:0016331,GO:0016358,GO:0016476,GO:0016477,GO:0017016,GO:0017048,GO:0017124,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019899,GO:0019900,GO:0019901,GO:0019904,GO:0019953,GO:0022008,GO:0022402,GO:0022412,GO:0022414,GO:0022416,GO:0022603,GO:0022604,GO:0022607,GO:0023052,GO:0030027,GO:0030029,GO:0030030,GO:0030036,GO:0030041,GO:0030048,GO:0030050,GO:0030054,GO:0030100,GO:0030139,GO:0030154,GO:0030182,GO:0030234,GO:0030334,GO:0030336,GO:0030478,GO:0030659,GO:0030666,GO:0030695,GO:0030705,GO:0030832,GO:0030833,GO:0030838,GO:0030855,GO:0030863,GO:0030864,GO:0031090,GO:0031175,GO:0031252,GO:0031267,GO:0031323,GO:0031326,GO:0031334,GO:0031344,GO:0031346,GO:0031410,GO:0031503,GO:0031594,GO:0031647,GO:0031982,GO:0031984,GO:0032231,GO:0032232,GO:0032271,GO:0032273,GO:0032488,GO:0032501,GO:0032502,GO:0032504,GO:0032528,GO:0032535,GO:0032768,GO:0032774,GO:0032879,GO:0032880,GO:0032947,GO:0032956,GO:0032970,GO:0032989,GO:0032990,GO:0032991,GO:0033036,GO:0033043,GO:0034097,GO:0034314,GO:0034315,GO:0034341,GO:0034613,GO:0034622,GO:0034629,GO:0034641,GO:0034645,GO:0034654,GO:0035017,GO:0035212,GO:0035239,GO:0035295,GO:0035556,GO:0036062,GO:0038093,GO:0038094,GO:0038096,GO:0040008,GO:0040011,GO:0040012,GO:0040013,GO:0042060,GO:0042110,GO:0042221,GO:0042335,GO:0042692,GO:0042734,GO:0042802,GO:0042886,GO:0042995,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043254,GO:0043274,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044425,GO:0044430,GO:0044431,GO:0044433,GO:0044444,GO:0044446,GO:0044448,GO:0044456,GO:0044459,GO:0044464,GO:0044703,GO:0045010,GO:0045087,GO:0045165,GO:0045184,GO:0045202,GO:0045321,GO:0045335,GO:0045807,GO:0045886,GO:0045926,GO:0045995,GO:0046483,GO:0046649,GO:0046662,GO:0046907,GO:0048013,GO:0048232,GO:0048259,GO:0048260,GO:0048365,GO:0048468,GO:0048513,GO:0048515,GO:0048518,GO:0048519,GO:0048520,GO:0048522,GO:0048523,GO:0048546,GO:0048557,GO:0048562,GO:0048565,GO:0048566,GO:0048567,GO:0048568,GO:0048583,GO:0048584,GO:0048598,GO:0048609,GO:0048611,GO:0048613,GO:0048638,GO:0048640,GO:0048646,GO:0048666,GO:0048667,GO:0048699,GO:0048729,GO:0048731,GO:0048812,GO:0048813,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050776,GO:0050778,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050795,GO:0050803,GO:0050807,GO:0050808,GO:0050817,GO:0050851,GO:0050852,GO:0050878,GO:0050896,GO:0050999,GO:0051020,GO:0051049,GO:0051050,GO:0051093,GO:0051125,GO:0051127,GO:0051128,GO:0051129,GO:0051130,GO:0051146,GO:0051171,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051252,GO:0051258,GO:0051270,GO:0051271,GO:0051301,GO:0051341,GO:0051489,GO:0051491,GO:0051492,GO:0051493,GO:0051494,GO:0051495,GO:0051497,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051653,GO:0051656,GO:0051674,GO:0051704,GO:0051707,GO:0051716,GO:0051960,GO:0051961,GO:0051963,GO:0051964,GO:0055123,GO:0060255,GO:0060429,GO:0060491,GO:0060538,GO:0060589,GO:0060627,GO:0060996,GO:0060997,GO:0061024,GO:0061061,GO:0061564,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070252,GO:0070727,GO:0070887,GO:0071310,GO:0071345,GO:0071346,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071944,GO:0072583,GO:0080090,GO:0090066,GO:0090130,GO:0090132,GO:0090304,GO:0097060,GO:0097061,GO:0097320,GO:0097435,GO:0097458,GO:0097659,GO:0097708,GO:0098588,GO:0098590,GO:0098657,GO:0098772,GO:0098791,GO:0098793,GO:0098805,GO:0098858,GO:0099080,GO:0099081,GO:0099173,GO:0099512,GO:0099513,GO:0099515,GO:0099518,GO:0099568,GO:0106027,GO:0106030,GO:0110020,GO:0110053,GO:0120025,GO:0120032,GO:0120034,GO:0120035,GO:0120036,GO:0120039,GO:1901046,GO:1901360,GO:1901362,GO:1901576,GO:1902743,GO:1902903,GO:1902904,GO:1902905,GO:1903506,GO:1903525,GO:1903526,GO:1903729,GO:1904396,GO:1904397,GO:1905809,GO:2000026,GO:2000112,GO:2000145,GO:2000146,GO:2000241,GO:2000243,GO:2000369,GO:2000370,GO:2000401,GO:2000402,GO:2000601,GO:2001141	-	ko:K05747	ko04062,ko04144,ko04520,ko04530,ko04666,ko04810,ko05100,ko05130,ko05131,ko05132,ko05231,map04062,map04144,map04520,map04530,map04666,map04810,map05100,map05130,map05131,map05132,map05231	-	-	-	ko00000,ko00001,ko04131,ko04812	-	-	-	PBD,WH1,WH2
XP_015177838.1|gene=LOC107067127|XP_015177838.1	7460.GB45821-PA	0.0	3572.0	KOG1910@1|root,KOG1910@2759|Eukaryota,3950X@33154|Opisthokonta,3BFHM@33208|Metazoa,3CYPG@33213|Bilateria,41YB3@6656|Arthropoda,3SIHG@50557|Insecta,46ESR@7399|Hymenoptera	33208|Metazoa	S	RNA pol II promoter Fmp27 protein domain	KIAA0100	GO:0003674,GO:0005575,GO:0005576,GO:0008150	-	-	-	-	-	-	-	-	-	-	Apt1,DUF2405,Fmp27,Fmp27_GFWDK
XP_015177839.1|gene=LOC107067128|XP_015177839.1	103372.F4W871	2.57e-138	392.0	2CH2W@1|root,2QQ94@2759|Eukaryota,39SVP@33154|Opisthokonta,3BAM3@33208|Metazoa,3D2ZG@33213|Bilateria,41Y41@6656|Arthropoda,3SJYZ@50557|Insecta,46EKJ@7399|Hymenoptera	33208|Metazoa	T	PH domain	FAM109A	GO:0001881,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005794,GO:0005802,GO:0005829,GO:0006810,GO:0006996,GO:0007032,GO:0008150,GO:0008152,GO:0009987,GO:0010256,GO:0012505,GO:0016043,GO:0016050,GO:0016192,GO:0016197,GO:0016482,GO:0023051,GO:0030135,GO:0030136,GO:0031410,GO:0031982,GO:0031984,GO:0042147,GO:0042802,GO:0042803,GO:0043112,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044260,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0046907,GO:0046983,GO:0050789,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055037,GO:0065007,GO:0071704,GO:0071840,GO:0097708,GO:0098791	-	-	-	-	-	-	-	-	-	-	PH
XP_015177840.1|gene=LOC107067129|XP_015177840.1	132113.XP_003489054.1	1.7e-68	243.0	COG5185@1|root,2T6Q4@2759|Eukaryota,390SV@33154|Opisthokonta,3C6K8@33208|Metazoa,3DMIV@33213|Bilateria,4244C@6656|Arthropoda,3SX06@50557|Insecta,46M39@7399|Hymenoptera	33208|Metazoa	D	attachment of mitotic spindle microtubules to kinetochore	-	-	-	-	-	-	-	-	-	-	-	-	-
XP_015177844.1|gene=LOC107067130|XP_015177844.1	7460.GB54282-PA	3.25e-201	586.0	COG5185@1|root,KOG0995@2759|Eukaryota,38HGM@33154|Opisthokonta,3B9AR@33208|Metazoa,3CWEJ@33213|Bilateria,420TD@6656|Arthropoda,3SNKM@50557|Insecta,46GKQ@7399|Hymenoptera	33208|Metazoa	D	HEC/Ndc80p family	NDC80	GO:0000003,GO:0000070,GO:0000132,GO:0000226,GO:0000228,GO:0000278,GO:0000280,GO:0000775,GO:0000776,GO:0000777,GO:0000778,GO:0000779,GO:0000780,GO:0000793,GO:0000794,GO:0000819,GO:0000940,GO:0000942,GO:0003006,GO:0003674,GO:0005198,GO:0005200,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005737,GO:0005813,GO:0005815,GO:0005829,GO:0005856,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007049,GO:0007051,GO:0007052,GO:0007059,GO:0007079,GO:0007080,GO:0007088,GO:0007163,GO:0007275,GO:0007346,GO:0007548,GO:0008104,GO:0008150,GO:0008406,GO:0008608,GO:0009653,GO:0009887,GO:0009987,GO:0010564,GO:0010638,GO:0010965,GO:0015630,GO:0016043,GO:0019904,GO:0022402,GO:0022414,GO:0022607,GO:0030010,GO:0030071,GO:0030334,GO:0031262,GO:0031334,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032879,GO:0032880,GO:0032991,GO:0033036,GO:0033043,GO:0033044,GO:0033045,GO:0033047,GO:0033365,GO:0034501,GO:0034502,GO:0034508,GO:0034613,GO:0034622,GO:0035262,GO:0040001,GO:0040012,GO:0042802,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043254,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044454,GO:0044464,GO:0045137,GO:0045787,GO:0045840,GO:0045931,GO:0048285,GO:0048513,GO:0048518,GO:0048522,GO:0048608,GO:0048731,GO:0048856,GO:0050000,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051179,GO:0051234,GO:0051270,GO:0051276,GO:0051293,GO:0051294,GO:0051301,GO:0051303,GO:0051305,GO:0051310,GO:0051315,GO:0051321,GO:0051382,GO:0051383,GO:0051640,GO:0051641,GO:0051649,GO:0051653,GO:0051656,GO:0051726,GO:0051781,GO:0051783,GO:0051785,GO:0051983,GO:0051984,GO:0060341,GO:0061458,GO:0062033,GO:0065003,GO:0065004,GO:0065007,GO:0070013,GO:0070727,GO:0070925,GO:0071459,GO:0071824,GO:0071840,GO:0090068,GO:0090230,GO:0090231,GO:0090232,GO:0090234,GO:0090266,GO:0090267,GO:0098687,GO:0098813,GO:0140014,GO:1901970,GO:1901976,GO:1901978,GO:1901987,GO:1901990,GO:1902099,GO:1902115,GO:1902117,GO:1902850,GO:1903047,GO:1903394,GO:1903504,GO:1903827,GO:1903829,GO:1905340,GO:1905342,GO:1905561,GO:1905818,GO:1905820,GO:2000145,GO:2001252	-	ko:K11547	-	-	-	-	ko00000,ko03036	-	-	-	Ndc80_HEC
