HOG	species	gene_id	gene_symbol	gene_name	annotation_source	annotation_quality
N0.HOG0000028	Vespula_vulgaris	LOC127069756	LOC127069756	odorant receptor 46a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000028	Vespula_vulgaris	LOC127069757	LOC127069757	odorant receptor 94a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000028	Vespula_vulgaris	LOC127069766	LOC127069766	odorant receptor Or1-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000028	Vespula_vulgaris	LOC127069857	LOC127069857	7tm Odorant receptor	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000028	Vespula_vulgaris	LOC127069858	LOC127069858	odorant receptor 42a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000028	Vespula_vulgaris	LOC127069859	LOC127069859	7tm Odorant receptor	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000042	Ancistrocerus_nigricornis	ENSANRG00005002235	LOC107069471	odorant receptor 43a-like	OrthoFinder orthology transfer from: Polistes_dominula	orthology-inferred; not a direct NCBI name
N0.HOG0000042	Ancistrocerus_nigricornis	ENSANRG00005002618	LOC107069496; LOC127070846	odorant receptor 43a-like; 7tm Odorant receptor	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000042	Ancistrocerus_nigricornis	ENSANRG00005003785	LOC127071909	odorant receptor 30a-like	OrthoFinder orthology transfer from: Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000042	Ancistrocerus_nigricornis	ENSANRG00005004452	LOC107068975; LOC127071912	odorant receptor Or2-like; odorant receptor 30a-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000042	Ancistrocerus_nigricornis	ENSANRG00005005061	LOC127071773; LOC127071911	odorant receptor 13a-like; 7tm Odorant receptor	OrthoFinder orthology transfer from: Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000042	Ancistrocerus_nigricornis	ENSANRG00005006495	LOC127071773; LOC127071911	odorant receptor 13a-like; 7tm Odorant receptor	OrthoFinder orthology transfer from: Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000042	Polistes_dominula	LOC107068975	LOC107068975	odorant receptor Or2-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000042	Polistes_dominula	LOC107069471	LOC107069471	odorant receptor 43a-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000042	Polistes_dominula	LOC107069472	LOC107069472	odorant receptor 30a-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000042	Polistes_dominula	LOC107069496	LOC107069496	odorant receptor 43a-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000042	Vespula_vulgaris	LOC127070846	LOC127070846	7tm Odorant receptor	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000042	Vespula_vulgaris	LOC127070879	LOC127070879	odorant receptor 30a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000042	Vespula_vulgaris	LOC127071773	LOC127071773	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000042	Vespula_vulgaris	LOC127071909	LOC127071909	odorant receptor 30a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000042	Vespula_vulgaris	LOC127071910	LOC127071910	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000042	Vespula_vulgaris	LOC127071911	LOC127071911	7tm Odorant receptor	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000042	Vespula_vulgaris	LOC127071912	LOC127071912	odorant receptor 30a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005001794	LOC107073493; LOC127064088	odorant receptor 82a-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005003315	LOC107073299; LOC127072299	odorant receptor 85c-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005003420	LOC127072289; LOC127072290; LOC127072307; LOC127072310; LOC127072311; LOC127072462	Odorant receptor; odorant receptor 82a-like; odorant receptor 10a-like	OrthoFinder orthology transfer from: Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005003443	LOC107069745	odorant receptor 85f-like	OrthoFinder orthology transfer from: Polistes_dominula	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005003554	LOC107067895; LOC127072298	Odorant receptor; odorant receptor 2a-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005003635	LOC127072297	odorant receptor 13a-like	OrthoFinder orthology transfer from: Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005003735	LOC107069745	odorant receptor 85f-like	OrthoFinder orthology transfer from: Polistes_dominula	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005003771	LOC107069745	odorant receptor 85f-like	OrthoFinder orthology transfer from: Polistes_dominula	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005003940	LOC107069745	odorant receptor 85f-like	OrthoFinder orthology transfer from: Polistes_dominula	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005003968				not directly annotated
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005003990	LOC107073299; LOC127072299	odorant receptor 85c-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005004044	LOC127072297	odorant receptor 13a-like	OrthoFinder orthology transfer from: Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005004238	LOC127072281; LOC127072282; LOC127072283; LOC127072284; LOC127072285; LOC127072286; LOC127072287; LOC127072288; LOC127072308; LOC127072309; LOC127072312; LOC127072313	odorant receptor 13a-like; Odorant receptor; odorant receptor 9a-like; odorant receptor 67a-like; odorant receptor 45b-like; odorant receptor 4-like; putative odorant receptor 85d	OrthoFinder orthology transfer from: Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Ancistrocerus_nigricornis	ENSANRG00005004425	LOC107071314; LOC107073503; LOC107073504; LOC127071154; LOC127072279; LOC127072296; LOC127072416	odorant receptor 13a-like; Odorant receptor; odorant receptor 4-like; odorant receptor 10a-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000050	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000050	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000050	Polistes_dominula	LOC107067895	LOC107067895	Odorant receptor	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000050	Polistes_dominula	LOC107069745	LOC107069745	odorant receptor 85f-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Polistes_dominula	LOC107069746	LOC107069746	Odorant receptor	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000050	Polistes_dominula	LOC107071314	LOC107071314	odorant receptor 13a-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Polistes_dominula	LOC107073299	LOC107073299	odorant receptor 85c-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Polistes_dominula	LOC107073493	LOC107073493	odorant receptor 82a-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Polistes_dominula	LOC107073503	LOC107073503	odorant receptor 13a-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Polistes_dominula	LOC107073504	LOC107073504	Odorant receptor	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127064088	LOC127064088	odorant receptor 82a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127071010	LOC127071010	odorant receptor 4-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127071154	LOC127071154	odorant receptor 4-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072278	LOC127072278	Odorant receptor	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072279	LOC127072279	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072281	LOC127072281	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072282	LOC127072282	Odorant receptor	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072283	LOC127072283	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072284	LOC127072284	odorant receptor 9a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072285	LOC127072285	odorant receptor 67a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072286	LOC127072286	Odorant receptor	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072287	LOC127072287	odorant receptor 45b-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072288	LOC127072288	odorant receptor 4-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072289	LOC127072289	Odorant receptor	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072290	LOC127072290	Odorant receptor	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072291	LOC127072291	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072292	LOC127072292	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072293	LOC127072293	putative odorant receptor 69a	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072294	LOC127072294	odorant receptor 4-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072295	LOC127072295	Odorant receptor	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072296	LOC127072296	odorant receptor 10a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072297	LOC127072297	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072298	LOC127072298	odorant receptor 2a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072299	LOC127072299	odorant receptor 85c-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072307	LOC127072307	odorant receptor 82a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072308	LOC127072308	odorant receptor 4-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072309	LOC127072309	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072310	LOC127072310	odorant receptor 82a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072311	LOC127072311	odorant receptor 82a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072312	LOC127072312	odorant receptor 4-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072313	LOC127072313	putative odorant receptor 85d	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072413	LOC127072413	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072414	LOC127072414	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072415	LOC127072415	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072416	LOC127072416	odorant receptor 4-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072417	LOC127072417	odorant receptor 13a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000050	Vespula_vulgaris	LOC127072462	LOC127072462	odorant receptor 10a-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Ancistrocerus_nigricornis	ENSANRG00005001615	CG10962; CG3301; CG40485; CG40486; CG8757; CG9150; CG9360; LOC107068935; LOC107068937; LOC107068949; LOC107073573; LOC127066140; LOC127066141; LOC127066142; LOC127066143; LOC127066198	farnesol dehydrogenase-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000058	Ancistrocerus_nigricornis	ENSANRG00005002355	CG10962; CG3301; CG40485; CG40486; CG8757; CG9150; CG9360; LOC107069231	dehydrogenase/reductase SDR family member 11-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula	orthology-inferred; not a direct NCBI name
N0.HOG0000058	Ancistrocerus_nigricornis	ENSANRG00005003475	CG10962; CG3301; CG40485; CG40486; CG8757; CG9150; CG9360; LOC107069232; LOC127062191	farnesol dehydrogenase-like; Enoyl-(Acyl carrier protein) reductase	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000058	Ancistrocerus_nigricornis	ENSANRG00005003948	CG10962; CG3301; CG40485; CG40486; CG8757; CG9150; CG9360; LOC107064054; LOC107072739; LOC107072839; LOC127067492	dehydrogenase/reductase SDR family member 11-like; farnesol dehydrogenase-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	orthology-inferred; not a direct NCBI name
N0.HOG0000058	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000058	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000058	Drosophila_melanogaster	FBgn0030073	CG10962		FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000058	Drosophila_melanogaster	FBgn0030332	CG9360		FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000058	Drosophila_melanogaster	FBgn0031775	CG9150		FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000058	Drosophila_melanogaster	FBgn0036380	CG8757		FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000058	Drosophila_melanogaster	FBgn0038878	CG3301		FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000058	Drosophila_melanogaster	FBgn0069973	CG40485		FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000058	Drosophila_melanogaster	FBgn0263830	CG40486		FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000058	Polistes_dominula	LOC107064054	LOC107064054	dehydrogenase/reductase SDR family member 11-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Polistes_dominula	LOC107068869	LOC107068869	farnesol dehydrogenase-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Polistes_dominula	LOC107068935	LOC107068935	farnesol dehydrogenase-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Polistes_dominula	LOC107068937	LOC107068937	farnesol dehydrogenase-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Polistes_dominula	LOC107068949	LOC107068949	farnesol dehydrogenase-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Polistes_dominula	LOC107069231	LOC107069231	dehydrogenase/reductase SDR family member 11-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Polistes_dominula	LOC107069232	LOC107069232	farnesol dehydrogenase-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Polistes_dominula	LOC107069372	LOC107069372	farnesol dehydrogenase-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Polistes_dominula	LOC107072739	LOC107072739	dehydrogenase/reductase SDR family member 11-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Polistes_dominula	LOC107072839	LOC107072839	farnesol dehydrogenase-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Polistes_dominula	LOC107073573	LOC107073573	farnesol dehydrogenase-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Vespula_vulgaris	LOC127062191	LOC127062191	Enoyl-(Acyl carrier protein) reductase	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000058	Vespula_vulgaris	LOC127066140	LOC127066140	farnesol dehydrogenase-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Vespula_vulgaris	LOC127066141	LOC127066141	farnesol dehydrogenase-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Vespula_vulgaris	LOC127066142	LOC127066142	farnesol dehydrogenase-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Vespula_vulgaris	LOC127066143	LOC127066143	farnesol dehydrogenase-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Vespula_vulgaris	LOC127066198	LOC127066198	farnesol dehydrogenase-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Vespula_vulgaris	LOC127067492	LOC127067492	farnesol dehydrogenase-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000058	Vespula_vulgaris	LOC127071841	LOC127071841	farnesol dehydrogenase-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000101	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
N0.HOG0000101	Polistes_dominula	LOC107064932	LOC107064932	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107064933	LOC107064933	cytochrome P450 3A13-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107065068	LOC107065068	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107065070	LOC107065070	cytochrome P450 4g15-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107065071	LOC107065071	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107065359	LOC107065359	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107065361	LOC107065361	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107065602	LOC107065602	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107065768	LOC107065768	probable cytochrome P450 4ac1	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107069071	LOC107069071	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107069800	LOC107069800	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107071176	LOC107071176	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107071388	LOC107071388	Cytochrome P-450	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073471	LOC107073471	cytochrome P450 4c3-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073472	LOC107073472	cytochrome P450 4V2-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073473	LOC107073473	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073593	LOC107073593	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073594	LOC107073594	cytochrome P450 4c3-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073595	LOC107073595	cytochrome P450 4p1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073620	LOC107073620	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073672	LOC107073672	cytochrome P450 4g15-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073688	LOC107073688	cytochrome P450 4V2-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073689	LOC107073689	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073729	LOC107073729	cytochrome P450 4V2-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073748	LOC107073748	cytochrome P450 4V2-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073749	LOC107073749	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Polistes_dominula	LOC107073787	LOC107073787	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Vespula_vulgaris	LOC127071128	LOC127071128	cytochrome P450 4C1-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Vespula_vulgaris	LOC127071129	LOC127071129	cytochrome P450 4C1-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Vespula_vulgaris	LOC127071130	LOC127071130	cytochrome P450 4C1-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Vespula_vulgaris	LOC127071131	LOC127071131	cytochrome P450 4C1-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Vespula_vulgaris	LOC127071132	LOC127071132	probable cytochrome P450 4p2	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000101	Vespula_vulgaris	LOC127072492	LOC127072492	cytochrome P450 4C1-like	NCBI: vv_genetable.csv	direct NCBI-derived annotation
N0.HOG0000103	Drosophila_melanogaster				FlyBase-derived dmel_genetable.csv	FlyBase-derived outgroup evidence
