HOG	OG	gene_tree_parent_clade	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	chemosensory_family_flag	TE_related_HOG_flag	TE_filter_reason
N0.HOG0000272	OG0000181	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Reverse transcriptase (RNA-dependent DNA polymerase)	0					0	1	LOC107071962	LOC107071962	Reverse transcriptase (RNA-dependent DNA polymerase)	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	2	ENSANRG00005008639; ENSANRG00005003377				0	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000416	OG0000291	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Transposase protein	0					0	0					0	1	ENSANRG00005009721	LOC107073419	Transposase protein	OrthoFinder orthology transfer from: Polistes_dominula	1	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000429	OG0000303	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Reverse transcriptase (RNA-dependent DNA polymerase)	0					0	1	LOC107073460	LOC107073460	Reverse transcriptase (RNA-dependent DNA polymerase)	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	ENSANRG00005003549	CG42446		OrthoFinder orthology transfer from: Drosophila_melanogaster	1	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000708	OG0000544	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Transposase protein	0					0	1	LOC107073428	LOC107073428	Transposase protein	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	2	ENSANRG00005010920; ENSANRG00005002029	CG14860		OrthoFinder orthology transfer from: Drosophila_melanogaster	2	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000732	OG0000566	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	transposable element Tc1 transposase	0					0	1	LOC107066957	LOC107066957	transposable element Tc1 transposase	NCBI: pd_genetable.csv	1	1	ENSANRG00005010948	CG14478		OrthoFinder orthology transfer from: Drosophila_melanogaster	1	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000832	OG0000645	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Reverse transcriptase (RNA-dependent DNA polymerase)	0					0	4	LOC107073704; LOC107072430; LOC107074148; LOC107066991	LOC107073704; LOC107072430; LOC107074148; LOC107066991	Reverse transcriptase (RNA-dependent DNA polymerase)	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: pd_genetable.csv	4	1	ENSANRG00005005284	LOC107073704	Reverse transcriptase (RNA-dependent DNA polymerase)	OrthoFinder orthology transfer from: Polistes_dominula	1	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000949	OG0000746	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Transposase protein	1	LOC127068055	LOC127068055	Transposase protein	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	0					0	2	ENSANRG00005002327; ENSANRG00005005421	LOC127068055	Transposase protein	OrthoFinder orthology transfer from: Vespula_vulgaris	2	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0001000	OG0000783	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Transposase protein	0					0	1	LOC107066544	LOC107066544	Transposase protein	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	3	ENSANRG00005006295; ENSANRG00005007752; ENSANRG00005010396	CG14860		OrthoFinder orthology transfer from: Drosophila_melanogaster	1	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0001248	OG0001003	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	telomerase reverse transcriptase	1	LOC127070330	Tert	telomerase reverse transcriptase	NCBI: vv_genetable.csv	1	1	LOC107072630	Tert	telomerase reverse transcriptase	NCBI: pd_genetable.csv	1	1	ENSANRG00005011065	Tert	telomerase reverse transcriptase	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0001875	OG0001570	n0	zinc-finger protein family	conservative keyword family rule	Zinc finger domain in CG10631, C. elegans LIN-15B and human P52rIPK.; Transposase protein	1	LOC127072607	LOC127072607	Zinc finger domain in CG10631, C. elegans LIN-15B and human P52rIPK.	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	LOC107069183	LOC107069183	Zinc finger domain in CG10631, C. elegans LIN-15B and human P52rIPK.	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	4	ENSANRG00005006216; ENSANRG00005003753; ENSANRG00005006134; ENSANRG00005010040	LOC107069183; LOC127072607; LOC127068055	Zinc finger domain in CG10631, C. elegans LIN-15B and human P52rIPK.; Transposase protein	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Vespula_vulgaris	4	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0001933	OG0001625	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Pao retrotransposon peptidase	0					0	2	LOC107073440; LOC107073558	LOC107073440; LOC107073558	Pao retrotransposon peptidase	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	0					0	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0010064	OG0009628	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Transposase protein	0					0	2	LOC107073429; LOC107069190	LOC107073429; LOC107069190	Transposase protein	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	0					0	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0012187	OG0011750	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Transposase protein	0					0	0					0	1	ENSANRG00005008678	LOC127068055	Transposase protein	OrthoFinder orthology transfer from: Vespula_vulgaris	1	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
