HOG	OG	gene_tree_parent_clade	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	chemosensory_family_flag	TE_related_HOG_flag	TE_filter_reason
N0.HOG0000159	OG0000095	n0	unannotated HOG	no usable local annotation		0					0	0					0	8	ENSANRG00005009200; ENSANRG00005010473; ENSANRG00005009042; ENSANRG00005009053; ENSANRG00005008164; ENSANRG00005008845; ENSANRG00005010061; ENSANRG00005008156				0	FALSE	FALSE	
N0.HOG0000162	OG0000098	n0	elongation of very long chain fatty acids protein 1-like / elongation of very long chain fatty acids protein AAEL008004-like	weighted recurring annotation	elongation of very long chain fatty acids protein 1-like; elongation of very long chain fatty acids protein-like; elongation of very long chain fatty acids protein AAEL008004-like; elongation of very long chain fatty acids protein F-like; elongation of very long chain fatty acids protein 1-like; elongation of very long chain fatty acids protein AAEL008004-like; elongation of very long chain fatty acids protein-like; elongation of very long chain fatty acids protein F-like	6	LOC127070563; LOC127070554; LOC127070514; LOC127070519; LOC127070504; LOC127070634	LOC127070563; LOC127070554; LOC127070514; LOC127070519; LOC127070504; LOC127070634	elongation of very long chain fatty acids protein 1-like; elongation of very long chain fatty acids protein-like; elongation of very long chain fatty acids protein AAEL008004-like; elongation of very long chain fatty acids protein F-like	NCBI: vv_genetable.csv	6	3	LOC107074093; LOC107066959; LOC107066960	LOC107074093; LOC107066959; LOC107066960	elongation of very long chain fatty acids protein 1-like; elongation of very long chain fatty acids protein AAEL008004-like	NCBI: pd_genetable.csv	3	3	ENSANRG00005003292; ENSANRG00005005959; ENSANRG00005006367	LOC107074093; CG30008; CG30008; LOC107066959; LOC107066960; LOC127070504; LOC127070514; LOC127070519; LOC127070554; LOC127070563; LOC127070634	elongation of very long chain fatty acids protein 1-like; elongation of very long chain fatty acids protein 1-like; elongation of very long chain fatty acids protein AAEL008004-like; elongation of very long chain fatty acids protein-like; elongation of very long chain fatty acids protein F-like	OrthoFinder orthology transfer from: Polistes_dominula; OrthoFinder orthology transfer from: Drosophila_melanogaster; OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	3	FALSE	FALSE	
N0.HOG0000166	OG0000101	n0	unannotated HOG	no usable local annotation		0					0	0					0	7	ENSANRG00005009768; ENSANRG00005002515; ENSANRG00005002483; ENSANRG00005008819; ENSANRG00005010320; ENSANRG00005002887; ENSANRG00005006294				0	FALSE	FALSE	
N0.HOG0000299	OG0000205	n0	glutamyl aminopeptidase-like / aminopeptidase A-like	weighted recurring annotation	aminopeptidase A-like; glutamyl aminopeptidase-like; glutamyl aminopeptidase-like; aminopeptidase A-like	2	LOC127067317; LOC127065312	LOC127067317; LOC127065312	aminopeptidase A-like; glutamyl aminopeptidase-like	NCBI: vv_genetable.csv	2	3	LOC107063913; LOC107063631; LOC107063711	LOC107063913; LOC107063631; LOC107063711	glutamyl aminopeptidase-like	NCBI: pd_genetable.csv	3	1	ENSANRG00005008082	CG32473; CG8773; CG8774; LOC107063913; LOC127067317	glutamyl aminopeptidase-like; aminopeptidase A-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE	
N0.HOG0000373	OG0000258	n0	Zinc knuckle	weighted recurring annotation	Zinc knuckle	0					0	2	LOC107073421; LOC107073329	LOC107073421; LOC107073329	Zinc knuckle	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	6	ENSANRG00005006265; ENSANRG00005006147; ENSANRG00005003372; ENSANRG00005005838; ENSANRG00005006209; ENSANRG00005010062				0	FALSE	FALSE	
N0.HOG0000470	OG0000334	n0	carbonic anhydrase 7-like / carbonic anhydrase 1-like	weighted recurring annotation	carbonic anhydrase-related protein-like; carbonic anhydrase 2-like; carbonic anhydrase 7-like; carbonic anhydrase 1-like	3	LOC127068452; LOC127068450; LOC127068451	LOC127068452; LOC127068450; LOC127068451	carbonic anhydrase-related protein-like; carbonic anhydrase 2-like; carbonic anhydrase 7-like	NCBI: vv_genetable.csv	3	3	LOC107070866; LOC107070865; LOC107070864	LOC107070866; LOC107070865; LOC107070864	carbonic anhydrase 1-like; carbonic anhydrase 7-like	NCBI: pd_genetable.csv	3	0					0	FALSE	FALSE	
N0.HOG0000504	OG0000365	n0	antizyme inhibitor 2-like / ornithine decarboxylase-like	weighted recurring annotation	ornithine decarboxylase 2-like; ornithine decarboxylase-like; ornithine decarboxylase 1-like; antizyme inhibitor 2-like; antizyme inhibitor 2-like; ornithine decarboxylase 2-like; ornithine decarboxylase-like; ornithine decarboxylase 1-like	5	LOC127072431; LOC127072432; LOC127072435; LOC127072433; LOC127072434	LOC127072431; LOC127072432; LOC127072435; LOC127072433; LOC127072434	ornithine decarboxylase 2-like; ornithine decarboxylase-like; ornithine decarboxylase 1-like	NCBI: vv_genetable.csv	5	2	LOC107070384; LOC107070385	LOC107070384; LOC107070385	antizyme inhibitor 2-like	NCBI: pd_genetable.csv	2	1	ENSANRG00005010300	LOC107070384; LOC107070385; LOC127072431; LOC127072432; LOC127072433; LOC127072434; LOC127072435	antizyme inhibitor 2-like; ornithine decarboxylase 2-like; ornithine decarboxylase-like; ornithine decarboxylase 1-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE	
N0.HOG0000518	OG0000379	n0	DM4/DM12 family	weighted recurring annotation	DM4/DM12 family	3	LOC127068206; LOC127068207; LOC127067955	LOC127068206; LOC127068207; LOC127067955	DM4/DM12 family	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	3	3	LOC107069744; LOC107069680; LOC107069681	LOC107069744; LOC107069680; LOC107069681	DM4/DM12 family	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	3	1	ENSANRG00005001617	CG33262; LOC107069680; LOC127068207	DM4/DM12 family	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE	
N0.HOG0000592	OG0000443	n0	ESCO1/2 acetyl-transferase / N-acetyltransferase activity	weighted recurring annotation	ESCO1/2 acetyl-transferase; N-acetyltransferase family 8 member 3-like; probable N-acetyltransferase camello; N-acetyltransferase activity; ESCO1/2 acetyl-transferase; N-acetyltransferase activity; probable N-acetyltransferase camello; N-acetyltransferase family 8 member 3-like	3	LOC127072823; LOC127069925; LOC127069921	LOC127072823; LOC127069925; LOC127069921	ESCO1/2 acetyl-transferase; N-acetyltransferase family 8 member 3-like; probable N-acetyltransferase camello	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: vv_genetable.csv	3	3	LOC107064053; LOC107064044; LOC107071244	LOC107064053; LOC107064044; LOC107071244	ESCO1/2 acetyl-transferase; N-acetyltransferase activity	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	3	1	ENSANRG00005006182	CG18542; CG32939; LOC107064044; LOC107064053; LOC107071244; LOC127069921; LOC127069925; LOC127072823	ESCO1/2 acetyl-transferase; N-acetyltransferase activity; probable N-acetyltransferase camello; N-acetyltransferase family 8 member 3-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE	
N0.HOG0000639	OG0000485	n0	fatty acid synthase	conservative keyword family rule	fatty acid synthase-like	3	LOC127062553; LOC127062212; LOC127062551	LOC127062553; LOC127062212; LOC127062551	fatty acid synthase-like	NCBI: vv_genetable.csv	3	2	LOC107073675; LOC107073738	LOC107073675; LOC107073738	fatty acid synthase-like	NCBI: pd_genetable.csv	2	0					0	FALSE	FALSE	
N0.HOG0000742	OG0000575	n0	unannotated HOG	no usable local annotation		0					0	0					0	3	ENSANRG00005001443; ENSANRG00005009186; ENSANRG00005010129				0	FALSE	FALSE	
N0.HOG0000814	OG0000632	n0	estradiol 17-beta-dehydrogenase 11-like / short-chain dehydrogenase/reductase family 16C member 6	weighted recurring annotation	estradiol 17-beta-dehydrogenase 11-like; short-chain dehydrogenase/reductase family 16C member 6; short-chain dehydrogenase/reductase family 16C member 6-like; short-chain dehydrogenase/reductase family 16C member 6-like; estradiol 17-beta-dehydrogenase 11-like; short-chain dehydrogenase/reductase family 16C member 6	4	LOC127068287; LOC127068288; LOC127068286; LOC127071340	LOC127068287; LOC127068288; LOC127068286; LOC127071340	estradiol 17-beta-dehydrogenase 11-like; short-chain dehydrogenase/reductase family 16C member 6	NCBI: vv_genetable.csv	4	1	LOC107072132	LOC107072132	short-chain dehydrogenase/reductase family 16C member 6-like	NCBI: pd_genetable.csv	1	1	ENSANRG00005010059	CG9265; LOC107072132; LOC127068286; LOC127068287; LOC127068288; LOC127071340	short-chain dehydrogenase/reductase family 16C member 6-like; estradiol 17-beta-dehydrogenase 11-like; short-chain dehydrogenase/reductase family 16C member 6	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE	
