"ortholog","hog_n13","orthogroup","broad_orthogroup","gene_tree_parent_clade","gene_pd","gene_vv","genomic_member_count_pd","genomic_member_count_vv","relationship_class","gene_dmel","gene_dmel_from_pd_str","gene_dmel_from_vv_str","gene_dmel_shared_str","gene_dmel_union_str","dmel_mapping_confidence","symbol_pd","description_pd","genetype_pd","ntranscripts_pd","symbol_vv","description_vv","genetype_vv","ntranscripts_vv","chromosome_vv","accession_vv","start_vv","stop_vv","symbol_dmel","description_dmel","genetype_dmel","highest_tissue_Female","highest_tissue_Larva","highest_tissue_Male","top_log2_enrich_Female","top_log2_enrich_Larva","top_log2_enrich_Male","tau_Female","tau_Larva","tau_Male","identical_symbol_pd_vv","loading_SC","loading_Stage","loading_Species","top_SC","top_SC_pos","top_SC_neg","top_Stage","top_Stage_pos","top_Stage_neg","top_Species","top_Species_pos","top_Species_neg","rank_SC_loading_pos","rank_SC_loading_neg","rank_Stage_loading_pos","rank_Stage_loading_neg","rank_Species_loading_pos","rank_Species_loading_neg","VIP_SC","VIP_Stage","VIP_Species"
"N13.HOG0000037","N13.HOG0000037","N13.HOG0000037","OG0000000","n2708","LOC107073547, LOC107073557, LOC107073707, LOC107073708","LOC127068516, LOC127068521, LOC127068649",4,3,"many_to_many","","","","","","none","LOC107073547 | LOC107073557 | LOC107073707 | LOC107073708","uncharacterized LOC107073547 | uncharacterized LOC107073557 | uncharacterized LOC107073707 | uncharacterized LOC107073708","PROTEIN_CODING","2 | 1","LOC127068516 | LOC127068521 | LOC127068649","uncharacterized LOC127068516 | uncharacterized LOC127068521 | uncharacterized LOC127068649","PROTEIN_CODING","1 | 2","13","NC_066598.1","3580796 | 3576030 | 4408414","3584535 | 3578458 | 4412535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000050","N13.HOG0000050","N13.HOG0000050","OG0000000","n2820","LOC107063844","LOC127066200",1,1,"one_to_one","","","","","","none","LOC107063844","uncharacterized LOC107063844","PROTEIN_CODING","1","LOC127066200","uncharacterized LOC127066200","PROTEIN_CODING","1","9","NC_066594.1","3079310","3084020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000051","N13.HOG0000051","N13.HOG0000051","OG0000000","n2852","LOC107073352","LOC127072203",1,1,"one_to_one","","","","","","none","LOC107073352","odorant receptor 22c-like","PROTEIN_CODING","1","LOC127072203","odorant receptor 13a-like","PROTEIN_CODING","1","24","NC_066609.1","2955821","2958120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000054","N13.HOG0000054","N13.HOG0000054","OG0000000","n3069","LOC107068954, LOC107068955","LOC127063876",2,1,"many_to_one","","","","","","none","LOC107068954 | LOC107068955","putative odorant receptor 85e | uncharacterized LOC107068955","PROTEIN_CODING","1","LOC127063876","uncharacterized LOC127063876","PROTEIN_CODING","1","5","NC_066590.1","8926858","8929659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000055","N13.HOG0000055","N13.HOG0000055","OG0000000","n3084","LOC107068956","LOC127063878",1,1,"one_to_one","","","","","","none","LOC107068956","odorant receptor 13a-like","PROTEIN_CODING","1","LOC127063878","odorant receptor 13a-like","PROTEIN_CODING","1","5","NC_066590.1","8930666","8934332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000137","N13.HOG0000137","N13.HOG0000137","OG0000002","n41","LOC107067908","LOC127071242",1,1,"one_to_one","","","","","","none","LOC107067908","odorant receptor 43a-like","PROTEIN_CODING","1","LOC127071242","odorant receptor 43a-like","PROTEIN_CODING","1","21","NC_066606.1","586967","589287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000138","N13.HOG0000138","N13.HOG0000138","OG0000002","n58","LOC107067907","LOC127071254",1,1,"one_to_one","","","","","","none","LOC107067907","uncharacterized LOC107067907","PROTEIN_CODING","1","LOC127071254","odorant receptor 82a-like","PROTEIN_CODING","3","21","NC_066606.1","584454","586595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000142","N13.HOG0000142","N13.HOG0000142","OG0000002","n356","LOC107067981","LOC127071256",1,1,"one_to_one","","","","","","none","LOC107067981","uncharacterized LOC107067981","PROTEIN_CODING","1","LOC127071256","odorant receptor 13a-like","PROTEIN_CODING","1","21","NC_066606.1","547951","550267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000145","N13.HOG0000145","N13.HOG0000145","OG0000002","n799","LOC107067916","LOC127071461",1,1,"one_to_one","","","","","","none","LOC107067916","odorant receptor 22b-like","PROTEIN_CODING","1","LOC127071461","odorant receptor 4-like","PROTEIN_CODING","1","21","NC_066606.1","638068","640167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00270804264890289,-0.00290054808378806,-0.0148717925466214,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1885,NA,NA,2124,NA,1142,0.715154260129985,0.781890297277606,1.02496756746801
"N13.HOG0000147","N13.HOG0000147","N13.HOG0000147","OG0000002","n819","LOC107068018","LOC127071459",1,1,"one_to_one","","","","","","none","LOC107068018","uncharacterized LOC107068018","PROTEIN_CODING","1","LOC127071459","odorant receptor 67c-like","PROTEIN_CODING","3","21","NC_066606.1","640179","642879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-0.00477110741409179,-0.000921717539991233,-0.0214909136315244,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,1767,NA,2372,NA,188,1.02255869327162,1.11451515916502,1.48115900611946
"N13.HOG0000148","N13.HOG0000148","N13.HOG0000148","OG0000002","n835","LOC107067912","LOC127071467",1,1,"one_to_one","","","","","","none","LOC107067912","uncharacterized LOC107067912","PROTEIN_CODING","1","LOC127071467","odorant receptor 13a-like","PROTEIN_CODING","1","21","NC_066606.1","630682","632243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000151","N13.HOG0000151","N13.HOG0000151","OG0000002","n965","LOC107067909","LOC127071466",1,1,"one_to_one","","","","","","none","LOC107067909","odorant receptor 4-like","PROTEIN_CODING","1","LOC127071466","uncharacterized LOC127071466","PROTEIN_CODING","1","21","NC_066606.1","599294","602908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000153","N13.HOG0000153","N13.HOG0000153","OG0000002","n1179","LOC107067955","LOC127071469",1,1,"one_to_one","","","","","","none","LOC107067955","uncharacterized LOC107067955","PROTEIN_CODING","1","LOC127071469","uncharacterized LOC127071469","PROTEIN_CODING","1","21","NC_066606.1","635367","637082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000155","N13.HOG0000155","N13.HOG0000155","OG0000002","n1194","LOC107067913","LOC127071468",1,1,"one_to_one","","","","","","none","LOC107067913","odorant receptor 22c-like","PROTEIN_CODING","1","LOC127071468","odorant receptor 22c-like","PROTEIN_CODING","1","21","NC_066606.1","632692","634647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000159","N13.HOG0000159","N13.HOG0000159","OG0000002","n1757","LOC107067980","LOC127071255",1,1,"one_to_one","","","","","","none","LOC107067980","odorant receptor 2a-like","PROTEIN_CODING","1","LOC127071255","odorant receptor 67a-like","PROTEIN_CODING","1","21","NC_066606.1","545540","547817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000178","N13.HOG0000178","N13.HOG0000178","OG0000003","n373","LOC107068958","LOC127065531",1,1,"one_to_one","","","","","","none","Dhc62B","Dynein heavy chain at 62B","PROTEIN_CODING","1","Dhc62B","Dynein heavy chain at 62B","PROTEIN_CODING","11","8","NC_066593.1","5821224","5836512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000179","N13.HOG0000179","N13.HOG0000179","OG0000003","n476","LOC107064937","LOC127071724",1,1,"one_to_one","","","","","","none","LOC107064937","dynein heavy chain 7, axonemal-like","PROTEIN_CODING","1","LOC127071724","dynein axonemal heavy chain 7-like","PROTEIN_CODING","1","23","NC_066608.1","499302","511199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-0.00214033399832374,0.00361932920493661,-0.0194330531441628,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,2146,1845,NA,NA,421,0.929831269582053,1.02042078671603,1.3393307597055
"N13.HOG0000180","N13.HOG0000180","N13.HOG0000180","OG0000003","n535","LOC107065871","LOC127069122",1,1,"one_to_one","FBgn0035581","FBgn0035581","FBgn0035581","FBgn0035581","FBgn0035581","shared_pd_and_vv","Dnah3","dynein heavy chain 3, axonemal","PROTEIN_CODING","1","Dnah3","dynein heavy chain 3, axonemal","PROTEIN_CODING","4","1","NC_066586.1","8853300","8867268","Dnah3","dynein, axonemal, heavy chain 3","PROTEIN_CODING","Ganglion","Fat Body","Tubule","3.16979676900706","-0.289503702688988","-3.57549957994641","0.916666666666667","0.888888888888889","0.803921568627451",TRUE,-0.00828707008927678,0.0148486801612098,0.0183436977278513,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,1337,824,NA,692,NA,1.08623275665381,1.16569799907429,1.26425211887154
"N13.HOG0000182","N13.HOG0000182","N13.HOG0000182","OG0000003","n672","LOC107066528","LOC127061485",1,1,"one_to_one","FBgn0013810","FBgn0013810","FBgn0013810","FBgn0013810","FBgn0013810","shared_pd_and_vv","LOC107066528","dynein heavy chain 7, axonemal-like","PROTEIN_CODING","1","LOC127061485","dynein axonemal heavy chain 7-like","PROTEIN_CODING","1","2","NC_066587.1","6164821","6187844","Dhc36C","Dynein heavy chain at 36C","PROTEIN_CODING","Ovary","Fat Body","Tubule","0.30400584848053","1.4150224713777","-3.61738096673062","0.90375","0.953125","0.662337662337662",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000184","N13.HOG0000184","N13.HOG0000184","OG0000003","n791","LOC107067378","LOC127064568",1,1,"one_to_one","","","","","","none","Dhc36C","Dynein heavy chain at 36C","PROTEIN_CODING","1","Dhc36C","Dynein heavy chain at 36C","PROTEIN_CODING","1","6","NC_066591.1","328724","344042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.0060673903782401,0.00849248640224605,-0.0164647132862831,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1461,NA,1320,NA,NA,868,0.869060124948704,0.936444830186945,1.13475205313657
"N13.HOG0000187","N13.HOG0000187","N13.HOG0000187","OG0000003","n935","LOC107065677","LOC127063229",1,1,"one_to_one","FBgn0283476","FBgn0283476","FBgn0283476","FBgn0283476","FBgn0283476","shared_pd_and_vv","Dhc16F","Dynein heavy chain at 16F","PROTEIN_CODING","1","Dhc16F","Dynein heavy chain at 16F","PROTEIN_CODING","1","4","NC_066589.1","2604326","2622985","Dhc16F","Dynein heavy chain at 16F","PROTEIN_CODING","Tubule","Fat Body","Tubule","1.16990496437297","1.87443414423277","-2.74623944750997","0.625","0.636363636363636","0.723502304147465",TRUE,-0.00150031707232833,0.0165108231869125,0.0197049201996894,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,2242,732,NA,498,NA,1.15289736986055,1.26710333091859,1.35806790344283
"N13.HOG0000188","N13.HOG0000188","N13.HOG0000188","OG0000003","n994","LOC107074040","LOC127064792",1,1,"one_to_one","FBgn0001313","FBgn0001313","FBgn0001313","FBgn0001313","FBgn0001313","shared_pd_and_vv","kl-2","dynein heavy chain 2, axonemal kl-2","PROTEIN_CODING","1","kl-2","dynein heavy chain 2, axonemal kl-2","PROTEIN_CODING","1","6","NC_066591.1","4999421","5031009","kl-2","male fertility factor kl2","PROTEIN_CODING","Tubule","Fat Body","Fat Body","13.2878566418405","-1.58486632746328","-3.29066790903684","1","1","0.795918367346939",TRUE,-0.00733905314967962,0.00577581480643384,-0.0162165961102146,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,1455,1602,NA,NA,917,0.827733670814986,0.880416065731491,1.11765175688077
"N13.HOG0000189","N13.HOG0000189","N13.HOG0000189","OG0000003","n1097","LOC107064485","LOC127063562",1,1,"one_to_one","FBgn0013813","FBgn0013813","FBgn0013813","FBgn0013813","FBgn0013813","shared_pd_and_vv","Dhc98D","Dynein heavy chain at 89D","PROTEIN_CODING","1","Dhc98D","Dynein heavy chain at 89D","PROTEIN_CODING","1","4","NC_066589.1","10217570","10238762","Dhc98D","Dynein heavy chain at 89D","PROTEIN_CODING","Eye","Fat Body","Tubule","1.15753515417691","2.14682543239479","-3.11799430821862","0.78448275862069","0.983870967741935","0.779220779220779",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000190","N13.HOG0000190","N13.HOG0000190","OG0000003","n1194","LOC107074086","LOC127064703",1,1,"one_to_one","FBgn0267432","FBgn0267432","FBgn0267432","FBgn0267432","FBgn0267432","shared_pd_and_vv","kl-3","dynein heavy chain 8, axonemal kl-3","PROTEIN_CODING","1","kl-3","dynein heavy chain 8, axonemal kl-3","PROTEIN_CODING","2","6","NC_066591.1","5308435","5337276","kl-3","male fertility factor kl3","PROTEIN_CODING","Brain","Fat Body","Tubule","0","1.16990496437297","-3.32192390642532","","0.972222222222222","0.815668202764977",TRUE,-0.022721182482099,0.0186221784659573,-0.00417578072695127,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,322,605,NA,NA,1875,1.02737240336169,0.873337546935735,0.287795825591675
"N13.HOG0000191","N13.HOG0000191","N13.HOG0000191","OG0000003","n1284","LOC107070013","LOC127066398",1,1,"one_to_one","FBgn0287844","FBgn0287844","FBgn0287844","FBgn0287844","FBgn0287844","shared_pd_and_vv","Dhc1","Dynein heavy chain 1","PROTEIN_CODING","1","Dhc1","Dynein heavy chain 1","PROTEIN_CODING","10","9","NC_066594.1","3717835","3736247","Dhc1","Dynein heavy chain 1","PROTEIN_CODING","Eye","Fat Body","Ganglion","0.362568552729751","0.999927870657641","-1.37850866388612","0.851851851851852","1","0.804761904761905",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000193","N13.HOG0000193","N13.HOG0000193","OG0000003","n1370","LOC107065583","LOC127072984",1,1,"one_to_one","FBgn0013812","FBgn0013812","FBgn0013812","FBgn0013812","FBgn0013812","shared_pd_and_vv","Dhc93AB","Dynein heavy chain at 93AB","PROTEIN_CODING","1","Dhc93AB","Dynein heavy chain at 93AB","PROTEIN_CODING","1","2","NC_066587.1","8764662","8787389","Dhc93AB","Dynein heavy chain at 93AB","PROTEIN_CODING","Ganglion","Fat Body","Ganglion","1.28445120888095","1.32188481555091","-0.63959721346606","0.926315789473684","0.95","0.882706766917293",TRUE,0.0157790658571134,0.000494870604238247,-0.0191995504628191,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,668,NA,2227,NA,NA,446,1.01182727323012,0.995236311563486,1.32323769798857
"N13.HOG0000194","N13.HOG0000194","N13.HOG0000194","OG0000003","n1452","LOC107072272","LOC127065343",1,1,"one_to_one","FBgn0039510, FBgn0267433","FBgn0039510, FBgn0267433","FBgn0039510, FBgn0267433","FBgn0039510, FBgn0267433","FBgn0039510, FBgn0267433","shared_pd_and_vv","LOC107072272","dynein beta chain, ciliary-like","PROTEIN_CODING","1","LOC127065343","dynein beta chain, ciliary-like","PROTEIN_CODING","1","7","NC_066592.1","3926022","3945964","CG3339 | kl-5","male fertility factor kl5","PROTEIN_CODING","Ganglion | Brain","Fat Body","Ganglion | Tubule","0.289503702688988 | -13.2878566418405","16.6096549013151 | -0.999927870657641","-1.73695717849072 | -3.69487353636703","0.795454545454545","0.95 | 0.5","0.738095238095238 | 0.835714285714286",FALSE,-0.00276867148279402,0.0115363255605632,0.0181585264812221,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,2061,1053,NA,729,NA,0.982609990549717,1.07716373479695,1.25149007141643
"N13.HOG0000198","N13.HOG0000198","N13.HOG0000198","OG0000004","n8","LOC107065563","LOC127062179",1,1,"one_to_one","FBgn0026386, FBgn0039582","FBgn0026386, FBgn0039582","FBgn0026386, FBgn0039582","FBgn0026386, FBgn0039582","FBgn0026386, FBgn0039582","shared_pd_and_vv","LOC107065563","uncharacterized LOC107065563","PROTEIN_CODING","1","LOC127062179","uncharacterized LOC127062179","PROTEIN_CODING","1","3","NC_066588.1","563008","563694","Or47a | Or98b","Odorant receptor 47a | Odorant receptor 98b","PROTEIN_CODING","Eye | Ganglion","Fat Body","Eye | Ganglion","0.736946358745272 | 13.2878566418405","0","0 | 15.8726989249876","0.975 | 1","","0.948979591836735 | 0.976190476190476",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0000201","N13.HOG0000201","N13.HOG0000201","OG0000004","n450","LOC107068879","LOC127062723, LOC127062724",1,2,"one_to_many","FBgn0026386, FBgn0039582","FBgn0026386, FBgn0039582","FBgn0026386, FBgn0039582","FBgn0026386, FBgn0039582","FBgn0026386, FBgn0039582","shared_pd_and_vv","LOC107068879","uncharacterized LOC107068879","PROTEIN_CODING","1","LOC127062723 | LOC127062724","odorant receptor 13a-like","PROTEIN_CODING","1","3","NC_066588.1","488277 | 467482","490336 | 469115","Or47a | Or98b","Odorant receptor 47a | Odorant receptor 98b","PROTEIN_CODING","Eye | Ganglion","Fat Body","Eye | Ganglion","0.736946358745272 | 13.2878566418405","0","0 | 15.8726989249876","0.975 | 1","","0.948979591836735 | 0.976190476190476",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
