HOG	run	run_label	CAFE_track	n_species_in_count_table	n_species_present	max_tip_copy_number	total_tip_copy_number	polistinae_total_copies	vespinae_total_copies	social_wasp_total_copies	outgroup_total_copies	Vespula_vulgaris_copies	Polistes_dominula_copies	Ancistrocerus_nigricornis_copies	inference	OG	gene_tree_parent_clade	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	chemosensory_family_flag	TE_related_HOG_flag	TE_filter_reason	present_in_social_wasps	biological_interest_class	interpretation_note
N0.HOG0015051	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	3	2	4	4	0	4	0	0	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0014614	n0	Zinc carboxypeptidase	weighted recurring annotation	Zinc carboxypeptidase	0					0	1	LOC107065599	LOC107065599	Zinc carboxypeptidase	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	0					0	FALSE	FALSE		TRUE	digestion / nutrition	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0007603	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	15	1	15	5	9	14	1	1	1	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0007195	n0	Ecdysone-inducible gene L2	weighted recurring annotation	Ecdysone-inducible gene L2	1	LOC127068009	ImpL2	Ecdysone-inducible gene L2	NCBI: vv_genetable.csv	1	1	LOC107065676	ImpL2	Ecdysone-inducible gene L2	NCBI: pd_genetable.csv	1	1	ENSANRG00005003298	ImpL2	Ecdysone-inducible gene L2	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE		TRUE	endocrine / reproductive physiology	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0010098	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	8	1	8	4	4	8	0	1	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0009662	n0	ecdysone-induced protein 74EF-like / mitochondrial distribution and morphology protein 12-like	weighted recurring annotation	ecdysone-induced protein 74EF-like; mitochondrial distribution and morphology protein 12-like	1	LOC127065267	LOC127065267	ecdysone-induced protein 74EF-like	NCBI: vv_genetable.csv	1	1	LOC107071664	LOC107071664	mitochondrial distribution and morphology protein 12-like	NCBI: pd_genetable.csv	1	0					0	FALSE	FALSE		TRUE	endocrine / reproductive physiology	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000582	wasp_CAFE	Vespidae_plus_outgroups	large_family_individual_run	17	14	35	114	79	35	114	0	2	9	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000433	n0	fatty acid synthase	conservative keyword family rule	fatty acid synthase-like; It is involved in the biological process described with	2	LOC127063515; LOC127063514	LOC127063515; LOC127063514	fatty acid synthase-like	NCBI: vv_genetable.csv	2	9	LOC107073534; LOC107073662; LOC107065536; LOC107073565; LOC107067898; LOC107073762; LOC107073564; LOC107073596; LOC107071370	LOC107073534; LOC107073662; LOC107065536; LOC107073565; LOC107067898; LOC107073762; LOC107073564; LOC107073596; LOC107071370	fatty acid synthase-like; It is involved in the biological process described with	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	9	0					0	FALSE	FALSE		TRUE	lipid metabolism / possible chemical communication	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000758	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	1	2	0	1	1	1	0	0	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000588	n1	fatty acid-binding protein 12-like; fatty acid-binding protein, adipocyte-like	weighted recurring annotation	fatty acid-binding protein 12-like; fatty acid-binding protein, adipocyte-like	0					0	0					0	1	ENSANRG00005004726	LOC107068094; LOC127072878	fatty acid-binding protein 12-like; fatty acid-binding protein, adipocyte-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE		TRUE	lipid metabolism / possible chemical communication	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0009102	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	9	13	35	0	35	35	0	2	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0008676	n0	fatty acid synthase	conservative keyword family rule	fatty acid synthase-like	2	LOC127062552; LOC127062211	LOC127062552; LOC127062211	fatty acid synthase-like	NCBI: vv_genetable.csv	2	0					0	0					0	FALSE	FALSE		TRUE	lipid metabolism / possible chemical communication	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0010036	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	7	9	19	0	19	19	0	3	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0009600	n0	fatty acid synthase	conservative keyword family rule	fatty acid synthase-like; It is involved in the biological process described with	3	LOC127062157; LOC127062555; LOC127062554	LOC127062157; LOC127062555; LOC127062554	fatty acid synthase-like; It is involved in the biological process described with	NCBI: vv_genetable.csv; NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	3	0					0	0					0	FALSE	FALSE		TRUE	lipid metabolism / possible chemical communication	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0017867	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	1	2	0	1	1	1	0	0	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0017430	-	ATP-binding cassette sub-family A member 1-like; retinal-specific phospholipid-transporting ATPase ABCA4-like	weighted recurring annotation	ATP-binding cassette sub-family A member 1-like; retinal-specific phospholipid-transporting ATPase ABCA4-like	0					0	0					0	1	ENSANRG00005004725	LOC107067469; LOC127064873	ATP-binding cassette sub-family A member 1-like; retinal-specific phospholipid-transporting ATPase ABCA4-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE		TRUE	lipid metabolism / possible chemical communication	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000073	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	13	3	20	8	12	20	0	2	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000043	n141	Seminal fluid protein 53D / venom peptide SjAPI-2-like	weighted recurring annotation	Seminal fluid protein 53D; venom peptide SjAPI-2-like; cysteine-rich venom protein 6-like	2	LOC127064562; LOC127073012	Sfp53D; LOC127073012	Seminal fluid protein 53D; venom peptide SjAPI-2-like	NCBI: vv_genetable.csv	2	1	LOC107066075	LOC107066075	cysteine-rich venom protein 6-like	NCBI: pd_genetable.csv	1	0					0	FALSE	FALSE		TRUE	venom / defence	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000164	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	15	1	15	5	9	14	1	1	1	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000100	n1	venom allergen 3-like / venom allergen 5-like	weighted recurring annotation	venom allergen 3-like; venom allergen 5-like; venom allergen 5-like; venom allergen 3-like	1	LOC127065179	LOC127065179	venom allergen 3-like	NCBI: vv_genetable.csv	1	1	LOC107072519	LOC107072519	venom allergen 5-like	NCBI: pd_genetable.csv	1	1	ENSANRG00005000022	CG8483; LOC107072519; LOC127065179	venom allergen 5-like; venom allergen 3-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE		TRUE	venom / defence	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0007363	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	11	1	11	4	7	11	0	0	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0006958	n0	phospholipase B1, membrane-associated-like	weighted recurring annotation	phospholipase B1, membrane-associated-like	0					0	1	LOC107069146	LOC107069146	phospholipase B1, membrane-associated-like	NCBI: pd_genetable.csv	1	0					0	FALSE	FALSE		TRUE	venom / defence	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0009981	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	14	1	14	4	9	13	1	1	1	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0009545	n0	zinc metalloproteinase nas-4-like / astacin-like metalloprotease toxin 1	weighted recurring annotation	astacin-like metalloprotease toxin 1; zinc metalloproteinase nas-4-like; zinc metalloproteinase nas-4-like; astacin-like metalloprotease toxin 1	1	LOC127071621	LOC127071621	astacin-like metalloprotease toxin 1	NCBI: vv_genetable.csv	1	1	LOC107073228	LOC107073228	zinc metalloproteinase nas-4-like	NCBI: pd_genetable.csv	1	1	ENSANRG00005008297	LOC107073228; LOC127071621	zinc metalloproteinase nas-4-like; astacin-like metalloprotease toxin 1	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE		TRUE	venom / defence	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0014963	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	1	2	2	0	2	0	0	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0014526	n0	phospholipase D C-like	weighted recurring annotation	phospholipase D C-like	0					0	1	LOC107073439	LOC107073439	phospholipase D C-like	NCBI: pd_genetable.csv	1	0					0	FALSE	FALSE		TRUE	venom / defence	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
