tx	gene_id	Pd103	Pd105	Pd106	Pd11	Pd110	Pd112	Pd115	Pd119	Pd12	Pd120	Pd122	Pd123	Pd128	Pd13	Pd130	Pd134	Pd137	Pd14	Pd142	Pd143	Pd149	Pd15	Pd150	Pd152	Pd16	Pd17	Pd19	Pd2	Pd20	Pd21	Pd22	Pd23	Pd24	Pd25	Pd26	Pd27	Pd28	Pd29	Pd3	Pd30	Pd31	Pd32	Pd33	Pd34	Pd35	Pd36	Pd37	Pd38	Pd40	Pd43	Pd45	Pd46	Pd49	Pd5	Pd51	Pd52	Pd55	Pd56	Pd57	Pd58	Pd6	Pd63	Pd66	Pd69	Pd7	Pd72	Pd75	Pd77	Pd8	Pd80	Pd84	Pd86	Pd87	Pd9	Pd93	Pd95	Pd98
XM_015316639.1	LOC107064169	1567.814	1571.902	1570.609	1557.604	1565.853	1559.617	1561.622	1560.476	1556.774	1552.145	1544.191	1568.904	1565.702	1544.051	1572.014	1571.984	1578.25	1548.78	1568.094	1554.463	1570.454	1543.67	1587.177	1583.392	1561.941	1559.055	1545.063	1577.207	1555.639	1562.262	1565.156	1565.238	1568.166	1547.845	1553.82	1569.953	1580.671	1567.301	1558.85	1571.303	1551.598	1567.076	1555.344	1548.494	1541.68	1558.113	1554.028	1544.496	1562.811	1548.336	1556.124	1550.003	1556.157	1548.98	1546.429	1552.296	1546.3	1547.387	1540.218	1551.629	1559.483	1562.601	1550.482	1551.276	1559.835	1540.46	1581.21	1582.098	1561.184	1565.379	1569.892	1578.465	1578.833	1553.217	1573.396	1563.356	1567.64
XM_015316600.1	LOC107064169	2378.814	2382.902	2381.609	2368.604	2376.853	2370.617	2372.622	2371.476	2367.774	2363.145	2355.191	2379.904	2376.702	2355.051	2383.014	2382.984	2389.25	2359.78	2379.094	2365.463	2381.454	2354.67	2398.177	2394.392	2372.941	2370.055	2356.063	2388.207	2366.639	2373.262	2376.156	2376.238	2379.166	2358.845	2364.82	2380.953	2391.671	2378.301	2369.85	2382.303	2362.598	2378.076	2366.344	2359.494	2352.68	2369.113	2365.028	2355.496	2373.811	2359.336	2367.124	2361.003	2367.157	2359.98	2357.429	2363.296	2357.3	2358.387	2351.218	2362.629	2370.483	2373.601	2361.482	2362.276	2370.835	2351.46	2392.21	2393.098	2372.184	2376.379	2380.892	2389.465	2389.833	2364.217	2384.396	2374.356	2378.64
XM_015316644.1	LOC107064169	1291.814	1295.902	1294.609	1281.604	1289.853	1283.617	1285.622	1284.476	1280.774	1276.145	1268.191	1292.904	1289.702	1268.051	1296.014	1295.984	1302.25	1272.78	1292.094	1278.463	1294.454	1267.67	1311.177	1307.392	1285.941	1283.055	1269.063	1301.207	1279.639	1286.262	1289.156	1289.238	1292.166	1271.845	1277.82	1293.953	1304.671	1291.301	1282.85	1295.303	1275.598	1291.076	1279.344	1272.494	1265.68	1282.113	1278.028	1268.496	1286.811	1272.336	1280.124	1274.003	1280.157	1272.98	1270.429	1276.296	1270.3	1271.387	1264.218	1275.629	1283.483	1286.601	1274.482	1275.276	1283.835	1264.46	1305.21	1306.098	1285.184	1289.379	1293.892	1302.465	1302.833	1277.217	1297.396	1287.356	1291.64
XM_015316555.1	LOC107064158	2750.814	2754.902	2753.609	2740.604	2748.853	2742.617	2744.622	2743.476	2739.774	2735.145	2727.191	2751.904	2748.702	2727.051	2755.014	2754.984	2761.25	2731.78	2751.094	2737.463	2753.454	2726.67	2770.177	2766.392	2744.941	2742.055	2728.063	2760.207	2738.639	2745.262	2748.156	2748.238	2751.166	2730.845	2736.82	2752.953	2763.671	2750.301	2741.85	2754.303	2734.598	2750.076	2738.344	2731.494	2724.68	2741.113	2737.028	2727.496	2745.811	2731.336	2739.124	2733.003	2739.157	2731.98	2729.429	2735.296	2729.3	2730.387	2723.218	2734.629	2742.483	2745.601	2733.482	2734.276	2742.835	2723.46	2764.21	2765.098	2744.184	2748.379	2752.892	2761.465	2761.833	2736.217	2756.396	2746.356	2750.64
XM_015316546.1	LOC107064158	2416.814	2420.902	2419.609	2406.604	2414.853	2408.617	2410.622	2409.476	2405.774	2401.145	2393.191	2417.904	2414.702	2393.051	2421.014	2420.984	2427.25	2397.78	2417.094	2403.463	2419.454	2392.67	2436.177	2432.392	2410.941	2408.055	2394.063	2426.207	2404.639	2411.262	2414.156	2414.238	2417.166	2396.845	2402.82	2418.953	2429.671	2416.301	2407.85	2420.303	2400.598	2416.076	2404.344	2397.494	2390.68	2407.113	2403.028	2393.496	2411.811	2397.336	2405.124	2399.003	2405.157	2397.98	2395.429	2401.296	2395.3	2396.387	2389.218	2400.629	2408.483	2411.601	2399.482	2400.276	2408.835	2389.46	2430.21	2431.098	2410.184	2414.379	2418.892	2427.465	2427.833	2402.217	2422.396	2412.356	2416.64
XM_015332665.1	LOC107072482	609.882	613.976	612.663	599.679	607.951	601.752	603.827	602.577	598.833	594.241	586.346	611.152	608.075	586.141	614.438	614.049	620.561	590.878	610.179	596.529	612.542	585.789	629.268	625.468	604.047	601.153	587.191	619.278	597.727	604.354	607.24	607.326	610.289	589.942	595.929	612.017	622.771	609.368	600.94	613.423	593.777	609.219	597.472	590.604	583.852	600.24	596.096	586.565	604.912	590.426	598.224	592.185	598.235	591.097	588.612	594.4	588.501	589.798	582.448	593.876	601.635	605.296	592.671	593.367	601.928	582.646	623.275	624.131	603.258	607.429	611.962	620.529	620.915	595.276	615.504	605.456	609.736
XM_015332585.1	LOC107072482	735.87	739.959	738.656	725.666	733.901	727.7	729.736	728.543	724.82	720.208	712.297	737.097	734.022	712.111	740.36	740.039	746.51	716.844	736.143	722.509	738.514	711.752	755.254	751.44	730.003	727.118	713.129	745.26	723.684	730.321	733.225	733.312	736.26	715.908	721.893	737.997	748.751	735.35	726.902	739.404	719.668	735.162	723.417	716.559	709.805	726.198	722.067	712.537	730.849	716.395	724.183	718.135	724.213	717.056	714.551	720.373	714.435	715.725	708.403	719.826	727.583	731.191	718.622	719.338	727.909	708.616	749.257	750.115	729.25	733.415	737.938	746.507	746.894	721.259	741.484	731.417	735.703
XM_015332503.1	LOC107072482	1295.814	1299.902	1298.609	1285.604	1293.853	1287.617	1289.622	1288.476	1284.774	1280.145	1272.191	1296.904	1293.702	1272.051	1300.014	1299.984	1306.25	1276.78	1296.094	1282.463	1298.454	1271.67	1315.177	1311.392	1289.941	1287.055	1273.063	1305.207	1283.639	1290.262	1293.156	1293.238	1296.166	1275.845	1281.82	1297.953	1308.671	1295.301	1286.85	1299.303	1279.598	1295.076	1283.344	1276.494	1269.68	1286.113	1282.028	1272.496	1290.811	1276.336	1284.124	1278.003	1284.157	1276.98	1274.429	1280.296	1274.3	1275.387	1268.218	1279.629	1287.483	1290.601	1278.482	1279.276	1287.835	1268.46	1309.21	1310.098	1289.184	1293.379	1297.892	1306.465	1306.833	1281.217	1301.396	1291.356	1295.64
XM_015331134.1	LOC107071655	9987.814	9991.902	9990.609	9977.604	9985.853	9979.617	9981.622	9980.476	9976.774	9972.145	9964.191	9988.904	9985.702	9964.051	9992.014	9991.984	9998.25	9968.78	9988.094	9974.463	9990.454	9963.67	10007.177	10003.392	9981.941	9979.055	9965.063	9997.207	9975.639	9982.262	9985.156	9985.238	9988.166	9967.845	9973.82	9989.953	10000.671	9987.301	9978.85	9991.303	9971.598	9987.076	9975.344	9968.494	9961.68	9978.113	9974.028	9964.496	9982.811	9968.336	9976.124	9970.003	9976.157	9968.98	9966.429	9972.296	9966.3	9967.387	9960.218	9971.629	9979.483	9982.601	9970.482	9971.276	9979.835	9960.46	10001.21	10002.098	9981.184	9985.379	9989.892	9998.465	9998.833	9973.217	9993.396	9983.356	9987.64
XM_015331047.1	LOC107071655	10176.814	10180.902	10179.609	10166.604	10174.853	10168.617	10170.622	10169.476	10165.774	10161.145	10153.191	10177.904	10174.702	10153.051	10181.014	10180.984	10187.25	10157.78	10177.094	10163.463	10179.454	10152.67	10196.177	10192.392	10170.941	10168.055	10154.063	10186.207	10164.639	10171.262	10174.156	10174.238	10177.166	10156.845	10162.82	10178.953	10189.671	10176.301	10167.85	10180.303	10160.598	10176.076	10164.344	10157.494	10150.68	10167.113	10163.028	10153.496	10171.811	10157.336	10165.124	10159.003	10165.157	10157.98	10155.429	10161.296	10155.3	10156.387	10149.218	10160.629	10168.483	10171.601	10159.482	10160.276	10168.835	10149.46	10190.21	10191.098	10170.184	10174.379	10178.892	10187.465	10187.833	10162.217	10182.396	10172.356	10176.64
XM_015330879.1	LOC107071655	10284.814	10288.902	10287.609	10274.604	10282.853	10276.617	10278.622	10277.476	10273.774	10269.145	10261.191	10285.904	10282.702	10261.051	10289.014	10288.984	10295.25	10265.78	10285.094	10271.463	10287.454	10260.67	10304.177	10300.392	10278.941	10276.055	10262.063	10294.207	10272.639	10279.262	10282.156	10282.238	10285.166	10264.845	10270.82	10286.953	10297.671	10284.301	10275.85	10288.303	10268.598	10284.076	10272.344	10265.494	10258.68	10275.113	10271.028	10261.496	10279.811	10265.336	10273.124	10267.003	10273.157	10265.98	10263.429	10269.296	10263.3	10264.387	10257.218	10268.629	10276.483	10279.601	10267.482	10268.276	10276.835	10257.46	10298.21	10299.098	10278.184	10282.379	10286.892	10295.465	10295.833	10270.217	10290.396	10280.356	10284.64
XM_015331734.1	LOC107071655	11280.814	11284.902	11283.609	11270.604	11278.853	11272.617	11274.622	11273.476	11269.774	11265.145	11257.191	11281.904	11278.702	11257.051	11285.014	11284.984	11291.25	11261.78	11281.094	11267.463	11283.454	11256.67	11300.177	11296.392	11274.941	11272.055	11258.063	11290.207	11268.639	11275.262	11278.156	11278.238	11281.166	11260.845	11266.82	11282.953	11293.671	11280.301	11271.85	11284.303	11264.598	11280.076	11268.344	11261.494	11254.68	11271.113	11267.028	11257.496	11275.811	11261.336	11269.124	11263.003	11269.157	11261.98	11259.429	11265.296	11259.3	11260.387	11253.218	11264.629	11272.483	11275.601	11263.482	11264.276	11272.835	11253.46	11294.21	11295.098	11274.184	11278.379	11282.892	11291.465	11291.833	11266.217	11286.396	11276.356	11280.64
XM_015331987.1	LOC107071655	5610.814	5614.902	5613.609	5600.604	5608.853	5602.617	5604.622	5603.476	5599.774	5595.145	5587.191	5611.904	5608.702	5587.051	5615.014	5614.984	5621.25	5591.78	5611.094	5597.463	5613.454	5586.67	5630.177	5626.392	5604.941	5602.055	5588.063	5620.207	5598.639	5605.262	5608.156	5608.238	5611.166	5590.845	5596.82	5612.953	5623.671	5610.301	5601.85	5614.303	5594.598	5610.076	5598.344	5591.494	5584.68	5601.113	5597.028	5587.496	5605.811	5591.336	5599.124	5593.003	5599.157	5591.98	5589.429	5595.296	5589.3	5590.387	5583.218	5594.629	5602.483	5605.601	5593.482	5594.276	5602.835	5583.46	5624.21	5625.098	5604.184	5608.379	5612.892	5621.465	5621.833	5596.217	5616.396	5606.356	5610.64
XM_015331907.1	LOC107071655	5496.814	5500.902	5499.609	5486.604	5494.853	5488.617	5490.622	5489.476	5485.774	5481.145	5473.191	5497.904	5494.702	5473.051	5501.014	5500.984	5507.25	5477.78	5497.094	5483.463	5499.454	5472.67	5516.177	5512.392	5490.941	5488.055	5474.063	5506.207	5484.639	5491.262	5494.156	5494.238	5497.166	5476.845	5482.82	5498.953	5509.671	5496.301	5487.85	5500.303	5480.598	5496.076	5484.344	5477.494	5470.68	5487.113	5483.028	5473.496	5491.811	5477.336	5485.124	5479.003	5485.157	5477.98	5475.429	5481.296	5475.3	5476.387	5469.218	5480.629	5488.483	5491.601	5479.482	5480.276	5488.835	5469.46	5510.21	5511.098	5490.184	5494.379	5498.892	5507.465	5507.833	5482.217	5502.396	5492.356	5496.64
XM_015331825.1	LOC107071655	5596.814	5600.902	5599.609	5586.604	5594.853	5588.617	5590.622	5589.476	5585.774	5581.145	5573.191	5597.904	5594.702	5573.051	5601.014	5600.984	5607.25	5577.78	5597.094	5583.463	5599.454	5572.67	5616.177	5612.392	5590.941	5588.055	5574.063	5606.207	5584.639	5591.262	5594.156	5594.238	5597.166	5576.845	5582.82	5598.953	5609.671	5596.301	5587.85	5600.303	5580.598	5596.076	5584.344	5577.494	5570.68	5587.113	5583.028	5573.496	5591.811	5577.336	5585.124	5579.003	5585.157	5577.98	5575.429	5581.296	5575.3	5576.387	5569.218	5580.629	5588.483	5591.601	5579.482	5580.276	5588.835	5569.46	5610.21	5611.098	5590.184	5594.379	5598.892	5607.465	5607.833	5582.217	5602.396	5592.356	5596.64
XM_015330962.1	LOC107071655	6909.814	6913.902	6912.609	6899.604	6907.853	6901.617	6903.622	6902.476	6898.774	6894.145	6886.191	6910.904	6907.702	6886.051	6914.014	6913.984	6920.25	6890.78	6910.094	6896.463	6912.454	6885.67	6929.177	6925.392	6903.941	6901.055	6887.063	6919.207	6897.639	6904.262	6907.156	6907.238	6910.166	6889.845	6895.82	6911.953	6922.671	6909.301	6900.85	6913.303	6893.598	6909.076	6897.344	6890.494	6883.68	6900.113	6896.028	6886.496	6904.811	6890.336	6898.124	6892.003	6898.157	6890.98	6888.429	6894.296	6888.3	6889.387	6882.218	6893.629	6901.483	6904.601	6892.482	6893.276	6901.835	6882.46	6923.21	6924.098	6903.184	6907.379	6911.892	6920.465	6920.833	6895.217	6915.396	6905.356	6909.64
XM_015331473.1	LOC107071655	6114.814	6118.902	6117.609	6104.604	6112.853	6106.617	6108.622	6107.476	6103.774	6099.145	6091.191	6115.904	6112.702	6091.051	6119.014	6118.984	6125.25	6095.78	6115.094	6101.463	6117.454	6090.67	6134.177	6130.392	6108.941	6106.055	6092.063	6124.207	6102.639	6109.262	6112.156	6112.238	6115.166	6094.845	6100.82	6116.953	6127.671	6114.301	6105.85	6118.303	6098.598	6114.076	6102.344	6095.494	6088.68	6105.113	6101.028	6091.496	6109.811	6095.336	6103.124	6097.003	6103.157	6095.98	6093.429	6099.296	6093.3	6094.387	6087.218	6098.629	6106.483	6109.601	6097.482	6098.276	6106.835	6087.46	6128.21	6129.098	6108.184	6112.379	6116.892	6125.465	6125.833	6100.217	6120.396	6110.356	6114.64
XM_015331558.1	LOC107071655	5405.814	5409.902	5408.609	5395.604	5403.853	5397.617	5399.622	5398.476	5394.774	5390.145	5382.191	5406.904	5403.702	5382.051	5410.014	5409.984	5416.25	5386.78	5406.094	5392.463	5408.454	5381.67	5425.177	5421.392	5399.941	5397.055	5383.063	5415.207	5393.639	5400.262	5403.156	5403.238	5406.166	5385.845	5391.82	5407.953	5418.671	5405.301	5396.85	5409.303	5389.598	5405.076	5393.344	5386.494	5379.68	5396.113	5392.028	5382.496	5400.811	5386.336	5394.124	5388.003	5394.157	5386.98	5384.429	5390.296	5384.3	5385.387	5378.218	5389.629	5397.483	5400.601	5388.482	5389.276	5397.835	5378.46	5419.21	5420.098	5399.184	5403.379	5407.892	5416.465	5416.833	5391.217	5411.396	5401.356	5405.64
XM_015331645.1	LOC107071655	5412.814	5416.902	5415.609	5402.604	5410.853	5404.617	5406.622	5405.476	5401.774	5397.145	5389.191	5413.904	5410.702	5389.051	5417.014	5416.984	5423.25	5393.78	5413.094	5399.463	5415.454	5388.67	5432.177	5428.392	5406.941	5404.055	5390.063	5422.207	5400.639	5407.262	5410.156	5410.238	5413.166	5392.845	5398.82	5414.953	5425.671	5412.301	5403.85	5416.303	5396.598	5412.076	5400.344	5393.494	5386.68	5403.113	5399.028	5389.496	5407.811	5393.336	5401.124	5395.003	5401.157	5393.98	5391.429	5397.296	5391.3	5392.387	5385.218	5396.629	5404.483	5407.601	5395.482	5396.276	5404.835	5385.46	5426.21	5427.098	5406.184	5410.379	5414.892	5423.465	5423.833	5398.217	5418.396	5408.356	5412.64
XM_015331391.1	LOC107071655	6551.814	6555.902	6554.609	6541.604	6549.853	6543.617	6545.622	6544.476	6540.774	6536.145	6528.191	6552.904	6549.702	6528.051	6556.014	6555.984	6562.25	6532.78	6552.094	6538.463	6554.454	6527.67	6571.177	6567.392	6545.941	6543.055	6529.063	6561.207	6539.639	6546.262	6549.156	6549.238	6552.166	6531.845	6537.82	6553.953	6564.671	6551.301	6542.85	6555.303	6535.598	6551.076	6539.344	6532.494	6525.68	6542.113	6538.028	6528.496	6546.811	6532.336	6540.124	6534.003	6540.157	6532.98	6530.429	6536.296	6530.3	6531.387	6524.218	6535.629	6543.483	6546.601	6534.482	6535.276	6543.835	6524.46	6565.21	6566.098	6545.184	6549.379	6553.892	6562.465	6562.833	6537.217	6557.396	6547.356	6551.64
XM_015331309.1	LOC107071655	6587.814	6591.902	6590.609	6577.604	6585.853	6579.617	6581.622	6580.476	6576.774	6572.145	6564.191	6588.904	6585.702	6564.051	6592.014	6591.984	6598.25	6568.78	6588.094	6574.463	6590.454	6563.67	6607.177	6603.392	6581.941	6579.055	6565.063	6597.207	6575.639	6582.262	6585.156	6585.238	6588.166	6567.845	6573.82	6589.953	6600.671	6587.301	6578.85	6591.303	6571.598	6587.076	6575.344	6568.494	6561.68	6578.113	6574.028	6564.496	6582.811	6568.336	6576.124	6570.003	6576.157	6568.98	6566.429	6572.296	6566.3	6567.387	6560.218	6571.629	6579.483	6582.601	6570.482	6571.276	6579.835	6560.46	6601.21	6602.098	6581.184	6585.379	6589.892	6598.465	6598.833	6573.217	6593.396	6583.356	6587.64
XM_015331222.1	LOC107071655	6620.814	6624.902	6623.609	6610.604	6618.853	6612.617	6614.622	6613.476	6609.774	6605.145	6597.191	6621.904	6618.702	6597.051	6625.014	6624.984	6631.25	6601.78	6621.094	6607.463	6623.454	6596.67	6640.177	6636.392	6614.941	6612.055	6598.063	6630.207	6608.639	6615.262	6618.156	6618.238	6621.166	6600.845	6606.82	6622.953	6633.671	6620.301	6611.85	6624.303	6604.598	6620.076	6608.344	6601.494	6594.68	6611.113	6607.028	6597.496	6615.811	6601.336	6609.124	6603.003	6609.157	6601.98	6599.429	6605.296	6599.3	6600.387	6593.218	6604.629	6612.483	6615.601	6603.482	6604.276	6612.835	6593.46	6634.21	6635.098	6614.184	6618.379	6622.892	6631.465	6631.833	6606.217	6626.396	6616.356	6620.64
XM_015332086.1	LOC107072269	2202.814	2206.902	2205.609	2192.604	2200.853	2194.617	2196.622	2195.476	2191.774	2187.145	2179.191	2203.904	2200.702	2179.051	2207.014	2206.984	2213.25	2183.78	2203.094	2189.463	2205.454	2178.67	2222.177	2218.392	2196.941	2194.055	2180.063	2212.207	2190.639	2197.262	2200.156	2200.238	2203.166	2182.845	2188.82	2204.953	2215.671	2202.301	2193.85	2206.303	2186.598	2202.076	2190.344	2183.494	2176.68	2193.113	2189.028	2179.496	2197.811	2183.336	2191.124	2185.003	2191.157	2183.98	2181.429	2187.296	2181.3	2182.387	2175.218	2186.629	2194.483	2197.601	2185.482	2186.276	2194.835	2175.46	2216.21	2217.098	2196.184	2200.379	2204.892	2213.465	2213.833	2188.217	2208.396	2198.356	2202.64
