tx	gene_id	Pd103	Pd105	Pd106	Pd11	Pd110	Pd112	Pd115	Pd119	Pd12	Pd120	Pd122	Pd123	Pd128	Pd13	Pd130	Pd134	Pd137	Pd14	Pd142	Pd143	Pd149	Pd15	Pd150	Pd152	Pd16	Pd17	Pd19	Pd2	Pd20	Pd21	Pd22	Pd23	Pd24	Pd25	Pd26	Pd27	Pd28	Pd29	Pd3	Pd30	Pd31	Pd32	Pd33	Pd34	Pd35	Pd36	Pd37	Pd38	Pd40	Pd43	Pd45	Pd46	Pd49	Pd5	Pd51	Pd52	Pd55	Pd56	Pd57	Pd58	Pd6	Pd63	Pd66	Pd69	Pd7	Pd72	Pd75	Pd77	Pd8	Pd80	Pd84	Pd86	Pd87	Pd9	Pd93	Pd95	Pd98
XM_015316639.1	LOC107064169	0.576357	0.494269	0	0	0	0	0.691477	0.180044	0.991133	0	0.566014	0	0	0	0	0	0	0	0	0	0.234955	0.340016	0.864343	0	0	0	0	0	0	0	0.230184	0	0	0	0	0.47815	0.255943	0	0	0.398086	0	0	0.974092	0.228845	0	0	0.28713	0	0	0	0	0.617414	0.363796	0	0	0	0.212362	0.258886	0	0.245652	0.938131	0	0	0	0.204095	0	0.248423	0	0	0	0	0.580331	0	0	0.80165	0.275177	0
XM_015316600.1	LOC107064169	5.541117	3.09243	2.120838	3.718123	3.327451	12.72373	19.738077	11.727367	1.3459	7.430217	17.265431	41.05884	19.128502	1.361695	29.715642	4.036319	35.145573	2.689489	1.690626	0.844922	9.026101	7.382307	5.385069	4.165456	2.580803	3.141208	8.595122	0.663246	6.703392	5.771047	7.487138	9.963259	9.166728	1.707999	4.478667	2.587113	0.795546	2.240624	3.308705	3.648833	12.845355	9.071617	4.229264	5.327206	11.793468	4.656582	3.148594	1.49877	6.185585	5.511041	7.185973	16.264107	3.559492	4.535478	12.480114	4.649428	14.10492	22.740513	5.852971	14.368744	21.487006	35.244865	13.620292	3.372061	6.960471	11.710763	2.128173	1.008667	4.256193	3.729542	0.874926	6.498321	5.36533	1.203194	9.222234	4.622717	10.720364
XM_015316644.1	LOC107064169	1.405747	0	0.468386	0.785883	0	5.972419	9.190875	4.670274	1.474596	5.634672	11.679037	3.065497	0.839777	3.63238	0.12322	0.257784	0	1.87211	0.276971	0	2.113153	8.707727	3.575331	6.023656	0	1.414933	9.23336	1.34645	7.643867	3.392143	5.740218	10.200257	5.279987	0.731856	3.105552	5.203053	0	2.465426	3.792904	2.928909	8.739698	7.386221	7.855846	7.340519	2.560536	0	0	0	1.707257	3.681941	3.722222	20.167949	2.930611	1.217644	7.393087	2.158175	7.527487	0	0.426529	2.393708	0.419926	0.195104	0.136709	2.892406	0.683	7.040824	2.346327	0.592128	1.905608	4.682723	0	8.504932	0	0.440279	0.493804	0	2.020145
XM_015316555.1	LOC107064158	0.568416	0.854705	2.468084	0.466931	0.190891	0.498938	0.518423	0.404982	2.446458	0	0.168656	0.382655	0.084712	3.878987	0.242471	0.571227	0.671678	1.194377	1.187759	2.62658	0.882309	0.565563	0.65949	0	0.153842	0.481708	0.303955	0.183085	1.320702	0.076975	1.747895	2.798526	0.313524	2.243241	4.107131	0.054395	0	0.059924	0	0	0.622897	0	0.238528	0.14557	0.29808	0	0.996191	2.932389	0.892671	1.545573	0.223178	1.529456	0.453264	0.301055	0.705978	0.193504	0.317333	2.533456	0.170876	0.358427	0.262714	0	1.053386	3.707695	0	3.65854	0.137062	0.338825	0.077819	0.150841	0	0.068351	1.069868	0.562225	0.071876	0.065844	0.436885
XM_015316546.1	LOC107064158	9.797461	17.754642	19.355926	11.779194	6.814599	12.663163	11.491203	4.455672	29.665084	5.027605	5.976262	19.509888	4.392752	20.175022	5.896772	7.860467	8.527787	15.58547	21.448074	18.609001	8.54176	8.910319	19.155132	4.523071	10.968507	18.659234	6.643833	10.878068	6.71001	2.346273	13.100995	10.477928	7.712425	24.432793	27.748721	5.783353	3.918294	6.542091	15.758217	6.423237	12.872224	6.267575	4.254188	2.690711	3.771548	2.391373	23.028795	24.573991	16.461716	20.043375	6.078451	8.87929	10.84927	6.149253	5.43407	6.122684	5.711326	7.906011	4.615279	3.142493	4.107841	5.484889	15.517293	36.746162	3.820774	25.104886	17.001228	4.972585	3.49579	4.487915	2.058427	4.942213	8.126969	9.177994	2.989858	2.243426	5.06522
XM_015332665.1	LOC107072482	5.478445	0	0.237169	1.775713	0	2.83114	0	1.867794	0	0	0	3.988157	2.967147	0	0	0	1.291284	13.702359	0	0	4.260085	7.653055	12.821748	0	2.16871	0	0	0	0	0	2.436694	7.77411	0	0	0.511231	0	11.237892	5.380663	8.906142	10.52416	9.17479	5.154627	0	6.983914	0	1.44405	0	0	2.813614	0	1.026088	2.241715	0	2.712751	1.380232	0	0	2.870529	0	0	2.727105	1.425964	0	0	0	0	12.036171	0.870486	0	1.633539	1.984815	0	0	0	3.554218	0	1.875613
XM_015332585.1	LOC107072482	0.372723	0	0	0.313773	0.730189	2.686569	4.277512	1.100806	0	1.665517	0.417703	1.330081	0	0.169024	0	3.766843	0.514167	7.27938	0	0	0	6.062779	2.335047	0.300732	0	3.892543	1.703437	1.320767	1.210863	1.473285	18.810211	4.143652	9.223511	1.707505	0	0.503956	0.292383	0	6.001698	6.860042	1.884673	0	1.77281	0.710308	2.050928	1.018816	0.245208	0	0	2.294401	0	2.682811	0.202122	1.971612	1.394197	0.936584	0.69537	4.176633	2.952706	2.394594	1.559824	2.963229	2.871244	0	2.043089	0	2.301826	0	0.508548	0.264169	0	2.144307	0.895859	0	0	0.840755	0.468606
XM_015332503.1	LOC107072482	8.841214	0.660877	0.811403	5.289118	5.137836	17.12557	12.447012	5.30875	1.543283	4.718627	9.698448	6.725502	0.771678	2.453699	3.931824	10.26825	2.234868	41.487591	3.055182	0.51832	6.589177	17.082826	27.430686	6.981716	7.594761	13.022313	3.095586	12.318006	4.386472	10.882647	63.895949	15.372369	24.747312	9.866425	1.440107	5.156947	7.485298	11.981503	39.553911	20.506808	22.005073	9.520311	7.733797	7.706115	3.076237	4.221346	3.728564	2.760116	4.826916	4.468723	3.458933	7.473729	8.16978	9.268767	5.850941	5.623116	8.605275	4.01345	9.032921	3.494576	7.627988	2.632217	1.982834	2.34352	4.098729	1.864271	25.446349	2.494937	2.871938	4.113279	3.075476	7.330724	1.409916	2.800933	2.406248	0.592868	1.738477
XM_015331134.1	LOC107071655	2.517491	4.612845	4.799178	3.488003	0.898596	1.464455	1.894313	1.030983	5.390784	0.745067	1.169532	2.125451	0.719784	2.655569	0.384835	3.796903	1.120001	2.099437	2.414939	3.289978	1.626764	0.783667	3.06838	0.716928	1.462636	1.934839	0.62971	1.425421	0.766613	0.576474	0.95483	1.462446	0.701876	1.974695	2.859349	0.553866	0.892905	0.823653	0.521342	0.515953	1.096295	0.68276	0.338776	0.516776	0.538282	0.35979	1.562224	2.6078	1.956168	1.780053	0.706092	1.306369	1.375486	0.47118	1.256078	0.388586	1.039737	0.590396	0.699897	0.153737	0.303206	0.467604	1.363042	4.784373	0.773611	4.291571	1.44246	0.327455	0.840736	0.684508	0.421819	0.75441	0.63565	3.952298	0.585068	0.469723	1.310132
XM_015331047.1	LOC107071655	2.460574	5.620213	6.660818	3.161838	1.619701	2.702706	1.407491	1.00563	8.579688	1.05886	0.992821	3.460661	0.788747	6.374303	1.69716	3.651803	1.99719	2.589115	6.331632	6.761652	2.069557	2.036399	5.069729	0.372068	1.867944	4.455874	1.491294	0.428564	0.71747	0.322284	1.576333	1.871105	2.190187	4.065311	11.632126	0.646501	0	0.40936	2.822794	0.880346	2.191586	0.887657	1.65197	0.453865	0.799598	0.449236	5.677521	8.101649	2.249231	2.579501	1.321621	1.2671	3.491604	0.720192	1.308689	0.683896	1.322156	0.469505	0.4758	0.821102	0.864446	0.870891	1.726136	12.118332	0.339596	4.396847	1.448965	0.268613	0.30015	0.857677	0	1.405057	0.656733	6.478572	0.817208	0.20287	1.891777
XM_015330879.1	LOC107071655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015331734.1	LOC107071655	0.038886	0.187043	0.21104	0.126335	0.100944	0.157301	0.131586	0.025602	0.265802	0.029782	0.055106	0.182443	0.119258	0.172551	0.179268	0.109078	0.196169	0.077396	0.177132	0.229116	0.073588	0.044754	0.218667	0.068208	0.024922	0.092586	0.045641	0.017404	0.039924	0	0.015575	0.072801	0.026836	0.15296	0.427361	0.026143	0.04045	0.034557	0.039734	0.090598	0.041472	0.076958	0.046639	0.014232	0.125325	0.006088	0.105873	0.210133	0.152304	0.175011	0.032791	0.039685	0.057101	0.032488	0.005596	0.020037	0.041409	0.089109	0.017411	0.094821	0.041288	0.199391	0.083681	0.214378	0.019578	0.272283	0.036205	0.022538	0.042169	0.040727	0.015721	0.041239	0.101193	0.082841	0.056114	0.006781	0.039324
XM_015331987.1	LOC107071655	0.056521	0	0.027512	0.032371	0	0	0.051466	0	0.02536	0	0	0.091955	0	0	0.034485	0	0	0	0	0	0	0	0.072849	0.010268	0	0	0	0	0	0	0	0	0	0	0	0.010441	0	0	0	0	0	0	0	0	0	0	0	0.028591	0.049252	0	0	0	0	0	0	0	0.015757	0	0	0	0	0	0	0	0.018398	0.15029	0	0.014646	0	0.030047	0.008544	0	0.051916	0.017601	0	0	0
XM_015331907.1	LOC107071655	0	0.256922	0.321109	0.099274	0	0.022735	0.022185	0	0.284943	0.016523	0	0.199901	0	0.088612	0	0	0	0.065504	0.258611	0.121895	0	0.015425	0	0	0.019685	0	0	0	0.015602	0	0.011475	0	0.016954	0.081862	0.259323	0	0.020125	0	0	0	0	0	0	0.010992	0	0.018886	0.087208	0.187607	0	0.039351	0	0	0	0	0	0	0	0.035599	0.04744	0.033123	0	0.04127	0	0.425643	0	0.238572	0	0	0	0	0	0	0	0.044927	0	0	0.058063
XM_015331825.1	LOC107071655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045435	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036912	0	0	0	0	0.076041	0	0	0	0	0	0	0	0	0	0	0.01933	0	0	0	0	0	0	0	0	0	0
XM_015330962.1	LOC107071655	0	0	0	0.030647	0	0	0	0	0.01695	0	0	0.020179	0	0.032297	0	0	0	0	0.019498	0	0.01266	0	0	0	0.012483	0	0	0	0	0	0	0.01797	0.01231	0	0.051929	0	0	0	0.007471	0	0	0.010923	0	0	0	0	0.013585	0	0	0	0.0111	0	0	0	0	0	0	0	0	0	0	0	0.020002	0.021827	0	0	0	0	0	0	0	0.010804	0	0	0	0	0.05285
XM_015331473.1	LOC107071655	0.21409	0.817147	1.432248	0.394095	0.037443	0.069195	0.324041	0.06917	1.027085	0.069586	0.04612	0.801276	0.0294	0.752418	0.163045	0.516549	0.356449	0.129767	0.751053	1.192936	0.015394	0.048695	0.108346	0.020078	0.015612	0.130472	0.065556	0	0.04787	0	0	0.208447	0.033032	0.519142	2.493522	0	0	0.008525	0.018571	0	0.059717	0	0.068286	0.021193	0.286015	0	0.408009	1.753879	0.167184	0.119219	0.04858	0.146609	0.084272	0.029781	0.104919	0.037266	0.031982	0.065499	0	0.069867	0.015291	0.083382	0.329967	1.848433	0.060665	1.402077	0.023156	0	0.038353	0.025978	0	0.029392	0.033665	0.184711	0.131628	0	0.234172
XM_015331558.1	LOC107071655	0	0	0	0.023618	0	0	0	0	0.028157	0	0	0	0	0	0	0	0.059897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03518	0.040226	0	0.040648	0	0	0	0	0	0	0	0	0	0	0
XM_015331645.1	LOC107071655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015331391.1	LOC107071655	0.399044	0.725289	0.605151	0.477546	0.571485	0	0	0	1.040715	0.08323	0	0	0	0	0	0.209643	0.220753	0	0	0.354078	0.193671	0.035507	0.200608	0.028065	0	0.104145	0	0.007601	0	0	0	0.139987	0	0	0	0.006849	0	0	0.044015	0.050304	0	0.011601	0.12257	0.039973	0	0	0	0.544369	0	0.210252	0.053105	0	0.165953	0	0	0	0.078981	0	0.122719	0	0	0	0.142193	0.119419	0.070469	0.387109	0.029053	0	0	0.07368	0.007106	0.097519	0.034008	0.543777	0	0.137725	0
XM_015331309.1	LOC107071655	0	0	0.178502	0	0	0.07419	0	0.083702	0.586816	0.043067	0	0.293876	0.346224	0.398395	0	0.14084	0	0	0	0.968044	0	0.033978	0.11802	0	0	0	0	0	0	0	0.048029	0	0	0.296541	1.081565	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065378	0	0	0.249563	0.127989	0.141967	0	0.135694	0.054463	0	0	0.500372	0	0	0.373409	0.504265	0	0.347209	0.027792	0	0	0	0	0	0	0.351573	0	0	0.625926
XM_015331222.1	LOC107071655	0.377661	1.638255	2.031638	0.734072	0	0.348283	0.283094	0.047369	0.543947	0.03396	0.298476	1.694181	0	0.077179	0.664089	2.439355	1.490345	0.212363	0.912677	2.377471	0.152924	0.15721	0.042339	0	0.48228	0.631737	0.189549	0	0.128722	0.078869	0.031938	0.538615	0.060815	0.10742	3.332568	0	0	0.0165	0	0	0.038274	0	0	0	0.46826	0.120472	0.88766	1.102363	0.404151	0.402916	0.250842	0.208687	0.062999	0	0.761626	0	0.180629	0.237657	0	0	0.185348	0.742123	0.994461	2.400085	0	2.880066	0	0	0.05074	0	0	0	0.138938	0.340575	0.176137	0	0.469293
XM_015332086.1	LOC107072269	29.842515	28.547676	32.87628	18.808028	28.222173	46.78612	39.973994	42.994312	39.511789	47.335477	36.121114	31.519021	12.571605	26.265737	12.318727	28.466295	11.257185	44.575991	36.02794	36.553655	44.654279	47.743734	40.791152	16.14313	54.214703	46.122057	50.534216	19.584654	54.062711	34.333472	58.036805	26.525321	35.991921	36.766802	34.907636	11.277271	15.131109	16.612062	29.646256	14.521681	48.780339	18.311005	25.295408	40.957855	23.605018	29.124285	30.939511	26.357429	62.409478	65.488271	50.498336	70.825167	48.646564	33.844876	43.121543	38.755347	50.556545	16.48325	18.301676	24.835915	62.929137	12.17377	19.414219	38.141427	53.693598	47.713251	26.243824	40.771087	45.174487	38.526558	21.961537	22.331998	35.772875	35.211582	11.4556	13.54861	25.286453
XM_015332218.1	LOC107072336	0	0	0	0	2.892395	0	9.726777	0	0	0	3.286607	5.577913	0	0	0	9.430467	9.109467	0	0	0	0	0	0	0	0	0	3.149622	0	4.83667	0	4.043025	0	7.860681	0	8.08675	0	0	0	0	0	0	0	0	0	14.648193	1.504328	0	0	2.449624	5.297354	0	0	0	5.357932	0	0	3.262521	2.818599	5.048068	2.328763	0	6.078515	0	0	2.137728	0	0	0	2.121863	0	0	0	10.116401	0	0	4.876707	0
XM_015332375.1	LOC107072336	21.12725	25.180428	23.298824	16.956204	30.514458	12.459261	15.555988	13.984578	24.671453	13.460556	19.620512	11.637815	17.232544	11.53075	14.842878	23.210957	9.835138	13.857858	14.201967	31.945978	14.203767	14.259639	7.36237	13.894448	15.294906	9.52852	15.220339	1.509166	15.775182	13.645768	9.314151	14.908181	12.974452	12.895879	32.726387	4.003148	2.454271	9.106093	9.823681	5.784456	15.42575	12.490502	10.370318	9.52963	16.136339	10.440398	12.430041	16.678471	9.493618	11.812489	9.87918	7.44203	4.657907	12.062961	10.593064	12.032562	7.383766	8.523914	5.925916	15.774595	11.392362	11.403305	10.079576	22.738998	6.959855	36.383418	8.251056	2.758307	11.938386	7.047971	1.820809	7.913942	16.0698	15.417718	22.209375	24.16247	28.997653
XM_015332294.1	LOC107072336	17.630241	12.572228	13.896212	10.008187	18.623097	10.112364	5.806916	14.808046	12.87557	9.933437	12.276211	1.429401	6.335732	9.393147	8.435181	8.027471	0	13.705407	8.483909	13.174197	13.657402	14.237031	8.524302	15.34003	9.099185	10.448119	8.861581	8.714472	10.264152	11.177926	7.094232	11.678859	11.985376	9.257218	6.802284	10.12628	4.899604	11.172519	11.844184	6.939356	11.841217	12.57543	7.356399	4.523904	0	8.691872	7.16616	10.525396	8.009041	8.062176	6.42092	6.003561	4.403354	11.576133	5.464971	5.764929	2.258217	4.139115	0	6.313482	7.089133	1.980497	3.608588	13.559279	5.159263	22.427506	11.617046	6.594811	3.825373	11.682558	4.965362	8.730545	11.841451	13.216445	16.518321	9.335955	13.804589
XM_015332978.1	LOC107072717	20.257896	29.971155	36.509631	18.746252	12.394391	16.162877	19.479725	15.312337	27.257547	15.689307	13.483976	15.978592	8.53614	12.518838	8.428527	30.956379	13.715519	13.072803	12.864994	34.715231	15.125572	12.811258	16.93722	7.476327	18.181374	16.62299	16.27435	7.831856	21.693979	8.253917	22.288148	14.820776	12.764206	10.828414	28.982112	6.924354	7.100163	9.264365	8.034817	10.188152	18.538667	6.851023	8.766843	11.61345	19.462141	15.157487	14.580147	19.82165	20.114709	22.390686	20.843667	19.478205	16.094064	11.723664	20.349171	16.668081	17.129212	14.965	11.223578	13.617852	21.482921	4.853858	17.17778	19.339204	15.702693	29.964863	15.816381	14.213743	14.693933	13.293845	13.54935	12.492752	14.697021	29.249732	11.155481	10.626382	18.574838
XM_015332907.1	LOC107072717	134.679023	229.170912	207.311048	137.273716	69.721585	86.465517	86.876132	92.907029	200.61636	107.497225	81.240367	111.936732	58.408475	88.963994	49.130055	186.968993	78.096955	81.456337	114.686652	251.557052	119.967063	101.74498	76.509865	53.194523	94.83165	105.247377	100.699169	53.876605	100.945209	63.887765	87.974138	75.433609	75.942359	102.430731	167.266544	45.536847	47.096161	49.821458	66.119147	55.482048	90.019058	40.345775	61.969457	71.993785	94.89482	78.734726	104.498162	119.621956	111.827553	159.60502	120.933406	150.952319	90.874225	75.278441	121.051775	119.218037	105.734102	62.602478	85.031781	83.266889	116.31338	51.581168	133.936733	188.698085	102.894303	239.836208	87.55566	113.778415	75.361958	96.868219	76.989148	65.756106	62.149816	185.155425	59.597098	61.122695	103.471392
XM_015333216.1	LOC107072883	176.147948	212.500759	217.518527	132.320106	158.844757	165.914042	157.166846	161.064552	226.391694	194.288551	154.662708	97.750419	91.420844	93.617854	85.604678	222.622416	87.726823	130.443451	114.341466	253.253409	198.391702	155.75752	86.419014	117.547858	174.321186	166.044648	149.362227	104.617866	197.071522	106.456366	185.913272	146.335225	139.754133	104.438543	201.395036	89.394308	89.526737	121.149688	128.632908	102.837282	162.603407	88.596438	104.927549	126.781383	123.75936	143.250537	118.025248	138.458267	211.822967	204.610385	142.982077	174.770311	127.37742	154.556224	163.197597	145.401379	151.010459	87.367095	99.737425	97.54667	149.986643	81.160713	119.551623	204.866166	141.543025	203.70266	163.922187	185.757603	139.183106	160.612443	143.359454	117.193597	166.959582	209.984733	117.489704	122.011735	154.946299
XM_015332789.1	LOC107072648	26.331352	27.667621	28.750415	19.855638	31.313281	29.492395	30.327559	25.146032	27.393937	25.712473	33.324301	22.697497	12.219141	18.098418	14.623797	27.288235	13.877764	30.174724	18.392714	29.885353	40.351288	24.504733	18.327854	16.277668	27.331595	26.061857	28.88716	12.054372	33.332095	15.204091	27.412731	20.994376	24.033612	15.846442	26.974857	11.880628	9.581224	17.193375	22.317426	13.292499	41.261403	17.374359	18.583194	14.398421	23.044375	19.699215	14.507212	19.630478	33.972716	41.623578	20.459296	27.774332	19.881974	19.619986	27.201747	20.936711	22.444175	11.991181	13.181606	17.589597	32.80123	14.595981	12.416003	34.230615	23.318933	31.590412	17.062612	12.808959	21.809439	19.982389	9.876187	16.444467	34.627428	24.00738	19.528252	16.633101	27.080173
