HOG	OG	Gene Tree Parent Clade	Acromyrmex_echinatior.clean	Ancistrocerus_nigricornis.clean	Andrena_flavipes.clean	Anoplius_nigerrimus.clean	Apis_cerana.clean	Apis_dorsata.clean	Apis_florea.clean	Apis_laboriosa.clean	Apis_mellifera.clean	Atta_cephalotes.clean	Belonocnema_kinseyi.clean	Bombus_campestris.clean	Bombus_hortorum.clean	Bombus_hypnorum.clean	Bombus_impatiens.clean	Bombus_lapidarius.clean	Bombus_monticola.clean	Bombus_muscorum.clean	Bombus_pascuorum.clean	Bombus_pratorum.clean	Bombus_sylvestris.clean	Bombus_terrestris.clean	Bombus_vestalis.clean	Buathra_laborator.clean	Caenorhabditis_elegans.clean	Camponotus_floridanus.clean	Ceratina_calcarata.clean	Colletes_latitarsis.clean	Copidosoma_floridanum.clean	Dolichovespula_media.clean	Dolichovespula_saxonica.clean	Dolichovespula_sylvestris.clean	Drosophila_melanogaster.clean	Dufourea_novaeangliae.clean	Eufriesea_mexicana.clean	Gasteruption_jaculator.clean	Habropoda_laboriosa.clean	Halictus_rubicundus.clean	Harpegnathos_saltator.clean	Lasioglossum_calceatum.clean	Lasioglossum_lativentre.clean	Lasioglossum_morio.clean	Linepithema_humile.clean	Macropis_europaea.clean	Megachile_rotundata.clean	Megalopta_genalis.clean	Melipona_bicolor.clean	Melipona_quadrifasciata.clean	Mischocyttarus_mexicanus.clean	Monomorium_pharaonis.clean	Nasonia_vitripennis.clean	Nysson_spinosus.clean	Ooceraea_biroi.clean	Orussus_abietinus.clean	Osmia_bicornis_bicornis.clean	Pemphredon_lugubris.clean	Polistes_canadensis.clean	Polistes_dominula.clean	Polistes_exclamans.clean	Polistes_fuscatus.clean	Solenopsis_invicta.clean	Tetragonisca_angustula.clean	Tiphia_femorata.clean	Tribolium_castaneum.clean	Venturia_canescens.clean	Vespa_crabro.clean	Vespa_mandarinia.clean	Vespa_velutina.clean	Vespula_germanica.clean	Vespula_pensylvanica.clean	Vespula_vulgaris.clean	Xylocopa_sonorina.clean
N55.HOG0000025	OG0000000	n2176					LOC133667143, LOC133667177, LOC133667192	LOC102674144		LOC122717607	LOC102653652, LOC102653695																																																															
N55.HOG0000026	OG0000000	n2185					LOC107996978	LOC102675481		LOC122717575, LOC122717578	LOC102653897, Or131																																																															
N55.HOG0000027	OG0000000	n2193					LOC107996975			LOC122717594																																																																
N55.HOG0000028	OG0000000	n2194								LOC122717593	LOC102653738																																																															
N55.HOG0000029	OG0000000	n2197					LOC107996979	LOC102674279		LOC122717608	LOC102653615, LOC102653778																																																															
N55.HOG0000030	OG0000000	n2201					LOC108003934	LOC102673743		LOC122717598	LOC102653814																																																															
N55.HOG0000031	OG0000000	n2204					LOC107996974			LOC122717606	LOC102653858																																																															
N55.HOG0000032	OG0000000	n2206					LOC107996973																																																																			
N55.HOG0000033	OG0000000	n2207					LOC107994636	LOC102673010		LOC122712549	Or130																																																															
N55.HOG0000034	OG0000000	n2510					LOC107996980	LOC116186482			LOC107965763																																																															
N55.HOG0000035	OG0000000	n3066					LOC107995471	LOC102674416		LOC122715007	LOC100576522																																																															
N55.HOG0000036	OG0000001	n2271					LOC133667310, LOC133667561																																																																			
N55.HOG0000037	OG0000002	n108					LOC107996663	LOC102671486		LOC122720605	Or13																																																															
N55.HOG0000038	OG0000002	n125					LOC107996654	LOC102681556		LOC122720603	Or14																																																															
N55.HOG0000039	OG0000002	n129					LOC107996649	LOC102681679		LOC122720571	LOC100577715																																																															
N55.HOG0000040	OG0000002	n135					LOC107996655	LOC102671708		LOC122720604	Or12																																																															
N55.HOG0000041	OG0000002	n140					LOC107996662	LOC102671943		LOC122720602	Or11																																																															
N55.HOG0000042	OG0000002	n144					LOC107996658	LOC102672253		LOC122720607	Or10																																																															
N55.HOG0000043	OG0000002	n150					LOC107996661			LOC122720601	LOC102655553																																																															
N55.HOG0000044	OG0000002	n152					LOC107996659	LOC102672394		LOC122720600	Or9																																																															
N55.HOG0000045	OG0000002	n160					LOC107996660	LOC102672657		LOC122720531	Or5																																																															
N55.HOG0000046	OG0000002	n165					LOC133665621	LOC102672804			Or4																																																															
N55.HOG0000047	OG0000002	n168					LOC107996651	LOC102672937		LOC122720532	LOC102655367, LOC102655434																																																															
N55.HOG0000048	OG0000002	n194					LOC107996668	LOC116185560		LOC122720589	LOC100577634																																																															
N55.HOG0000049	OG0000002	n198					LOC107996656	LOC102681815		LOC122720539	LOC100577671																																																															
N55.HOG0000050	OG0000002	n493					LOC107996754	LOC102673419		LOC122720564	Or58																																																															
N55.HOG0000051	OG0000002	n499					LOC107996743	LOC102673854			Or57																																																															
N55.HOG0000052	OG0000002	n502					LOC133665672	LOC102674127			Or55																																																															
N55.HOG0000053	OG0000002	n505					LOC107996756	LOC102673988		LOC122720540	Or56																																																															
N55.HOG0000054	OG0000002	n523					LOC107996750	LOC102673289		LOC122720608	LOC102653703																																																															
N55.HOG0000055	OG0000002	n529					LOC107996720			LOC122720552	LOC102655435																																																															
N55.HOG0000056	OG0000002	n531					LOC107996749			LOC122720561	LOC102653637																																																															
N55.HOG0000057	OG0000002	n655					LOC107996752	LOC102674647			Or51																																																															
N55.HOG0000058	OG0000002	n697					LOC107995455	LOC102674387		LOC122720556	Or53																																																															
N55.HOG0000059	OG0000002	n701					LOC107995454	LOC102674256		LOC122720542	LOC102656907																																																															
N55.HOG0000060	OG0000002	n705						LOC102674520		LOC122720547	Or52																																																															
N55.HOG0000061	OG0000002	n835					LOC107996633	LOC116185559		LOC122720544	Or35																																																															
N55.HOG0000062	OG0000002	n915					LOC107996652	LOC102671361		LOC122720583	LOC100577938																																																															
N55.HOG0000063	OG0000002	n921					LOC107996653	LOC102671126		LOC122720584	Or19																																																															
N55.HOG0000064	OG0000002	n1014					LOC107996667	LOC102670891		LOC122720585	LOC100577590																																																															
N55.HOG0000065	OG0000002	n1055						LOC102681987		LOC122720588																																																																
N55.HOG0000066	OG0000002	n1057					LOC107996765	LOC102670667		LOC122720581	LOC102655825																																																															
N55.HOG0000067	OG0000002	n1070					LOC107996747	LOC102680893		LOC122720586	LOC102655857																																																															
N55.HOG0000068	OG0000002	n1074					LOC133665630	LOC102681593		LOC122720582	LOC725861																																																															
N55.HOG0000069	OG0000002	n1140					LOC107996766	LOC102680753		LOC122720541	Or30																																																															
N55.HOG0000070	OG0000002	n1144					LOC107996746, LOC107996760	LOC102680618		LOC122720587	Or25																																																															
N55.HOG0000071	OG0000002	n1335					LOC114577668	LOC102674878		LOC122720563	Or50																																																															
N55.HOG0000072	OG0000002	n1377					LOC133665670	LOC102676045			LOC100576984																																																															
N55.HOG0000073	OG0000002	n1380					LOC114577384			LOC122720549	LOC100576914																																																															
N55.HOG0000074	OG0000002	n1384						LOC102675906		LOC122720557	LOC100576944																																																															
N55.HOG0000075	OG0000002	n1388					LOC107996761			LOC122720553	Or41																																																															
N55.HOG0000076	OG0000002	n1391					LOC107996632	LOC102676325		LOC122720551	LOC100577068																																																															
N55.HOG0000077	OG0000002	n1397					LOC107996748	LOC102675645			LOC113218533																																																															
N55.HOG0000078	OG0000002	n1399					LOC133665671	LOC102675504		LOC122720559	LOC100576816																																																															
N55.HOG0000079	OG0000002	n1403					LOC133665667	LOC102676182		LOC122720560	LOC100577101																																																															
N55.HOG0000080	OG0000002	n1407					LOC107996744, LOC107996745	LOC102676467		LOC122720558	LOC100577226, LOC107963966, Or37																																																															
N55.HOG0000081	OG0000002	n1415					LOC107996759	LOC102675005		LOC122720545	LOC100576783																																																															
N55.HOG0000082	OG0000002	n1419					LOC107996758	LOC102670623		LOC122720550	LOC100576881																																																															
N55.HOG0000083	OG0000002	n1466					LOC114577383	LOC102679829		LOC122720562	LOC726097																																																															
N55.HOG0000084	OG0000002	n1497					LOC107996768	LOC102679623		LOC122720555																																																																
N55.HOG0000085	OG0000002	n1503					LOC114577389			LOC122720548	LOC113218602																																																															
N55.HOG0000086	OG0000002	n1505								LOC122720543	LOC100577334																																																															
N55.HOG0000087	OG0000002	n1510					LOC107996763	LOC102680476		LOC122720610	Or27																																																															
N55.HOG0000088	OG0000002	n1621					LOC107996764	LOC102680345		LOC122720519																																																																
N55.HOG0000089	OG0000002	n1661									Or26																																																															
N55.HOG0000090	OG0000002	n1817					LOC107996657	LOC102681282		LOC122720612	LOC725205																																																															
N55.HOG0000091	OG0000002	n1821					LOC107996666	LOC102681420		LOC122720403	LOC100577787																																																															
N55.HOG0000092	OG0000003	n55						LOC116186750																																																																		
N55.HOG0000093	OG0000003	n64									LOC113219109																																																															
N55.HOG0000094	OG0000003	n100								LOC122717007																																																																
N55.HOG0000095	OG0000003	n150						LOC116185395																																																																		
N55.HOG0000096	OG0000003	n176								LOC122713421																																																																
N55.HOG0000097	OG0000003	n286					LOC107999635, LOC114577768, LOC133666192, LOC133666314, LOC133666315	LOC102679331, LOC102679457		LOC122718871	LOC113218865, LOC552224																																																															
N55.HOG0000098	OG0000003	n391					LOC107994902	LOC102674589		LOC122717898	LOC413097																																																															
N55.HOG0000099	OG0000003	n476					LOC114577363	LOC116185314		LOC122714917	LOC113218800																																																															
N55.HOG0000100	OG0000003	n546					LOC107997429	LOC102670907		LOC122714591	LOC412230																																																															
N55.HOG0000101	OG0000003	n616					LOC107995174	LOC102679104		LOC122717829	LOC410323																																																															
N55.HOG0000102	OG0000003	n733					LOC107999697	LOC102679831		LOC122718732	LOC725593																																																															
N55.HOG0000103	OG0000003	n852					LOC107997201	LOC102674368		LOC122710636	LOC411602																																																															
N55.HOG0000104	OG0000003	n1023					LOC107995585	LOC102672685		LOC122713934	LOC412775																																																															
N55.HOG0000105	OG0000003	n1065					LOC114577502	LOC116185916																																																																		
N55.HOG0000106	OG0000003	n1134					LOC107997477	LOC102679379		LOC122713420	LOC411301																																																															
N55.HOG0000107	OG0000003	n1194					LOC107997941	LOC102679645		LOC122713943	LOC724806																																																															
N55.HOG0000108	OG0000003	n1284					LOC107993434	LOC102676386		LOC122721149	LOC725479																																																															
N55.HOG0000109	OG0000003	n1400					LOC107996250	LOC102674036		LOC122712954	LOC551562																																																															
N55.HOG0000110	OG0000003	n1501					LOC107999984	LOC102675665, LOC116184858		LOC122717291	LOC411894																																																															
N55.HOG0000111	OG0000003	n1671									LOC102655353																																																															
N55.HOG0000112	OG0000004	n134					LOC108003486	LOC102671914		LOC122720652	LOC102656429																																																															
N55.HOG0000113	OG0000004	n450					LOC108000540	LOC102673209			Or115																																																															
N55.HOG0000114	OG0000004	n694					LOC108000539	LOC102675875		LOC122713414																																																																
N55.HOG0000115	OG0000004	n1293					LOC108001575	LOC102678658		LOC122716855	LOC724763																																																															
N55.HOG0000116	OG0000005	n597									LOC100576623																																																															
N55.HOG0000117	OG0000005	n863								LOC122714660																																																																
N55.HOG0000118	OG0000005	n1366						LOC116186181																																																																		
N55.HOG0000119	OG0000006	n4					LOC107998959	LOC102671066		LOC122721045	FAR1																																																															
N55.HOG0000120	OG0000006	n77					LOC107998960	LOC102670934		LOC122721044	LOC552110																																																															
N55.HOG0000121	OG0000006	n150					LOC108003267	LOC102679114		LOC122718981	LOC412986																																																															
N55.HOG0000122	OG0000006	n236					LOC107998963	LOC102679329		LOC122721047																																																																
N55.HOG0000123	OG0000006	n307					LOC107994047	LOC102672776		LOC122720755	LOC100576414																																																															
N55.HOG0000124	OG0000006	n430					LOC108001420	LOC102670811		LOC122720248	LOC724560																																																															
N55.HOG0000125	OG0000006	n588					LOC107994054	LOC102671680		LOC122720786	LOC411983																																																															
N55.HOG0000126	OG0000006	n813					LOC107998355	LOC102671844		LOC122720961	LOC100578329																																																															
N55.HOG0000127	OG0000006	n1019					LOC107998962	LOC116184849		LOC122721046	LOC725187																																																															
N55.HOG0000128	OG0000006	n1093					LOC108001523	LOC102679453		LOC122721043	LOC100578814																																																															
N55.HOG0000129	OG0000007	n27					LOC133666846	LOC116184906		LOC122714931	LOC410743																																																															
N55.HOG0000130	OG0000007	n118						LOC116184907		LOC122714975																																																																
N55.HOG0000131	OG0000007	n174					LOC107998440	LOC102681429		LOC122716007	LOC413098																																																															
N55.HOG0000132	OG0000007	n282								LOC122714945	LOC552425																																																															
N55.HOG0000133	OG0000007	n285					LOC107999296			LOC122716670	LOC102656570																																																															
N55.HOG0000134	OG0000007	n290					LOC107994782	LOC102670967		LOC122718626	LOC410734																																																															
N55.HOG0000135	OG0000007	n294					LOC107994783	LOC102672236, LOC116186488		LOC122718627	LOC102653881																																																															
N55.HOG0000136	OG0000007	n300					LOC107994785	LOC102671248		LOC122718625	LOC410733																																																															
N55.HOG0000137	OG0000007	n304					LOC107993950	LOC102671101		LOC122718628	LOC408603																																																															
N55.HOG0000138	OG0000007	n349					LOC107994935	LOC102672330		LOC122712655	LOC100576547																																																															
N55.HOG0000139	OG0000007	n425					LOC107997822	LOC102673045		LOC122715325, LOC122716057	LOC406081																																																															
N55.HOG0000140	OG0000007	n494					LOC107997821	LOC116185703		LOC122715324	LOC551044																																																															
N55.HOG0000141	OG0000007	n585					LOC107994725	LOC102679237		LOC122714913	LOC410746																																																															
N55.HOG0000142	OG0000007	n713					LOC133666857	LOC102678961		LOC122715003	LOC552395																																																															
N55.HOG0000143	OG0000007	n798					LOC107994728	LOC102675261			LOC552457																																																															
N55.HOG0000144	OG0000007	n899					LOC107994730	LOC102678750		LOC122714961	LOC410748																																																															
N55.HOG0000145	OG0000007	n1100					LOC107994733	LOC102679356		LOC122715009	LOC410745																																																															
N55.HOG0000146	OG0000007	n1183					LOC107994731	LOC102679572		LOC122714951	LOC410744																																																															
N55.HOG0000147	OG0000008	n343					LOC108003171	LOC102678616		LOC122713540	LOC410479																																																															
N55.HOG0000148	OG0000008	n390					LOC108000175	LOC102674289		LOC122716071	LOC725354																																																															
N55.HOG0000149	OG0000008	n457					LOC108002729	LOC102670947		LOC122720128	LOC724734																																																															
N55.HOG0000150	OG0000008	n516					LOC108000176	LOC102674514		LOC122716180	LOC410439																																																															
N55.HOG0000151	OG0000008	n584					LOC108003087	LOC102679676		LOC122719029	LOC724823																																																															
N55.HOG0000152	OG0000008	n653						LOC102679452		LOC122715812	LOC725460																																																															
N55.HOG0000153	OG0000008	n724					LOC108001752	LOC102672911		LOC122713280	LOC409000																																																															
N55.HOG0000154	OG0000008	n823					LOC107993497	LOC102674399		LOC122715420	LOC726655																																																															
N55.HOG0000155	OG0000008	n870					LOC108001833	LOC102676577		LOC122716905	LOC409546																																																															
N55.HOG0000156	OG0000008	n932					LOC108003259	LOC102678406		LOC122718733	LOC409707																																																															
N55.HOG0000157	OG0000008	n998					LOC108003260	LOC102679489		LOC122718676	LOC100577636																																																															
N55.HOG0000158	OG0000008	n1057					LOC107995559	LOC102680926		LOC122719320	LOC411176																																																															
N55.HOG0000159	OG0000009	n325					LOC133667587, LOC133667592	LOC102677414		LOC122716724, LOC122719683																																																																
N55.HOG0000160	OG0000009	n541						LOC102677909																																																																		
N55.HOG0000161	OG0000009	n923					LOC133666454			LOC122713924																																																																
N55.HOG0000162	OG0000011	n30					LOC133666198	LOC102675324		LOC122715421	LOC102656088																																																															
N55.HOG0000163	OG0000011	n76					LOC107993456	LOC102675464, LOC102675604		LOC122715469	LOC100578352																																																															
N55.HOG0000164	OG0000011	n135					LOC107993951	LOC102675175, LOC102677759		LOC122715458																																																																
N55.HOG0000165	OG0000011	n246					LOC108000865	LOC102680162		LOC122719996																																																																
N55.HOG0000166	OG0000011	n399					LOC108002369	LOC102676124		LOC122719628, LOC122719630																																																																
N55.HOG0000167	OG0000011	n403					LOC108002364	LOC102671598		LOC122719624	LOC727037																																																															
N55.HOG0000168	OG0000011	n407					LOC133665638	LOC102671466		LOC122719627																																																																
N55.HOG0000169	OG0000011	n412					LOC108002367	LOC102671098		LOC122719629	LOC727193																																																															
N55.HOG0000170	OG0000011	n416					LOC108002366	LOC102671245			LOC107965279																																																															
N55.HOG0000171	OG0000011	n418					LOC108002368	LOC102681969		LOC122719626	LOC551268																																																															
N55.HOG0000172	OG0000011	n477					LOC107993452	LOC102671232		LOC122715460	LOC102653843																																																															
N55.HOG0000173	OG0000011	n536								LOC122711288																																																																
N55.HOG0000174	OG0000011	n597					LOC108000866	LOC102680376		LOC122719998	LOC726817																																																															
N55.HOG0000175	OG0000011	n769					LOC107992885	LOC102679486		LOC122714092	LOC113219028																																																															
N55.HOG0000176	OG0000011	n910					LOC107993516	LOC102677629		LOC122715423	LOC411609																																																															
N55.HOG0000177	OG0000012	n50					LOC107999478	LOC102678136			LOC100576462																																																															
N55.HOG0000178	OG0000012	n121					LOC133667162	LOC102674720		LOC122716138	LOC100578617																																																															
N55.HOG0000179	OG0000012	n260					LOC107993409				LOC100578886																																																															
N55.HOG0000180	OG0000012	n262									LOC107965436, LOC113218541																																																															
N55.HOG0000181	OG0000012	n334					LOC107993393	LOC102681793		LOC122716188																																																																
N55.HOG0000182	OG0000012	n415					LOC107993407			LOC122716187																																																																
N55.HOG0000183	OG0000012	n437								LOC122716137	LOC100578685																																																															
N55.HOG0000184	OG0000012	n485					LOC107993392	LOC102674469		LOC122716186	LOC100578751																																																															
N55.HOG0000185	OG0000013	n108					LOC107993488																																																																			
N55.HOG0000186	OG0000014	n77					LOC133665734	LOC102676140		LOC122719280	LOC552418																																																															
N55.HOG0000187	OG0000014	n212					LOC107994953	LOC102671838		LOC122715206	LOC726646																																																															
N55.HOG0000188	OG0000014	n299									LOC725159																																																															
N55.HOG0000189	OG0000014	n332					LOC108003964	LOC102681730		LOC122712121	LOC107965400																																																															
N55.HOG0000190	OG0000014	n336					LOC108004038				LOC725087																																																															
N55.HOG0000191	OG0000014	n352					LOC108003999	LOC102672340			LOC724946																																																															
N55.HOG0000192	OG0000014	n358						LOC102673154		LOC122712119	LOC102653899, LOC112935903																																																															
N55.HOG0000193	OG0000014	n361						LOC102672059		LOC122712182, LOC122718621	LOC413083																																																															
N55.HOG0000194	OG0000014	n364					LOC108004402	LOC102681345		LOC122715570	LOC551197																																																															
N55.HOG0000195	OG0000014	n435					LOC108003994	LOC102672612		LOC122712120	Cyp6as5																																																															
N55.HOG0000196	OG0000014	n465					LOC108003995				LOC413908																																																															
N55.HOG0000197	OG0000014	n503					LOC108003966, LOC108003993	LOC102680980		LOC122712183	LOC113219203, LOC412209, LOC412936																																																															
N55.HOG0000198	OG0000014	n569					LOC108003996	LOC116185414		LOC122712186	LOC551028																																																															
N55.HOG0000199	OG0000014	n589					LOC108003965	LOC102681329		LOC122712185	LOC112939925, LOC726690																																																															
N55.HOG0000200	OG0000014	n644								LOC122712184	LOC727598																																																															
N55.HOG0000201	OG0000014	n655						LOC102671064		LOC122712180																																																																
N55.HOG0000202	OG0000014	n779					LOC108001423	LOC102681589		LOC122719533	LOC550965																																																															
N55.HOG0000203	OG0000015	n2					LOC107994124	LOC102678764		LOC122718637	LOC411692																																																															
N55.HOG0000204	OG0000015	n63					LOC108000344	LOC102679226		LOC122711743	LOC552205																																																															
N55.HOG0000205	OG0000015	n137					LOC108000342	LOC102678601		LOC122711741	LOC551938																																																															
N55.HOG0000206	OG0000015	n206					LOC108000515	LOC102679434		LOC122711667	LOC724552																																																															
N55.HOG0000207	OG0000015	n278					LOC108000343	LOC102679082		LOC122711742	LOC724867																																																															
N55.HOG0000208	OG0000015	n339					LOC108000351	LOC102678339		LOC122711647	LOC550828																																																															
N55.HOG0000209	OG0000015	n407					LOC108000352	LOC102673016		LOC122711763	LOC413789																																																															
N55.HOG0000210	OG0000015	n478					LOC108000397	LOC102672386		LOC122711767	LOC409638																																																															
N55.HOG0000211	OG0000015	n548					LOC108000280	LOC102679562		LOC122711681	LOC102655009																																																															
N55.HOG0000212	OG0000015	n780					LOC107995511	LOC102673840		LOC122714601	LOC100578829																																																															
N55.HOG0000213	OG0000015	n835						LOC102681399		LOC122710936	LOC725255																																																															
N55.HOG0000214	OG0000016	n4					LOC108002989	LOC102677060		LOC122712039	LOC726017																																																															
N55.HOG0000215	OG0000016	n78					LOC108002806	LOC102673529		LOC122720059	LOC725091																																																															
N55.HOG0000216	OG0000016	n146					LOC107999967	LOC102678557		LOC122716946	LOC413215																																																															
N55.HOG0000217	OG0000016	n245					LOC107996922	LOC102677535		LOC122720477	LOC413350																																																															
N55.HOG0000218	OG0000016	n282					LOC107996648	LOC102678515		LOC122720623	LOC410888																																																															
N55.HOG0000219	OG0000016	n356					LOC108004398	LOC102672316		LOC122715541	LOC725840																																																															
N55.HOG0000220	OG0000016	n485					LOC107997758	LOC102674794		LOC122716524, LOC122719608	LOC408715																																																															
N55.HOG0000221	OG0000016	n545					LOC108002059	LOC102679904		LOC122715972	LOC410662																																																															
N55.HOG0000222	OG0000016	n606					LOC108000915	LOC102677282		LOC122719704	LOC411345																																																															
N55.HOG0000223	OG0000016	n684					LOC107993988	LOC102677979			LOC414025																																																															
N55.HOG0000224	OG0000016	n751					LOC107999747	LOC102680502		LOC122713137	LOC410655																																																															
N55.HOG0000225	OG0000016	n821					LOC107994049	LOC102680486		LOC122714458	LOC413555																																																															
N55.HOG0000226	OG0000017	n83					LOC107997717	LOC102675836		LOC122716461	LOC409203																																																															
N55.HOG0000227	OG0000017	n171					LOC107997718	LOC102676530		LOC122716484	LOC727593																																																															
N55.HOG0000228	OG0000017	n242					LOC107997719	LOC116186509			LOC107965199																																																															
N55.HOG0000229	OG0000017	n365					LOC107996144	LOC102678247		LOC122719709	LOC411021																																																															
N55.HOG0000230	OG0000017	n412					LOC108001967	LOC102672082		LOC122720016	LOC408788																																																															
N55.HOG0000231	OG0000017	n531					LOC108002185	LOC102679579		LOC122715970	LOC725106																																																															
N55.HOG0000232	OG0000017	n705									LOC725017																																																															
N55.HOG0000233	OG0000017	n763					LOC107998322	LOC102672741		LOC122710818	LOC725997																																																															
N55.HOG0000234	OG0000017	n768					LOC108000060	LOC102678306		LOC122721150	LOC413043																																																															
N55.HOG0000235	OG0000017	n772					LOC107995442	LOC102678728		LOC122721137	LOC113218830																																																															
N55.HOG0000236	OG0000019	n55						LOC102672728		LOC122717568	LOC102654049																																																															
N55.HOG0000237	OG0000019	n58					LOC108004342	LOC102679267		LOC122719496	LOC102655663																																																															
N55.HOG0000238	OG0000019	n121						LOC102681657, LOC116186066																																																																		
N55.HOG0000239	OG0000019	n382					LOC108000543	LOC116185906		LOC122713319	LOC107964982																																																															
N55.HOG0000240	OG0000019	n440									LOC113219361																																																															
N55.HOG0000241	OG0000019	n469					LOC133667315	LOC102681347, LOC116186645		LOC122715536	LOC102656321, LOC113219367																																																															
N55.HOG0000242	OG0000019	n475					LOC133667321	LOC116186644		LOC122715586	LOC102654906																																																															
N55.HOG0000243	OG0000019	n480					LOC133667233	LOC102681137																																																																		
N55.HOG0000244	OG0000019	n483						LOC116186643		LOC122715533																																																																
N55.HOG0000245	OG0000019	n485					LOC114576787																																																																			
N55.HOG0000246	OG0000019	n486					LOC133667309, LOC133667531																																																																			
N55.HOG0000247	OG0000019	n488						LOC116186067		LOC122714126, LOC122715535																																																																
N55.HOG0000248	OG0000019	n491					LOC108004211	LOC116186068																																																																		
N55.HOG0000249	OG0000019	n641					LOC108000611	LOC102676866		LOC122713357	LOC100576167																																																															
N55.HOG0000250	OG0000020	n3					LOC107993513	LOC102680408		LOC122715486	LOC113218562, LOC724259																																																															
